@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
2879.1,4.8485,473.73,2806.8,0.56836,344.53,1
2890.3,4.7771,473.73,2818.1,0.49703,344.53,1
2576.2,4.8117,473.73,2504,0.53155,344.53,1
2619.7,4.801,473.73,2547.5,0.52088,344.53,1
2530.3,4.8589,473.73,2458,0.57882,344.53,1
3560.3,5.12,473.73,3488.1,0.8399,344.53,1
4994.1,5.0339,473.73,4921.9,0.75379,344.53,1
4030.5,5.026,452.2,3958.2,0.74587,323,1
7526.1,4.9686,452.2,7453.8,0.68846,323,1
6494.9,5.0005,258.4,6422.6,0.72036,129.2,1
7411.8,4.8553,430.66,7339.6,0.57517,301.46,1
6086.4,4.8394,258.4,6014.2,0.55924,129.2,1
5696.8,4.84,258.4,5624.5,0.55985,129.2,1
5746.6,4.7268,301.46,5674.3,0.44671,172.27,1
4482,4.874,732.13,4409.8,0.59388,602.93,1
4654.2,4.7879,430.66,4582,0.50775,301.46,1
3459.6,4.7418,430.66,3387.3,0.46166,301.46,1
3515.6,5.1251,107.67,3443.3,0.84503,0,1
3594.2,5.1561,107.67,3521.9,0.87603,0,1
1928.6,5.124,409.13,1856.3,0.84394,301.46,1
2383.4,4.8971,86.133,2311.1,0.61701,0,1
2289.7,4.7818,107.67,2217.4,0.50167,21.533,1
1694,4.962,107.67,1621.7,0.68188,21.533,1
1482.2,4.8587,279.93,1410,0.57855,193.8,1
1865.1,4.7826,710.6,1792.8,0.50251,624.46,1
2278.3,4.8436,107.67,2206,0.5635,21.533,1
1965.7,5.3771,107.67,1893.4,1.097,21.533,1
3222.8,5.6116,344.53,3150.5,1.3315,258.4,1
2088.2,5.4274,366.06,2015.9,1.1473,279.93,1
2109.5,5.2749,495.26,2037.2,0.99476,409.13,1
1821.6,5.1243,344.53,1749.3,0.84422,258.4,1
1501.2,5.0981,344.53,1428.9,0.81801,258.4,1
774.59,5.2882,366.06,702.33,1.0081,279.93,1
369.39,5.4503,646,297.13,1.1702,559.86,1
829.47,5.1367,279.93,757.2,0.85659,193.8,1
564.21,5.0627,107.67,491.95,0.78258,21.533,1
522.6,5.0986,258.4,450.33,0.81845,172.27,1
356.69,5.1963,258.4,284.43,0.91623,172.27,0
196.48,5.315,366.06,124.22,1.0349,279.93,0
151.58,5.2687,279.93,79.32,0.98861,193.8,0
117.11,5.3216,258.4,44.85,1.0415,172.27,0
176.19,5.1642,279.93,103.93,0.88408,193.8,0
118.34,5.1615,279.93,46.078,0.88138,193.8,0
71.297,5.2231,258.4,0,0.94301,172.27,0
44.165,5.2872,258.4,0,1.0071,172.27,0
19.407,5.3507,581.4,0,1.0706,495.26,0
25.592,5.3161,258.4,6.1852,1.036,172.27,0
35.451,5.42,129.2,16.044,1.1398,43.066,0
76.76,5.592,107.67,57.353,1.3119,21.533,0
31.862,5.4581,559.86,12.455,1.178,473.73,0
20.129,5.4133,301.46,0.72145,1.1332,215.33,0
51.918,5.5397,258.4,32.51,1.2596,172.27,0
40.5,5.4734,387.6,21.092,1.1932,301.46,0
1.6389,5.3789,150.73,0,1.0988,64.6,0
46.959,5.5092,279.93,45.32,1.2291,193.8,0
75.383,5.6071,495.26,73.744,1.327,409.13,0
18.768,5.4726,150.73,17.129,1.1925,64.6,0
11.081,5.4097,150.73,9.4419,1.1296,64.6,0
32.667,5.3872,172.27,31.028,1.1071,86.133,0
6.4531,5.4119,409.13,4.8142,1.1318,323,0
8.9179,5.4334,387.6,7.2791,1.1533,301.46,0
6.3679,5.3849,409.13,4.7291,1.1048,323,0
28.502,5.4539,581.4,26.864,1.1738,495.26,0
40.129,5.6118,387.6,38.49,1.3317,301.46,0
39.679,5.6444,236.87,38.04,1.3643,150.73,0
8.098,5.5721,387.6,6.4592,1.292,301.46,0
27.341,5.4843,409.13,25.702,1.2041,323,0
39.619,5.5428,215.33,37.98,1.2627,129.2,0
30.208,5.6895,236.87,28.569,1.4094,150.73,0
172.62,5.6098,409.13,170.98,1.3297,323,0
106.26,5.6494,236.87,104.62,1.3692,150.73,0
269.33,5.4397,775.2,267.7,1.1596,689.06,0
214.08,5.5293,796.73,212.44,1.2492,710.6,0
163.77,5.577,430.66,162.14,1.2969,344.53,0
21.28,5.7495,775.2,19.641,1.4694,689.06,0
76.066,5.622,775.2,74.427,1.3418,689.06,0
7.7272,5.7604,409.13,6.0883,1.4803,323,0
137.67,5.5591,775.2,136.03,1.279,689.06,0
270.92,5.5271,430.66,269.28,1.247,344.53,0
312.7,5.4532,409.13,311.06,1.173,323,0
207.34,5.4632,775.2,205.7,1.1831,689.06,0
366.14,5.3868,775.2,364.5,1.1067,689.06,0
283.32,5.4537,538.33,281.68,1.1735,452.2,0
340.27,5.4154,215.33,338.63,1.1353,129.2,0
606.81,5.3208,409.13,605.17,1.0407,323,0
458.98,5.4036,215.33,457.34,1.1235,129.2,0
372.71,5.3195,796.73,371.07,1.0394,710.6,0
391.61,5.2425,796.73,389.97,0.96236,710.6,0
469.87,5.3218,818.26,468.23,1.0417,732.13,0
492.5,5.2772,387.6,490.86,0.99706,301.46,0
442.42,5.1498,818.26,440.78,0.86968,732.13,0
476.91,5.1844,818.26,475.27,0.90429,732.13,0
560.86,5.3609,236.87,559.22,1.0808,150.73,0
600.9,5.2683,409.13,599.27,0.9882,323,0
337.42,5.3126,818.26,335.78,1.0325,732.13,0
471.08,5.2635,409.13,469.44,0.98343,323,0
446.67,5.1668,861.33,445.03,0.88672,775.2,0
753.88,4.9507,409.13,752.24,0.67059,323,0
817.23,4.8808,473.73,815.59,0.60067,387.6,0
1147.7,4.7563,516.8,1146.1,0.47615,430.66,0
1986.8,4.4819,516.8,1985.2,0.20174,430.66,0
2095.1,4.3903,516.8,2093.4,0.1102,430.66,0
1849,4.6652,516.8,1847.3,0.38509,430.66,0
855.02,4.9203,193.8,853.38,0.6402,107.67,0
713.98,4.9254,495.26,712.34,0.6453,409.13,0
702.82,5.0126,516.8,701.18,0.73254,430.66,0
720.51,5.4597,344.53,718.87,1.1796,258.4,0
561.03,5.2089,409.13,559.39,0.92881,323,0
526.28,5.1975,538.33,524.64,0.91735,452.2,0
338.59,5.3001,473.73,336.95,1.02,387.6,0
607.53,5.0464,452.2,605.9,0.76633,366.06,0
609.24,5.2546,473.73,607.6,0.97446,387.6,0
884.22,5.3822,452.2,882.58,1.1021,366.06,0
673.4,5.2707,473.73,671.76,0.99056,387.6,0
368.6,5.4017,473.73,366.96,1.1216,387.6,0
433.46,5.3294,473.73,431.82,1.0493,387.6,0
615.55,5.2234,689.06,613.91,0.94326,602.93,0
713.28,5.2208,473.73,711.65,0.94066,387.6,0
473.6,5.3319,258.4,471.97,1.0518,172.27,0
829.83,5.2668,452.2,828.19,0.98664,366.06,0
925.87,5.2819,452.2,924.23,1.0018,366.06,0
705.39,5.2679,1055.1,703.75,0.98775,968.99,0
387.8,5.5011,1033.6,386.17,1.221,947.46,0
770.44,5.4677,430.66,768.8,1.1876,344.53,0
784.5,5.3008,430.66,782.86,1.0207,344.53,0
407.85,5.4709,409.13,406.21,1.1908,323,0
405.57,5.4724,710.6,403.93,1.1922,624.46,0
320.74,5.4982,215.33,319.1,1.2181,129.2,0
213.02,5.5552,387.6,211.38,1.2751,301.46,0
114.85,5.7006,538.33,113.21,1.4205,452.2,0
195.72,5.5739,387.6,194.09,1.2938,301.46,0
295.54,5.55,753.66,293.9,1.2699,667.53,0
426.1,5.4369,710.6,424.46,1.1568,624.46,0
477.16,5.3296,409.13,475.52,1.0495,323,0
318.81,5.4919,279.93,317.17,1.2118,193.8,0
666.86,5.6224,215.33,665.22,1.3423,129.2,0
395.52,5.4569,236.87,393.88,1.1768,150.73,0
415.08,5.3913,409.13,413.44,1.1111,323,0
321.23,5.3925,129.2,319.59,1.1124,43.066,0
176.06,5.4643,107.67,174.43,1.1841,21.533,0
215.69,5.3163,107.67,214.05,1.0362,21.533,0
303.21,5.0474,387.6,301.57,0.76733,301.46,0
240.3,5.1648,409.13,238.66,0.88464,323,0
111.46,5.3063,129.2,109.82,1.0262,43.066,0
52.876,5.5374,366.06,51.237,1.2573,279.93,0
93.563,5.518,129.2,91.924,1.232,43.066,0
49.798,5.506,129.2,48.159,1.1739,43.066,0
19.504,5.6393,818.26,17.866,1.3072,732.13,0
5.3586,5.6529,215.33,3.7197,1.3208,129.2,0
35.915,5.6805,129.2,34.276,1.3176,43.066,0
9.2414,5.5808,409.13,7.6025,1.2179,323,0
63.205,5.5613,150.73,61.566,1.171,64.6,0
31.892,5.5482,107.67,30.253,1.1579,21.533,0
166.02,5.2644,107.67,164.38,0.87413,21.533,0
262.96,5.2579,925.93,261.32,0.86762,839.79,0
291.73,5.2256,925.93,290.09,0.83531,839.79,0
201.78,5.3791,150.73,200.14,0.98876,64.6,0
243.2,5.2815,452.2,241.56,0.89123,366.06,0
227.14,5.3741,452.2,225.5,0.98377,366.06,0
102.95,5.4908,430.66,101.31,1.1005,344.53,0
283.72,5.3709,107.67,282.08,0.98056,21.533,0
82.061,5.541,107.67,80.422,1.1507,21.533,0
72.068,5.6496,452.2,70.429,1.2593,366.06,0
9.3524,5.7208,689.06,7.7136,1.3305,602.93,0
26.326,5.5286,710.6,24.687,1.1383,624.46,0
11.694,5.602,430.66,10.055,1.2117,344.53,0
43.045,5.6249,452.2,41.406,1.2346,366.06,0
44.133,5.4149,323,42.494,1.0246,236.87,0
211.04,5.398,344.53,209.4,1.0077,258.4,0
282.33,5.3025,129.2,280.69,0.91223,43.066,0
260.58,5.3078,279.93,258.94,0.91753,193.8,0
131.31,5.4504,409.13,129.67,1.06,323,0
154.09,5.3717,129.2,152.45,0.98136,43.066,0
64.489,5.5047,473.73,62.85,1.1144,387.6,0
102.21,5.4741,667.53,100.57,1.0838,581.4,0
211.66,5.393,624.46,210.02,1.0027,538.33,0
162.35,5.4229,107.67,160.71,1.0326,21.533,0
89.786,5.5615,258.4,88.147,1.1712,172.27,0
40.401,5.631,689.06,38.762,1.2407,602.93,0
82.233,5.5786,495.26,80.595,1.1883,409.13,0
98.513,5.5833,387.6,96.874,1.193,301.46,0
167.55,5.5662,452.2,165.91,1.1759,366.06,0
78.019,5.6305,473.73,76.38,1.2402,387.6,0
67.971,5.6621,387.6,66.332,1.2718,301.46,0
17.651,5.6912,430.66,16.012,1.3009,344.53,0
54.333,5.5845,710.6,52.694,1.1942,624.46,0
3.0602,5.6052,452.2,1.4213,1.2149,366.06,0
124.41,5.6731,150.73,122.77,1.2828,64.6,0
138.5,5.7083,1744.2,136.86,1.318,1658.1,0
173.18,5.5169,452.2,171.54,1.1266,366.06,0
140.29,5.5614,452.2,138.65,1.1711,366.06,0
372.37,5.3787,452.2,370.73,0.98838,366.06,0
353.37,5.3366,430.66,351.73,0.94628,344.53,0
448.71,5.1433,430.66,447.07,0.75295,344.53,0
374.7,5.3311,430.66,373.06,0.94081,344.53,0
454.65,5.471,430.66,453.02,1.0806,344.53,0
596.04,5.4592,430.66,594.4,1.0689,344.53,0
298.1,5.5271,430.66,296.46,1.1368,344.53,0
446.73,5.6041,430.66,445.09,1.2138,344.53,0
162.32,5.805,452.2,160.68,1.4147,366.06,0
145.81,5.7136,430.66,144.17,1.3233,344.53,0
30.213,5.7118,710.6,28.574,1.3215,624.46,0
36.839,5.6197,732.13,35.2,1.2294,646,0
113.82,5.4253,732.13,112.18,1.035,646,0
200.87,5.2669,473.73,199.23,0.87659,387.6,0
889.7,5.7369,323,888.06,1.3466,236.87,0
1282.9,5.6605,279.93,1281.3,1.2702,193.8,0
994.57,5.5386,473.73,992.93,1.1483,387.6,0
887.19,5.3494,473.73,885.55,0.95909,387.6,0
748.8,5.3895,753.66,747.17,0.9992,667.53,1
1109,5.2395,710.6,1107.3,0.84923,624.46,1
831.64,5.2256,775.2,830,0.8353,689.06,1
566.59,5.4139,818.26,564.95,1.0236,732.13,1
1366.6,5.0357,646,1364.9,0.64537,559.86,1
1351.9,4.8924,710.6,1350.3,0.50206,624.46,1
852.69,5.1628,430.66,851.05,0.77249,344.53,1
969.95,5.0521,430.66,968.31,0.66183,344.53,1
824.57,4.9933,452.2,822.94,0.60298,366.06,1
1130.4,4.7443,452.2,1128.8,0.35397,366.06,1
995.38,4.8291,452.2,993.74,0.43882,366.06,1
1073.6,4.847,452.2,1072,0.45665,366.06,1
906.23,5.0297,452.2,904.59,0.63937,366.06,1
699.92,5.1023,452.2,698.28,0.71196,366.06,1
635.49,5.1759,430.66,633.85,0.78559,344.53,1
978.5,5.2719,430.66,976.86,0.88159,344.53,1
940.24,5.3235,409.13,938.6,0.93322,323,1
713.82,5.2725,409.13,712.18,0.8822,323,1
795.36,5.2328,753.66,793.72,0.84253,667.53,1
806.56,5.2367,732.13,804.92,0.84643,646,1
877.52,5.0793,689.06,875.89,0.68898,602.93,1
919.62,5.0718,667.53,917.98,0.68152,581.4,1
817.1,5.1003,646,815.46,0.70995,559.86,1
778.93,5.1525,624.46,777.29,0.76221,538.33,1
826.63,5.2397,559.86,824.99,0.84942,473.73,1
638.66,5.3115,538.33,637.02,0.92116,452.2,1
725.91,5.3107,516.8,724.27,0.92038,430.66,1
524.47,5.3667,473.73,522.83,0.97642,387.6,1
508.5,5.3847,473.73,506.86,0.99437,387.6,1
697.75,5.3405,473.73,696.11,0.95023,387.6,1
668.67,5.279,473.73,667.03,0.88869,387.6,1
782.59,5.2778,473.73,780.95,0.88746,387.6,1
580.91,5.3258,689.06,579.27,0.93552,602.93,1
528.14,5.4076,452.2,526.51,1.0172,366.06,1
449.27,5.3371,689.06,447.63,0.94678,602.93,1
401.8,5.3485,710.6,400.16,0.95814,624.46,1
507.72,5.321,473.73,506.08,0.93067,387.6,1
714.09,5.1763,495.26,712.45,0.78602,409.13,1
690.77,5.2743,495.26,689.14,0.88394,409.13,1
605.67,5.2447,624.46,604.03,0.85438,538.33,1
592.87,5.2309,495.26,591.23,0.84057,409.13,1
511.73,5.439,516.8,510.09,1.0487,430.66,1
671.62,5.2949,516.8,669.98,0.90457,430.66,1
504.03,5.3431,516.8,502.39,0.95283,430.66,1
565.52,5.2544,538.33,563.88,0.86405,452.2,1
495.8,5.6047,538.33,494.16,1.2144,452.2,1
818.56,5.5023,538.33,816.92,1.1119,452.2,1
709.29,5.4989,559.86,707.65,1.1086,473.73,1
975.82,5.3467,624.46,974.19,0.95642,538.33,1
1678.2,5.1996,495.26,1676.5,0.80928,409.13,1
3395.4,4.7946,538.33,3393.8,0.40432,452.2,1
3589.3,4.6704,538.33,3587.6,0.28013,430.66,1
2671,4.9431,516.8,2669.4,0.55276,409.13,1
3927.7,4.8174,538.33,3926,0.42707,430.66,1
4678.4,4.8244,581.4,4676.8,0.43405,473.73,1
7068.7,4.7798,581.4,7067,0.38948,473.73,1
6653.5,4.3392,581.4,6651.9,0,473.73,1
6344.2,4.5859,581.4,6342.6,0.24665,473.73,1
5997.3,4.5911,559.86,5995.7,0.25185,452.2,1
4842.1,4.6322,559.86,4840.4,0.29298,452.2,1
4260.3,4.7246,538.33,4258.6,0.38538,430.66,1
3282.2,4.9746,538.33,3280.5,0.63541,430.66,1
2432.4,4.9337,516.8,2430.7,0.59448,409.13,1
2522,4.8524,516.8,2520.3,0.51321,409.13,1
2120.1,5.1311,495.26,2118.4,0.79187,387.6,1
1698.7,5.231,495.26,1697.1,0.89183,387.6,1
1959.7,5.1026,473.73,1958.1,0.76339,366.06,1
1863.9,5.2762,473.73,1862.2,0.937,366.06,1
1697.2,5.2897,473.73,1695.6,0.95048,366.06,1
1680.8,5.0776,473.73,1679.2,0.73835,366.06,1
1576.9,4.9389,473.73,1575.2,0.59964,366.06,1
1610.1,4.9784,473.73,1608.5,0.6392,366.06,1
1788.1,4.9021,473.73,1786.5,0.5629,366.06,1
1511,4.9058,473.73,1509.3,0.5666,366.06,1
1540.6,4.8555,452.2,1538.9,0.51628,344.53,1
1705.8,5.0393,452.2,1704.2,0.70009,344.53,1
1346,5.29,452.2,1344.4,0.95082,344.53,1
1518,5.2214,452.2,1516.4,0.88218,344.53,1
1648.3,5.1782,452.2,1646.7,0.83894,344.53,1
1580.4,4.9842,452.2,1578.8,0.64503,344.53,1
1804.5,5.0826,452.2,1802.9,0.74339,344.53,1
1833.1,5.1257,473.73,1831.4,0.78648,366.06,1
1921.5,4.9226,473.73,1919.9,0.58339,366.06,1
2342.4,4.667,473.73,2340.7,0.32774,366.06,1
2706.1,4.7084,473.73,2703,0.36915,366.06,1
2268.5,4.9186,473.73,2265.4,0.57943,366.06,1
1680.4,5.1773,495.26,1677.4,0.83806,387.6,1
2139.9,5.124,495.26,2136.8,0.78479,387.6,1
2151,5.1828,495.26,2147.9,0.84359,387.6,1
2366.5,5.1356,495.26,2363.5,0.79638,387.6,1
2493.2,5.0591,495.26,2490.1,0.71992,387.6,1
1970.6,5.0632,495.26,1967.5,0.72402,387.6,1
2187.4,4.8868,495.26,2184.3,0.54757,387.6,1
2486.8,5.0988,516.8,2483.7,0.7596,409.13,1
3070.2,4.976,516.8,3067.1,0.63675,409.13,1
3178.9,4.9232,516.8,3175.8,0.58396,409.13,1
3876.2,5.1666,516.8,3873.2,0.82742,409.13,1
3924.9,5.2599,516.8,3921.9,0.92072,409.13,1
3972.6,5.1494,516.8,3969.6,0.81015,409.13,1
4270.7,5.1305,516.8,4267.7,0.79128,409.13,1
3993.3,5.1736,516.8,3990.2,0.8344,409.13,1
4907.1,5.1474,516.8,4904,0.80815,409.13,1
