@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.83252,13,0.58809,6,1
0.49719,20,0.25276,13,1
0.76629,13,0.52187,6,1
0.42505,21,0.18062,14,1
0.47874,19,0.23432,12,1
0.82227,17,0.57784,10,1
0.88943,13,0.64501,6,1
1.0334,12,0.78901,5,1
0.96041,11,0.71598,4,1
1.0673,14,0.82284,7,1
0.82726,22,0.58283,15,1
0.85039,30,0.60596,23,1
0.32162,29,0.077193,22,1
0.395,27,0.15057,20,1
0.8217,16,0.57728,9,1
1.5081,10,1.2637,3,1
1.6602,10,1.4158,3,1
1.4687,10,1.2242,3,1
1.2654,10,1.021,3,1
1.5344,11,1.29,4,1
1.5708,11,1.3263,4,1
1.6355,11,1.3911,4,1
1.5516,11,1.3072,4,1
1.5711,10,1.3267,3,1
1.5665,10,1.3221,3,1
1.5258,10,1.2814,3,1
1.4471,10,1.2027,3,1
1.4326,9,1.1881,2,1
1.5447,9,1.3003,2,1
1.4481,9,1.2036,2,1
1.2163,9,0.9719,2,1
1.2746,12,1.0302,5,1
1.1429,10,0.89849,3,1
1.0639,20,0.81951,13,1
1.2367,23,0.99225,16,1
1.3536,9,1.1092,2,1
1.3544,16,1.11,9,1
1.4267,9,1.1823,2,1
1.4086,13,1.1642,6,1
1.4436,16,1.1992,9,1
1.3967,23,1.1523,16,1
1.1694,40,0.92499,33,1
1.16,40,0.91553,33,1
1.2908,40,1.0463,33,1
1.3608,40,1.1164,33,1
1.1862,40,0.94179,33,1
1.0773,32,0.83284,25,1
1.2966,26,1.0522,19,1
1.4314,20,1.187,13,1
1.4425,14,1.1981,7,1
1.3557,38,1.1112,31,1
1.2829,41,1.0385,34,1
1.3877,27,1.1433,20,1
1.3266,12,1.0822,5,1
1.3465,14,1.1021,7,1
1.344,11,1.0996,4,1
1.2855,9,1.0411,2,1
1.3649,10,1.1205,3,1
1.2288,19,0.98433,12,1
1.3141,15,1.0696,8,1
1.3834,9,1.1389,2,1
1.4004,10,1.156,3,1
1.364,10,1.1195,3,1
1.3659,10,1.1215,3,1
1.3963,10,1.1519,3,1
1.3478,10,1.1034,3,1
1.3063,9,1.0618,2,1
