@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1983.2,4.8607,452.2,0.061837,3,4,1922.2,0.82819,366.06,0.061026,3,4,1
1894.4,4.8788,452.2,0.051233,3,4,1833.4,0.84636,366.06,0.050423,3,4,1
1715.5,5.0053,452.2,0.060822,4,4,1654.5,0.97285,366.06,0.060011,4,4,1
1690.2,4.9395,452.2,0.064755,4,4,1629.2,0.90699,366.06,0.063944,4,4,1
1726.8,4.9403,452.2,0.060411,4,4,1665.8,0.90786,366.06,0.059601,4,4,1
1716.9,4.9395,452.2,0.057878,4,4,1655.9,0.90698,366.06,0.057068,4,4,1
1737.2,4.934,452.2,0.061025,4,4,1676.2,0.90147,366.06,0.060214,4,4,1
1783.1,4.9357,452.2,0.061064,4,4,1722.1,0.90319,366.06,0.060254,4,4,1
1850.8,4.8897,452.2,0.060989,3,4,1789.8,0.85717,366.06,0.060179,3,4,1
1932.4,4.8398,452.2,0.058925,4,4,1871.4,0.80729,366.06,0.058115,4,4,1
1919.1,4.8897,452.2,0.061403,4,4,1858.2,0.85724,366.06,0.060593,4,4,1
1920.6,4.8701,452.2,0.056773,3,4,1859.6,0.83766,366.06,0.055963,3,4,1
1941.8,4.9068,473.73,0.054869,3,4,1880.8,0.87429,387.6,0.054059,3,4,1
1957.1,4.8105,473.73,0.052834,3,4,1896.1,0.77802,387.6,0.052023,3,4,1
1988,4.8613,473.73,0.053268,3,4,1927,0.82879,387.6,0.052457,3,4,1
2061.3,4.8469,473.73,0.053071,3,4,2000.3,0.81442,387.6,0.05226,3,4,1
2067.1,4.8676,473.73,0.054887,3,4,2006.1,0.83508,387.6,0.054077,3,4,1
2110.9,4.7848,473.73,0.046698,3,4,2049.9,0.75236,387.6,0.045887,3,4,1
2082.8,4.8124,473.73,0.052593,3,4,2021.8,0.77995,387.6,0.051782,3,4,1
2046.4,4.9187,452.2,0.056149,3,4,1985.4,0.88621,366.06,0.055338,3,4,1
