@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.022301,1,13,0.022243,1,13,1
0.014954,1,13,0.014896,1,13,1
0.015854,1,13,0.015796,1,13,1
0.018073,1,13,0.018015,1,13,1
0.020645,1,13,0.020587,1,13,1
0.018545,1,13,0.018486,1,13,1
0.015195,1,13,0.015137,1,13,1
0.01647,1,13,0.016412,1,13,1
0.014815,1,15,0.014757,1,15,1
0.021755,1,17,0.021697,1,17,1
0.03514,1,17,0.035082,1,17,1
0.029181,1,17,0.029123,1,17,1
0.044632,1,17,0.044574,1,17,1
0.027031,1,17,0.026972,1,17,1
0.063127,2,17,0.063069,2,17,1
0.058326,3,5,0.058268,3,5,1
0.059863,5,5,0.059805,5,5,1
0.067229,6,5,0.06717,6,5,1
0.051395,2,5,0.051336,2,5,1
0.066124,3,12,0.066066,3,12,1
0.054836,2,13,0.054778,2,13,1
0.048683,3,5,0.048625,3,5,1
0.056675,2,21,0.056617,2,21,1
0.03456,3,5,0.034501,3,5,1
0.037008,4,5,0.03695,4,5,1
0.030197,4,6,0.030139,4,6,1
0.046615,6,5,0.046557,6,5,1
0.061109,6,5,0.061051,6,5,1
0.067431,5,5,0.067373,5,5,1
0.065565,6,5,0.065364,6,5,1
0.049899,5,5,0.049698,5,5,1
0.05159,3,13,0.051388,3,13,1
0.058138,4,5,0.057937,4,5,1
0.047701,3,5,0.0475,3,5,1
0.045773,4,5,0.045572,4,5,1
0.042763,1,13,0.042562,1,13,1
0.048071,2,13,0.04787,2,13,1
0.052606,3,13,0.052405,3,13,1
0.056474,3,5,0.056273,3,5,1
0.051354,2,13,0.051153,2,13,1
0.045998,2,13,0.045796,2,13,1
0.045062,2,13,0.044861,2,13,1
0.041936,1,13,0.041734,1,13,1
0.04287,1,13,0.042668,1,13,1
0.041399,1,13,0.041197,1,13,1
0.049962,1,14,0.049761,1,14,1
0.053315,2,14,0.053113,2,14,1
0.050662,2,14,0.050461,2,14,1
0.044196,1,14,0.043995,1,14,1
0.048634,1,14,0.048433,1,14,1
0.041342,2,14,0.041141,2,14,1
0.049092,2,14,0.04889,2,14,1
0.047702,2,14,0.047501,2,14,1
0.0508,2,14,0.050599,2,14,1
0.046606,2,14,0.046405,2,14,1
0.048108,2,14,0.047907,2,14,1
0.055817,2,14,0.055616,2,14,1
0.05796,2,14,0.057759,2,14,1
0.056918,4,3,0.056717,4,3,1
0.045059,3,9,0.044857,3,9,1
0.044096,2,14,0.043895,2,14,1
0.042124,3,6,0.041923,3,6,1
0.046692,2,14,0.046491,2,14,1
0.039943,2,14,0.039742,2,14,1
0.036906,2,14,0.036705,2,14,1
0.037286,2,14,0.037085,2,14,1
0.030606,2,14,0.030405,2,14,1
0.029695,2,14,0.029494,2,14,1
0.033323,2,9,0.033122,2,9,1
0.025367,2,9,0.025166,2,9,1
0.02442,1,22,0.024218,1,22,1
0.021953,1,17,0.021752,1,17,1
0.034723,2,14,0.034522,2,14,1
0.028121,1,14,0.02792,1,14,1
0.018031,1,14,0.01783,1,14,1
0.0053114,0,0,0.0051101,0,0,1
0.0083327,0,0,0.0081315,0,0,1
0.0078222,0,0,0.007621,0,0,1
0.013585,1,18,0.013384,1,18,1
0.01508,1,18,0.014879,1,18,1
