@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0015937,0,0.13884,0.026316,0.0025675,0.00089807,19,0
0.0016213,2.7633e-05,0.14701,0.018149,0.0029353,0.0012659,58,0
0.0016503,5.6604e-05,0.15245,0.012704,0.0026413,0.00097194,46,0
0.001645,5.1336e-05,0.12976,0.03539,0.0016776,8.2091e-06,86,0
0.0016683,7.4598e-05,0.12341,0.041742,0.0022434,0.00057404,66,0
0.0014711,0,0.15336,0.011797,0.0026185,0.00094913,147,0
0.0013076,0,0.15971,0.0054446,0.0020694,0.00040003,68,0
0.0013672,5.9596e-05,0.16515,0,0.0021981,0.00052865,72,0
0.0013951,8.7509e-05,0.17695,0,0.0020819,0.00041248,153,0
0.0012238,0,0.18603,0,0.0016426,0,123,0
0.0010825,0,0.18421,0.0018149,0.0019038,0.00026117,40,0
0.0011544,7.1899e-05,0.17604,0.0099819,0.0015354,0,61,0
0.0013259,0.00024339,0.15426,0.03176,0.0018142,0.00027871,139,0
0.0012375,0.00015508,0.16969,0.016334,0.0018848,0.00034933,75,0
0.0010457,0,0.20871,0,0.0016662,0.00013078,94,0
0.0009479,0,0.22232,0,0.0014357,0,78,0
0.0010953,0.00014745,0.20236,0.019964,0.0012343,0,59,0
0.0011989,0.00025095,0.16606,0.056261,0.0015631,0.00032875,129,0
0.0010645,0.00011661,0.18421,0.038113,0.0012628,2.8443e-05,149,0
0.00094367,0,0.22323,0,0.0012007,0,144,0
0.00091538,0,0.20599,0.017241,0.0014413,0.00024058,93,0
0.0011283,0.00021293,0.15154,0.071688,0.0013723,0.00017166,31,0
0.0012635,0.00034809,0.14247,0.080762,0.0013405,0.00013981,99,0
0.0011172,0.00020177,0.16697,0.056261,0.0012083,7.6136e-06,18,0
0.0010912,0.00017586,0.16243,0.060799,0.0016912,0.00049049,18,0
0.0011061,0.00019072,0.1588,0.064428,0.0013925,0.00019182,18,0
0.0010227,0.00010736,0.16788,0.055354,0.0016635,0.00046281,68,0
0.0011297,0.00021436,0.16515,0.058076,0.0019099,0.00070924,139,0
0.0012973,0.00038191,0.16969,0.053539,0.0017877,0.00058706,18,0
0.001434,0.00051866,0.18784,0.03539,0.0028048,0.0016042,95,0
0.0017267,0.0008113,0.20871,0.014519,0.0033185,0.0021178,19,0
0.0017151,0.0007997,0.21234,0.010889,0.0027698,0.0015691,18,0
0.0015268,0.00061142,0.21688,0.0063521,0.0023837,0.0011831,150,0
0.001749,0.00083367,0.20871,0.014519,0.0040076,0.0028069,17,0
0.0019546,0.0010392,0.18784,0.03539,0.0033352,0.0021345,44,0
0.0019513,0.0010359,0.19782,0.025408,0.0026935,0.0014928,31,0
0.0021388,0.0012234,0.19056,0.032668,0.0033932,0.0021925,39,0
0.0024038,0.0014884,0.19056,0.032668,0.0044966,0.0032959,69,0
0.0024412,0.0015258,0.16969,0.053539,0.0043285,0.0031278,93,0
0.0021747,0.0012594,0.14338,0.079855,0.0048939,0.0036933,35,0
0.0032928,0.0023775,0.11162,0.11162,0.0038488,0.0026481,17,0
0.0037279,0.0028125,0.056261,0.16697,0.0024415,0.0012408,89,0
0.0028897,0.0019744,0.057169,0.16606,0.0032477,0.0020471,89,0
0.0028867,0.0019713,0.058076,0.16515,0.0014147,0.00021405,83,0
0.0025111,0.0015957,0.062613,0.16062,0.0012131,1.2438e-05,147,0
0.0015704,0.00065501,0.10436,0.11887,0.0010185,0,100,0
0.0013018,0.0003864,0.18149,0.041742,0.0015653,0.00054681,121,0
0.0013259,0.00041048,0.17514,0.048094,0.0011415,0.00012301,122,0
0.0012661,0.00035077,0.12613,0.097096,0.00094813,0,138,0
0.001242,0.00032659,0.11978,0.10345,0.00074457,0,74,0
0.0014804,0.00056504,0.11434,0.10889,0.0013141,0.00056952,66,0
0.0015106,0.00059519,0.13612,0.087114,0.0026917,0.0019471,65,0
0.0016301,0.00071476,0.11525,0.10799,0.0032582,0.0025136,66,0
0.0017844,0.00086906,0.087114,0.13612,0.0018841,0.0011395,70,0
0.0017519,0.00083652,0.10254,0.12069,0.0011368,0.00039221,77,0
0.001626,0.00071063,0.10799,0.11525,0.0014974,0.00075287,75,0
0.0014201,0.00050476,0.13067,0.092559,0.0024012,0.0016566,147,0
0.0012291,0.00031368,0.17423,0.049002,0.0016395,0.00089489,138,0
0.0013061,0.0003907,0.13158,0.091652,0.0013694,0.00062482,163,0
0.0013318,0.00041637,0.13249,0.090744,0.0019587,0.0012141,157,0
0.0012717,0.00035628,0.17423,0.049002,0.0018334,0.0010888,122,0
0.001763,0.00084759,0.11797,0.10526,0.0010301,0.00028556,150,0
0.0019851,0.0010697,0.077132,0.1461,0.0014383,0.00069377,170,0
0.0015506,0.00063524,0.11252,0.11071,0.0010738,0.00032927,182,0
0.0012183,0.00030294,0.13521,0.088022,0.001028,0.0002834,76,0
0.0012038,0.00028847,0.11525,0.10799,0.0007551,1.053e-05,164,0
0.0012695,0.00035413,0.14247,0.080762,0.00071051,0,143,0
0.0014328,0.00051737,0.14882,0.07441,0.0013634,0.00065285,175,0
0.0014336,0.0005182,0.12341,0.099819,0.0011663,0.00045582,153,0
