@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.24278,0.24055,0.056261,0.10889,1.604,1.5212,2,23,1
0.24214,0.23991,0.067151,0.098004,1.5995,1.5167,3,22,1
0.23477,0.23254,0.064428,0.10073,1.591,1.5082,2,23,1
0.22563,0.22341,0.060799,0.10436,1.5111,1.4283,2,23,1
0.21726,0.21503,0.062613,0.10254,1.495,1.4122,2,23,1
0.2115,0.20927,0.065336,0.099819,1.5156,1.4328,4,21,1
0.20068,0.19845,0.073503,0.091652,1.4738,1.391,8,17,1
0.18541,0.18318,0.071688,0.093466,1.4037,1.3209,14,11,1
0.18279,0.18056,0.07078,0.094374,1.4073,1.3245,16,9,1
0.18015,0.17793,0.07441,0.090744,1.4034,1.3206,16,9,1
0.18306,0.18083,0.07441,0.090744,1.4017,1.3189,15,10,1
0.18726,0.18503,0.072595,0.092559,1.4243,1.3415,10,15,1
0.19059,0.18837,0.075318,0.089837,1.4254,1.3426,5,20,1
0.19811,0.19588,0.068058,0.097096,1.4667,1.384,4,21,1
0.20414,0.20191,0.059891,0.10526,1.4564,1.3736,5,20,1
0.20354,0.20131,0.059891,0.10526,1.4185,1.3357,4,21,1
0.2016,0.19937,0.058984,0.10617,1.3903,1.3075,5,20,1
0.20293,0.20071,0.063521,0.10163,1.4337,1.3509,4,21,1
0.20913,0.2069,0.061706,0.10345,1.5177,1.4349,2,23,1
0.21498,0.21275,0.054446,0.11071,1.567,1.4842,2,23,1
0.21867,0.21645,0.053539,0.11162,1.5578,1.4751,2,23,1
0.22058,0.21835,0.058984,0.10617,1.5418,1.459,2,23,1
0.22253,0.22031,0.068966,0.096189,1.5278,1.445,6,19,1
0.21953,0.2173,0.072595,0.092559,1.5134,1.4306,10,15,1
0.20568,0.20345,0.07441,0.090744,1.441,1.3582,10,15,1
0.18649,0.18426,0.078947,0.086207,1.2956,1.2129,9,16,1
0.17452,0.17229,0.077132,0.088022,1.2175,1.1347,6,19,1
0.17778,0.17555,0.083485,0.08167,1.1821,1.0993,6,19,1
0.17969,0.17746,0.086207,0.078947,1.2098,1.127,6,19,1
0.17559,0.17336,0.076225,0.088929,1.1936,1.1108,6,19,1
0.17528,0.17306,0.073503,0.091652,1.1992,1.1165,6,19,1
0.1767,0.17447,0.064428,0.10073,1.2226,1.1398,6,19,1
0.1736,0.17137,0.057169,0.10799,1.2179,1.1352,6,19,1
0.17565,0.17342,0.057169,0.10799,1.2204,1.1376,6,19,1
0.18215,0.17992,0.052632,0.11252,1.2249,1.1421,8,17,1
0.18521,0.18298,0.046279,0.11887,1.2347,1.1519,6,19,1
0.18929,0.18706,0.052632,0.11252,1.3963,1.3136,9,16,1
0.19494,0.19271,0.061706,0.10345,1.4945,1.4117,9,16,1
0.19677,0.19454,0.064428,0.10073,1.5421,1.4593,9,16,1
0.20469,0.20246,0.056261,0.10889,1.5319,1.4491,9,16,1
0.21633,0.2141,0.052632,0.11252,1.5534,1.4706,9,16,1
0.23246,0.23024,0.059891,0.10526,1.5774,1.4946,10,15,1
0.25156,0.24933,0.061706,0.10345,1.5688,1.486,10,15,1
0.2638,0.26158,0.057169,0.10799,1.6684,1.5856,6,19,1
0.27256,0.27033,0.055354,0.1098,1.6763,1.5935,2,23,1
0.27303,0.2708,0.062613,0.10254,1.684,1.6013,10,15,1
0.27065,0.26842,0.064428,0.10073,1.6732,1.5904,6,19,1
0.27041,0.26818,0.064428,0.10073,1.6776,1.5948,2,23,1
0.28026,0.27803,0.055354,0.1098,1.6867,1.6039,2,23,1
0.2976,0.29537,0.04265,0.1225,1.6681,1.5853,2,23,1
0.30672,0.30449,0.032668,0.13249,1.6404,1.5576,2,23,1
0.31004,0.30781,0.023593,0.14156,1.6346,1.5518,2,23,1
0.30616,0.30393,0.021779,0.14338,1.6298,1.547,2,23,1
0.29965,0.29742,0.020871,0.14428,1.6067,1.5239,2,23,1
0.29442,0.29219,0.022686,0.14247,1.5858,1.503,2,23,1
0.29787,0.29564,0.028131,0.13702,1.5868,1.504,2,23,1
0.30256,0.30033,0.028131,0.13702,1.5794,1.4966,2,23,1
0.29563,0.2934,0.027223,0.13793,1.5314,1.4486,2,23,1
0.28677,0.28454,0.033575,0.13158,1.5142,1.4314,2,23,1
0.27378,0.27155,0.04265,0.1225,1.5193,1.4365,2,23,1
0.2671,0.26487,0.046279,0.11887,1.502,1.4192,2,23,1
0.26601,0.26378,0.043557,0.1216,1.4488,1.366,2,23,1
0.2554,0.25317,0.041742,0.12341,1.3631,1.2803,4,21,1
0.24925,0.24702,0.04265,0.1225,1.3068,1.224,6,19,1
0.24025,0.23802,0.034483,0.13067,1.2969,1.2141,6,19,1
0.23536,0.23313,0.033575,0.13158,1.2975,1.2147,6,19,1
0.22416,0.22193,0.051724,0.11343,1.2887,1.2059,6,19,1
0.20329,0.20106,0.052632,0.11252,1.2461,1.1633,6,19,1
0.20625,0.20402,0.041742,0.12341,1.283,1.2002,4,21,1
