@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1881.6,1843.4,4.6716,0.93289,452.2,366.06,1.4254,1.3426,5,20,1
1953.5,1915.2,4.612,0.99249,452.2,366.06,1.4667,1.384,4,21,1
2037.7,1999.4,4.5662,1.0382,452.2,366.06,1.4564,1.3736,5,20,1
2038.6,2000.3,4.5699,1.0346,452.2,366.06,1.4185,1.3357,4,21,1
2031.7,1993.5,4.5764,1.028,452.2,366.06,1.3903,1.3075,5,20,1
2060.5,2022.3,4.5838,1.0206,473.73,387.6,1.4337,1.3509,4,21,1
2071.1,2032.8,4.472,1.1325,473.73,387.6,1.5177,1.4349,2,23,1
2114.1,2075.8,4.4937,1.1107,473.73,387.6,1.567,1.4842,2,23,1
2184.7,2146.4,4.4884,1.1161,473.73,387.6,1.5578,1.4751,2,23,1
2185.4,2147.1,4.5165,1.0879,473.73,387.6,1.5418,1.459,2,23,1
2233.7,2195.4,4.4116,1.1929,473.73,387.6,1.5278,1.445,6,19,1
2209.6,2171.4,4.4455,1.159,473.73,387.6,1.5134,1.4306,10,15,1
2173.5,2135.3,4.5813,1.0232,452.2,366.06,1.441,1.3582,10,15,1
1924.3,1886,4.6712,0.93325,452.2,366.06,1.2956,1.2129,9,16,1
1735.5,1697.2,4.661,0.94348,452.2,366.06,1.2175,1.1347,6,19,1
1765.7,1727.5,4.5676,1.0368,452.2,366.06,1.1821,1.0993,6,19,1
1869.5,1831.2,4.5541,1.0503,452.2,366.06,1.2098,1.127,6,19,1
1798.6,1760.3,4.512,1.0925,452.2,366.06,1.1936,1.1108,6,19,1
1747.6,1709.3,4.6393,0.96518,452.2,366.06,1.1992,1.1165,6,19,1
1722.3,1684,4.5755,1.0289,452.2,366.06,1.2226,1.1398,6,19,1
1720.2,1682,4.363,1.2415,452.2,366.06,1.2179,1.1352,6,19,1
1711.9,1673.7,4.3348,1.2696,452.2,366.06,1.2204,1.1376,6,19,1
1762.5,1724.2,4.1706,1.4339,452.2,366.06,1.2249,1.1421,8,17,1
1824.1,1785.8,4.2908,1.3136,452.2,366.06,1.2347,1.1519,6,19,1
1832.6,1794.3,4.3072,1.2972,452.2,366.06,1.3963,1.3136,9,16,1
1824.5,1786.3,4.1329,1.4715,452.2,366.06,1.4945,1.4117,9,16,1
1920.3,1882,4.1325,1.472,452.2,366.06,1.5421,1.4593,9,16,1
1908,1869.7,4.0696,1.5349,452.2,366.06,1.5319,1.4491,9,16,1
2049.6,2011.3,4.1403,1.4642,452.2,366.06,1.5534,1.4706,9,16,1
2249.3,2211.1,4.0852,1.5192,473.73,387.6,1.5774,1.4946,10,15,1
2399.9,2361.6,4.2757,1.3287,473.73,387.6,1.5688,1.486,10,15,1
2591.2,2552.9,4.3513,1.2531,473.73,387.6,1.6684,1.5856,6,19,1
2604.1,2565.8,4.5096,1.0948,473.73,387.6,1.6763,1.5935,2,23,1
2544.1,2505.8,4.0363,1.5682,473.73,387.6,1.684,1.6013,10,15,1
2508,2469.7,4.0714,1.5331,473.73,387.6,1.6732,1.5904,6,19,1
2478.2,2439.9,4.1327,1.4718,473.73,387.6,1.6776,1.5948,2,23,1
2590.1,2551.8,4.1338,1.4707,495.26,409.13,1.6867,1.6039,2,23,1
2705.1,2666.9,4.1928,1.4116,495.26,409.13,1.6681,1.5853,2,23,1
2833,2794.7,4.1412,1.4632,495.26,409.13,1.6404,1.5576,2,23,1
2888.1,2849.9,4.2368,1.3677,495.26,409.13,1.6346,1.5518,2,23,1
2816.9,2778.6,4.2059,1.3986,495.26,409.13,1.6298,1.547,2,23,1
2819.4,2781.1,4.3005,1.304,495.26,409.13,1.6067,1.5239,2,23,1
2814.3,2776,4.2836,1.3208,495.26,409.13,1.5858,1.503,2,23,1
2917,2878.7,4.3106,1.2938,495.26,409.13,1.5868,1.504,2,23,1
2872.7,2834.4,4.2781,1.3263,495.26,409.13,1.5794,1.4966,2,23,1
2828.6,2790.3,4.3428,1.2616,495.26,409.13,1.5314,1.4486,2,23,1
2764.6,2726.3,4.3345,1.2699,473.73,387.6,1.5142,1.4314,2,23,1
2578.2,2539.9,4.1917,1.4127,473.73,387.6,1.5193,1.4365,2,23,1
2525.1,2486.8,4.1652,1.4393,473.73,387.6,1.502,1.4192,2,23,1
2523.8,2485.5,4.325,1.2795,473.73,387.6,1.4488,1.366,2,23,1
2587.2,2548.9,4.4136,1.1908,473.73,387.6,1.3631,1.2803,4,21,1
