@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0052504,0.0045874,174,0
0.0044728,0.0038098,97,0
0.0042141,0.0035512,20,0
0.0036533,0.0029904,22,0
0.0023502,0.0016873,78,0
0.0029678,0.0023049,35,0
0.0051201,0.0044572,20,0
0.0082868,0.0076239,21,0
0.011085,0.010422,31,0
0.012768,0.012105,33,0
0.013632,0.012969,98,0
0.014763,0.014101,34,0
0.012434,0.011771,24,0
0.01355,0.012887,35,0
0.015088,0.014425,33,0
0.011056,0.010393,22,0
0.011816,0.011153,87,0
0.011748,0.011085,90,0
0.0080205,0.0073576,133,0
0.0055843,0.0049214,143,0
0.0054245,0.0047616,73,0
0.0037782,0.0031153,85,0
0.0044531,0.0037902,84,0
0.003054,0.0023911,86,0
0.0029866,0.0023237,84,0
0.0044767,0.0038138,85,0
0.011031,0.010368,24,0
0.01528,0.014617,20,0
0.016648,0.015985,18,0
0.019794,0.019131,19,0
0.02006,0.019397,19,0
0.026926,0.026263,19,0
0.024418,0.023755,20,0
0.014996,0.014333,34,0
0.010385,0.0097218,20,0
0.014628,0.013965,19,0
0.0047788,0.0041159,17,0
0.0020949,0.001432,193,0
0.0023001,0.0016372,76,0
0.0033779,0.002715,112,0
0.0025551,0.0018922,160,0
0.017645,0.016982,115,1
0.032325,0.031662,144,1
0.060562,0.0599,156,1
0.04315,0.042487,141,1
0.046361,0.045698,121,1
0.047623,0.04696,98,1
0.075471,0.074808,92,1
0.10072,0.10006,86,1
0.10214,0.10148,83,1
0.095733,0.09507,82,1
0.098613,0.09795,82,1
0.098951,0.098288,82,1
0.10526,0.1046,83,1
0.10059,0.099923,85,1
0.10098,0.10031,86,1
0.088955,0.088292,90,1
0.094294,0.093631,93,1
0.087283,0.08662,97,1
0.086649,0.085986,102,1
0.077359,0.076696,105,1
0.076585,0.075922,111,1
0.076085,0.075422,118,1
0.078603,0.07794,121,1
0.052956,0.052294,131,1
0.054415,0.053752,142,1
0.044448,0.043786,155,1
0.056901,0.056238,163,1
0.055392,0.054729,174,1
0.062906,0.062243,175,1
0.056453,0.05579,177,1
0.048973,0.04831,173,1
0.021383,0.02072,40,1
0.027421,0.026758,40,1
0.047087,0.046424,178,1
0.047673,0.04701,174,1
0.058909,0.058246,169,1
0.063903,0.06324,168,1
0.069316,0.068653,167,1
0.064541,0.063878,167,1
0.066307,0.065644,163,1
0.079301,0.078638,160,1
0.072415,0.071752,158,1
0.068207,0.067544,157,1
0.078116,0.077453,154,1
0.074289,0.073626,153,1
0.06648,0.065817,149,1
0.075581,0.074919,152,1
0.032693,0.03203,39,1
0.030536,0.029873,107,1
0.048143,0.047481,76,1
0.078207,0.077545,67,1
0.090003,0.08934,67,1
0.064187,0.063524,67,1
0.08162,0.080957,61,1
0.096934,0.096272,58,1
0.11962,0.11896,56,1
0.11855,0.11788,57,1
0.12157,0.1209,59,1
0.15925,0.15859,61,1
0.16421,0.16355,62,1
0.16576,0.1651,64,1
0.13182,0.13115,67,1
0.134,0.13334,69,1
0.13102,0.13036,71,1
0.12261,0.12195,72,1
0.11751,0.11685,74,1
0.11408,0.11341,77,1
0.1223,0.12163,79,1
0.11603,0.11537,79,1
0.11569,0.11503,79,1
0.11817,0.11751,79,1
0.11852,0.11785,79,1
0.12309,0.12242,79,1
0.12374,0.12308,80,1
0.11868,0.11802,81,1
0.11416,0.11349,81,1
0.11566,0.115,82,1
0.11174,0.11108,82,1
