@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0029858,0.00075788,0.11887,0.10073,0
0.0023971,0.00016916,0.11434,0.096189,0
0.0025065,0.00027855,0.11434,0.096189,0
0.002229,1.0106e-06,0.12704,0.10889,0
0.0018429,0,0.14882,0.13067,0
0.0018017,0,0.15064,0.13249,0
0.0016858,0,0.14701,0.12886,0
0.0016838,0,0.13975,0.1216,0
0.0015937,0,0.13884,0.12069,0
0.0016213,2.7633e-05,0.14701,0.12886,0
0.0016503,5.6604e-05,0.15245,0.1343,0
0.001645,5.1336e-05,0.12976,0.11162,0
0.0016683,7.4598e-05,0.12341,0.10526,0
0.0014711,0,0.15336,0.13521,0
0.0013076,0,0.15971,0.14156,0
0.0013672,5.9596e-05,0.16515,0.14701,0
0.0013951,8.7509e-05,0.17695,0.1588,0
0.0012238,0,0.18603,0.16788,0
0.0010825,0,0.18421,0.16606,0
0.0011544,7.1899e-05,0.17604,0.15789,0
0.0013259,0.00024339,0.15426,0.13612,0
0.0012375,0.00015508,0.16969,0.15154,0
0.0010457,0,0.20871,0.19056,0
0.0009479,0,0.22232,0.20417,0
0.0010953,0.00014745,0.20236,0.18421,0
0.0011989,0.00025095,0.16606,0.14791,0
0.0010645,0.00011661,0.18421,0.16606,0
0.00094367,0,0.22323,0.20508,0
0.00091538,0,0.20599,0.18784,0
0.0011283,0.00021293,0.15154,0.13339,0
0.0012635,0.00034809,0.14247,0.12432,0
0.0011172,0.00020177,0.16697,0.14882,0
0.0010912,0.00017586,0.16243,0.14428,0
0.0011061,0.00019072,0.1588,0.14065,0
0.0010227,0.00010736,0.16788,0.14973,0
0.0011297,0.00021436,0.16515,0.14701,0
0.0012973,0.00038191,0.16969,0.15154,0
0.001434,0.00051866,0.18784,0.16969,0
0.0017267,0.0008113,0.20871,0.19056,0
0.0017151,0.0007997,0.21234,0.19419,0
0.0015268,0.00061142,0.21688,0.19873,0
0.001749,0.00083367,0.20871,0.19056,0
0.0019546,0.0010392,0.18784,0.16969,0
0.0019513,0.0010359,0.19782,0.17967,0
0.0021388,0.0012234,0.19056,0.17241,0
0.0024038,0.0014884,0.19056,0.17241,0
0.0024412,0.0015258,0.16969,0.15154,0
0.0021747,0.0012594,0.14338,0.12523,0
0.0032928,0.0023775,0.11162,0.093466,0
0.0037279,0.0028125,0.056261,0.038113,0
0.0028897,0.0019744,0.057169,0.03902,0
0.0028867,0.0019713,0.058076,0.039927,0
0.0025111,0.0015957,0.062613,0.044465,0
0.0015704,0.00065501,0.10436,0.086207,0
0.0013018,0.0003864,0.18149,0.16334,0
0.0013259,0.00041048,0.17514,0.15699,0
0.0012661,0.00035077,0.12613,0.10799,0
0.001242,0.00032659,0.11978,0.10163,0
0.0014804,0.00056504,0.11434,0.096189,0
0.0015106,0.00059519,0.13612,0.11797,0
0.0016301,0.00071476,0.11525,0.097096,0
0.0017844,0.00086906,0.087114,0.068966,0
0.0017519,0.00083652,0.10254,0.084392,0
0.001626,0.00071063,0.10799,0.089837,0
0.0014201,0.00050476,0.13067,0.11252,0
0.0012291,0.00031368,0.17423,0.15608,0
0.0013061,0.0003907,0.13158,0.11343,0
0.0013318,0.00041637,0.13249,0.11434,0
0.0012717,0.00035628,0.17423,0.15608,0
0.001763,0.00084759,0.11797,0.099819,0
0.0019851,0.0010697,0.077132,0.058984,0
0.0015506,0.00063524,0.11252,0.094374,0
0.0012183,0.00030294,0.13521,0.11706,0
0.0012038,0.00028847,0.11525,0.097096,0
0.0012695,0.00035413,0.14247,0.12432,0
0.0014328,0.00051737,0.14882,0.13067,0
0.0014336,0.0005182,0.12341,0.10526,0
0.0013578,0.00044245,0.11797,0.099819,0
0.0013288,0.00041346,0.098911,0.080762,0
0.0015829,0.00066756,0.065336,0.047187,0
0.0015598,0.00064446,0.088022,0.069873,0
0.0012873,0.00037197,0.10889,0.090744,0
0.0012807,0.00036535,0.11525,0.097096,0
0.0011184,0.00020303,0.19147,0.17332,0
0.0010853,0.00016987,0.20599,0.18784,0
0.0011919,0.00027651,0.16425,0.1461,0
0.0010129,9.7487e-05,0.17604,0.15789,0
0.0010579,0.00014248,0.1833,0.16515,0
0.0014242,0.00050887,0.16425,0.1461,0
0.0017533,0.00083794,0.12886,0.11071,0
0.0017279,0.00081255,0.10799,0.089837,0
0.0015616,0.00064619,0.12432,0.10617,0
0.0014326,0.0005172,0.13702,0.11887,0
0.0013182,0.00040285,0.13339,0.11525,0
0.0014601,0.00054472,0.13612,0.11797,0
0.00147,0.0005546,0.13702,0.11887,0
0.001443,0.00052764,0.16334,0.14519,0
0.0012733,0.00035793,0.17151,0.15336,0
0.0010135,9.81e-05,0.14882,0.13067,0
0.00094912,3.3739e-05,0.15789,0.13975,0
0.00099959,8.421e-05,0.17604,0.15789,0
0.0010016,8.6258e-05,0.18784,0.16969,0
0.00099418,7.8802e-05,0.18603,0.16788,0
0.0010704,0.00015504,0.15426,0.13612,0
0.0011061,0.00019073,0.14065,0.1225,0
0.0017118,0.00079638,0.11525,0.097096,0
0.0019377,0.0010223,0.07441,0.056261,0
0.0014782,0.00056282,0.097096,0.078947,0
0.0014635,0.00054813,0.11343,0.095281,0
0.0015327,0.00061732,0.11071,0.092559,0
0.0014596,0.00054418,0.13702,0.11887,0
0.0015575,0.00064215,0.11706,0.098911,0
0.0015236,0.00060827,0.096189,0.07804,0
0.0014467,0.0005313,0.12341,0.10526,0
0.0024323,0.0015169,0.13067,0.11252,0
0.0035436,0.0026282,0.13612,0.11797,0
0.0036244,0.002709,0.13249,0.11434,0
0.0031256,0.0022102,0.11797,0.099819,0
0.002429,0.0015136,0.12432,0.10617,0
0.0018323,0.00091696,0.12341,0.10526,0
0.0016716,0.00075627,0.12795,0.1098,0
0.0022439,0.0013286,0.15426,0.13612,0
0.0028422,0.0019268,0.18421,0.16606,0
0.0027951,0.0018797,0.20508,0.18693,0
0.0024607,0.0015453,0.17786,0.15971,0
0.003157,0.0022416,0.1225,0.10436,0
0.0041301,0.0032147,0.080762,0.062613,0
0.004041,0.0031256,0.07804,0.059891,0
0.0034989,0.0025835,0.11797,0.099819,0
0.0032342,0.0023188,0.13702,0.11887,0
0.0028036,0.0018882,0.15971,0.14156,0
0.0022262,0.0013109,0.1824,0.16425,0
0.0022121,0.0012967,0.16606,0.14791,0
0.0034327,0.0025173,0.12613,0.10799,0
0.0052389,0.0043235,0.10254,0.084392,0
0.0073247,0.0064093,0.11162,0.093466,0
0.0092305,0.0083151,0.11797,0.099819,0
0.010222,0.009307,0.13975,0.1216,0
0.010496,0.0095802,0.14247,0.12432,0
0.010241,0.0093254,0.13339,0.11525,0
0.010463,0.0095473,0.13249,0.11434,0
0.010791,0.0098761,0.12613,0.10799,0
0.010103,0.0091874,0.11343,0.095281,0
0.008869,0.0079536,0.11162,0.093466,0
0.0078392,0.0069238,0.11615,0.098004,0
0.0072995,0.0063841,0.10345,0.085299,0
0.0058283,0.0049129,0.079855,0.061706,0
0.0040993,0.0031839,0.075318,0.057169,0
0.0037538,0.0028384,0.085299,0.067151,0
0.003505,0.0025896,0.08167,0.063521,0
0.0035843,0.002669,0.073503,0.055354,0
0.0041317,0.0032164,0.075318,0.057169,0
0.0044999,0.0035845,0.096189,0.07804,0
0.0080727,0.0071573,0.11434,0.096189,0
0.011734,0.010819,0.13521,0.11706,0
0.014064,0.013148,0.15336,0.13521,0
0.016305,0.01539,0.14519,0.12704,0
0.015899,0.014984,0.20054,0.1824,0
0.017257,0.016342,0.24319,0.22505,0
0.018131,0.017215,0.17786,0.15971,0
0.014116,0.0132,0.1216,0.10345,0
0.010646,0.0097308,0.098004,0.079855,0
0.0089272,0.0080118,0.065336,0.047187,0
0.0080315,0.0071162,0.056261,0.038113,0
0.010183,0.0092681,0.040835,0.022686,0
0.010544,0.0096285,0.024501,0.0063521,0
0.0073719,0.0064565,0.034483,0.016334,0
0.0048265,0.0039111,0.041742,0.023593,0
0.064738,0.063823,0.03539,0.017241,1
0.09218,0.091265,0.03176,0.013612,1
0.095248,0.094333,0.033575,0.015426,1
0.10198,0.10106,0.03539,0.017241,1
0.15016,0.14924,0.033575,0.015426,1
0.16617,0.16525,0.03176,0.013612,1
0.14036,0.13945,0.03539,0.017241,1
0.13553,0.13462,0.038113,0.019964,1
0.15127,0.15036,0.036298,0.018149,1
0.16726,0.16635,0.028131,0.0099819,1
0.16872,0.1678,0.029946,0.011797,1
0.16416,0.16325,0.038113,0.019964,1
0.148,0.14709,0.040835,0.022686,1
0.13275,0.13183,0.040835,0.022686,1
0.1232,0.12228,0.03902,0.020871,1
0.11112,0.1102,0.038113,0.019964,1
0.10889,0.10798,0.03902,0.020871,1
0.11108,0.11016,0.038113,0.019964,1
0.10489,0.10397,0.040835,0.022686,1
0.10484,0.10393,0.037205,0.019056,1
0.11467,0.11375,0.030853,0.012704,1
0.12859,0.12768,0.028131,0.0099819,1
0.14077,0.13985,0.027223,0.0090744,1
0.13653,0.13561,0.026316,0.008167,1
0.11092,0.11001,0.024501,0.0063521,1
0.082172,0.081256,0.029038,0.010889,1
0.07491,0.073994,0.032668,0.014519,1
0.073302,0.072387,0.029946,0.011797,1
0.072834,0.071918,0.029946,0.011797,1
