@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0021747,0.14338,0
0.0032928,0.11162,0
0.0037279,0.056261,0
0.0028897,0.057169,0
0.0028867,0.058076,0
0.0025111,0.062613,0
0.0015704,0.10436,0
0.0013018,0.18149,0
0.0013259,0.17514,0
0.0012661,0.12613,0
0.001242,0.11978,0
0.0014804,0.11434,0
0.0015106,0.13612,0
0.0016301,0.11525,0
0.0017844,0.087114,0
0.0017519,0.10254,0
0.001626,0.10799,0
0.0014201,0.13067,0
0.0012291,0.17423,0
0.0013061,0.13158,0
0.0013318,0.13249,0
0.0012717,0.17423,0
0.001763,0.11797,0
0.0019851,0.077132,0
0.0015506,0.11252,0
0.0012183,0.13521,0
0.0012038,0.11525,0
0.0012695,0.14247,0
0.0014328,0.14882,0
0.0014336,0.12341,0
0.0013578,0.11797,0
0.0013288,0.098911,0
0.0015829,0.065336,0
0.0015598,0.088022,0
0.0012873,0.10889,0
0.0012807,0.11525,0
0.0011184,0.19147,0
0.0010853,0.20599,0
0.0011919,0.16425,0
0.0010129,0.17604,0
0.0010579,0.1833,0
0.0014242,0.16425,0
0.0017533,0.12886,0
0.0017279,0.10799,0
0.0015616,0.12432,0
0.0014326,0.13702,0
0.0013182,0.13339,0
0.0014601,0.13612,0
0.00147,0.13702,0
0.001443,0.16334,0
0.0012733,0.17151,0
0.0010135,0.14882,0
0.00094912,0.15789,0
0.00099959,0.17604,0
0.0010016,0.18784,0
0.00099418,0.18603,0
0.0010704,0.15426,0
0.0011061,0.14065,0
0.0017118,0.11525,0
0.0019377,0.07441,0
0.0014782,0.097096,0
0.0014635,0.11343,0
0.0015327,0.11071,0
0.0014596,0.13702,0
0.0015575,0.11706,0
0.0015236,0.096189,0
0.0014467,0.12341,0
0.0024323,0.13067,0
0.0035436,0.13612,0
0.0036244,0.13249,0
0.0031256,0.11797,0
0.002429,0.12432,0
0.0018323,0.12341,0
0.0016716,0.12795,0
0.0022439,0.15426,0
0.0028422,0.18421,0
0.0027951,0.20508,0
0.0024607,0.17786,0
0.003157,0.1225,0
0.0041301,0.080762,0
0.004041,0.07804,0
0.0034989,0.11797,0
0.0032342,0.13702,0
0.0028036,0.15971,0
0.0022262,0.1824,0
0.0022121,0.16606,0
0.0034327,0.12613,0
0.0052389,0.10254,0
0.0073247,0.11162,0
0.0092305,0.11797,0
0.010222,0.13975,0
0.010496,0.14247,0
0.010241,0.13339,0
0.010463,0.13249,0
0.010791,0.12613,0
0.010103,0.11343,0
0.008869,0.11162,0
0.0078392,0.11615,0
0.0072995,0.10345,0
0.0058283,0.079855,0
0.0040993,0.075318,0
0.0037538,0.085299,0
0.003505,0.08167,0
0.0035843,0.073503,0
0.0041317,0.075318,0
0.0044999,0.096189,0
0.0080727,0.11434,0
0.011734,0.13521,0
0.014064,0.15336,0
0.016305,0.14519,0
0.015899,0.20054,0
0.017257,0.24319,0
0.018131,0.17786,0
0.014116,0.1216,0
0.010646,0.098004,0
0.0089272,0.065336,0
0.0080315,0.056261,0
0.010183,0.040835,0
0.010544,0.024501,0
0.0073719,0.034483,0
0.0048265,0.041742,0
