@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R8

@attribute energy numeric
@attribute energy_min numeric
@attribute zeroCrossingRate numeric
@attribute zeroCrossingRate_min numeric
@attribute cepstralMostDominantPeak numeric
@attribute cepstralMostDominantPeak_min numeric
@attribute cepstralLocPeak numeric
@attribute class {0,1}

@data
0.000944,0,0.22323,0,0.001201,0,111,0
0.000915,0,0.20599,-0.017241,0.001441,0.000241,60,0
0.001128,0.000213,0.15154,-0.071688,0.000975,0,60,0
0.001264,0.000348,0.14247,-0.080762,0.001341,0.000366,66,0
0.001117,0.000202,0.16697,-0.056261,0.001036,0.000061,65,0
0.001091,0.000176,0.16243,-0.060799,0.001232,0.000257,89,0
0.001106,0.000191,0.1588,-0.064428,0.001226,0.000251,42,0
0.001023,0.000107,0.16788,-0.055354,0.001204,0.000229,35,0
0.00113,0.000214,0.16515,-0.058076,0.00191,0.000935,106,0
0.001297,0.000382,0.16969,-0.053539,0.001506,0.000531,65,0
0.001434,0.000519,0.18784,-0.03539,0.002659,0.001684,62,0
0.001727,0.000811,0.20871,-0.014519,0.002782,0.001808,58,0
0.001715,0.0008,0.21234,-0.010889,0.002351,0.001376,67,0
0.001527,0.000611,0.21688,-0.006352,0.002384,0.001409,117,0
0.001749,0.000834,0.20871,-0.014519,0.002397,0.001422,21,0
0.001955,0.001039,0.18784,-0.03539,0.00258,0.001605,73,0
0.001951,0.001036,0.19782,-0.025408,0.002477,0.001503,68,0
0.002139,0.001223,0.19056,-0.032668,0.003039,0.002064,59,0
0.002404,0.001488,0.19056,-0.032668,0.004432,0.003457,36,0
0.002441,0.001526,0.16969,-0.053539,0.004329,0.003354,60,0
0.002175,0.001259,0.14338,-0.079855,0.002582,0.001608,148,0
0.003293,0.002378,0.11162,-0.11162,0.002353,0.001378,108,0
0.003728,0.002813,0.056261,-0.16697,0.002297,0.001322,94,0
0.00289,0.001974,0.057169,-0.16606,0.003185,0.00221,56,0
0.002887,0.001971,0.058076,-0.16515,0.001415,0.00044,50,0
0.002511,0.001596,0.062613,-0.16062,0.001213,0.000238,114,0
0.00157,0.000655,0.10436,-0.11887,0.001019,0.000044,67,0
0.001302,0.000386,0.18149,-0.041742,0.001565,0.000591,88,0
0.001326,0.00041,0.17514,-0.048094,0.001142,0.000167,89,0
0.001266,0.000351,0.12613,-0.097096,0.000948,0,105,0
0.001242,0.000327,0.11978,-0.10345,0.000745,0,41,0
0.00148,0.000565,0.11434,-0.10889,0.001314,0.00057,33,0
0.001511,0.000595,0.13612,-0.087114,0.002442,0.001698,32,0
0.00163,0.000715,0.11525,-0.10799,0.002252,0.001507,33,0
0.001784,0.000869,0.087114,-0.13612,0.001884,0.00114,37,0
0.001752,0.000837,0.10254,-0.12069,0.001137,0.000392,44,0
0.001626,0.000711,0.10799,-0.11525,0.001497,0.000753,42,0
0.00142,0.000505,0.13067,-0.092559,0.002401,0.001657,114,0
0.001229,0.000314,0.17423,-0.049002,0.00164,0.000895,105,0
0.001306,0.000391,0.13158,-0.091652,0.001369,0.000625,130,0
0.001332,0.000416,0.13249,-0.090744,0.001959,0.001214,124,0
0.001272,0.000356,0.17423,-0.049002,0.001833,0.001089,89,0
0.001763,0.000848,0.11797,-0.10526,0.00103,0.000286,117,0
0.001985,0.00107,0.077132,-0.1461,0.001438,0.000694,137,0
0.001551,0.000635,0.11252,-0.11071,0.001074,0.000329,149,0
0.001218,0.000303,0.13521,-0.088022,0.001028,0.000283,43,0
0.001204,0.000288,0.11525,-0.10799,0.000755,0.000011,131,0
0.00127,0.000354,0.14247,-0.080762,0.000711,0,110,0
0.001433,0.000517,0.14882,-0.07441,0.001363,0.000653,142,0
0.001434,0.000518,0.12341,-0.099819,0.001166,0.000456,120,0
0.001358,0.000442,0.11797,-0.10526,0.001372,0.000661,139,0
0.001329,0.000413,0.098911,-0.12432,0.001007,0.000297,40,0
0.001583,0.000668,0.065336,-0.15789,0.00119,0.000479,81,0
0.00156,0.000644,0.088022,-0.13521,0.001349,0.000639,153,0
0.001287,0.000372,0.10889,-0.11434,0.000941,0.00023,114,0
0.001281,0.000365,0.11525,-0.10799,0.00073,0.00002,76,0
0.001118,0.000203,0.19147,-0.03176,0.001598,0.000887,28,0
0.001085,0.00017,0.20599,-0.017241,0.001012,0.000301,80,0
0.001192,0.000277,0.16425,-0.058984,0.001027,0.000316,141,0
0.001013,0.000097,0.17604,-0.047187,0.000827,0.000117,127,0
0.001058,0.000142,0.1833,-0.039927,0.000869,0.000158,57,0
0.001424,0.000509,0.16425,-0.058984,0.002576,0.001866,123,0
0.001753,0.000838,0.12886,-0.094374,0.002667,0.001956,57,0
0.001728,0.000813,0.10799,-0.11525,0.002965,0.002254,56,0
0.001562,0.000646,0.12432,-0.098911,0.002001,0.00129,105,0
0.001433,0.000517,0.13702,-0.086207,0.002262,0.001551,72,0
0.001318,0.000403,0.13339,-0.089837,0.002014,0.001304,57,0
0.00146,0.000545,0.13612,-0.087114,0.000971,0.000261,74,0
0.00147,0.000555,0.13702,-0.086207,0.00191,0.0012,117,0
0.001443,0.000528,0.16334,-0.059891,0.00243,0.001719,38,0
0.001273,0.000358,0.17151,-0.051724,0.001323,0.000613,38,0
0.001014,0.000098,0.14882,-0.07441,0.001308,0.000598,71,0
0.000949,0.000034,0.15789,-0.065336,0.00107,0.00036,43,0
0.001,0.000084,0.17604,-0.047187,0.000663,0,61,0
0.001002,0.000086,0.18784,-0.03539,0.000933,0.00027,63,0
0.000994,0.000079,0.18603,-0.037205,0.001046,0.000383,105,0
0.00107,0.000155,0.15426,-0.068966,0.001433,0.000771,108,0
0.001106,0.000191,0.14065,-0.082577,0.001825,0.001162,76,0
0.001712,0.000796,0.11525,-0.10799,0.002098,0.001435,42,0
