@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
606.29,-4.798,516.8,0.49232,8,-73.981,-0.090932,21.533,-0.0055378,0.5,0
634.26,-4.8978,516.8,0.68173,10,-82.118,-0.18164,-53.833,0.019286,2,0
442.05,-5.1613,409.13,0.53089,12,-144.03,-0.21354,-75.366,-0.065858,1,0
346.2,-5.3249,366.06,0.55001,12,231.99,0.01563,64.6,-0.030791,-1.5,1
906.02,-5.13,538.33,0.46931,9,332.31,0.10137,53.833,0.23481,-1.5,1
1010.8,-5.1222,473.73,1.0196,9,391.97,0.036463,-32.3,0.4256,0,1
1690,-5.0571,473.73,1.3205,9,439.95,0.050423,0,0.096121,0,1
1890.7,-5.0213,473.73,1.2119,9,42.105,0.039262,0,-0.10114,2,1
1774.2,-4.9786,473.73,1.1182,13,279.52,0.023797,10.767,0.043661,3,1
2449.8,-4.9737,495.26,1.2992,15,459.06,-0.04685,10.767,0.0065152,1,1
2692.3,-5.0723,495.26,1.1313,15,157.53,0.011184,0,-0.13963,3,1
2764.8,-4.9514,495.26,1.0199,21,-60.586,0.044966,0,0.0027587,1.5,1
2571.1,-4.9823,495.26,1.1368,18,-285.97,-0.021411,0,0.098603,-6,1
2192.9,-4.9942,495.26,1.2171,9,-252.12,-0.017463,0,0.048809,0.5,1
2066.9,-5.0173,495.26,1.2344,19,169.77,0.0071953,-10.767,0.11347,5.5,1
2532.4,-4.9798,473.73,1.4441,20,94.298,-0.035359,0,-0.016553,1.5,1
2255.5,-5.088,495.26,1.2013,22,-198.49,-0.058936,10.767,-0.081351,5.5,1
2135.5,-5.0977,495.26,1.2814,31,74.826,0.045036,-10.767,0.031566,-3.5,1
2405.1,-4.9979,473.73,1.2644,15,192.75,0.063523,-10.767,0.02748,-11,1
2521,-4.9706,473.73,1.3363,9,-184.89,-0.023759,10.767,-0.030096,-3,1
2035.4,-5.0454,495.26,1.2042,9,-54.442,0.033948,10.767,0.0010782,0,1
2412.1,-4.9027,495.26,1.3385,9,254.61,0.038378,-10.767,-0.010238,0,1
2544.6,-4.9687,473.73,1.1838,9,-72.42,-0.0078454,-10.767,-0.080124,2.5,1
2267.2,-4.9184,473.73,1.1782,14,19.915,-0.029562,0,0.027736,0,1
2584.4,-5.0278,473.73,1.2392,9,89.505,-0.095305,0,-0.078682,-3,1
2446.2,-5.109,473.73,1.0209,8,-118.47,0.029745,-10.767,-0.091666,-0.5,1
2347.5,-4.9683,452.2,1.0559,8,-148.17,0.057134,-10.767,0.083323,1,1
2149.9,-4.9948,452.2,1.1875,10,-173.94,-0.062518,0,-0.014186,8,1
1999.6,-5.0933,452.2,1.0275,24,-323.38,-0.13175,0,-0.049225,8,1
1503.1,-5.2583,452.2,1.0891,26,-307.34,-0.048738,0,-0.031377,22,1
1384.9,-5.1908,452.2,0.96478,68,49.952,0.070572,0,-0.039656,28,1
