@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0775,0.048094,-0.0042378,-0.0018149,0
0.070963,0.04265,-0.0037936,-0.0022686,0
0.069913,0.043557,-0.0019034,0.0027223,0
0.067156,0.048094,0.0049154,-0.0027223,0
0.079744,0.038113,0.016762,-0.0095281,0
0.10068,0.029038,0.013036,-0.0045372,0
0.10582,0.029038,0.014893,-0.0022686,0
0.13047,0.024501,0.036988,-0.0018149,0
0.17979,0.025408,0.042458,0.0013612,0
0.21538,0.027223,0.0021242,0.003176,0
0.18404,0.03176,-0.048968,0.0045372,0
0.11745,0.036298,-0.040148,0.0018149,0
0.10375,0.03539,-0.014494,0.0013612,0
0.088458,0.03902,-0.0096154,0.00045372,0
0.084514,0.036298,0.00050912,-0.0027223,0
0.089476,0.033575,-0.0058691,0.0022686,0
0.072776,0.040835,-0.012945,0.0054446,0
0.063586,0.044465,0.0039653,0,0
0.080707,0.040835,0.019154,-0.0013612,0
0.10189,0.041742,0.012705,-0.0022686,0
0.10612,0.036298,-0.0044154,-0.0049909,0
0.093063,0.03176,-0.015507,0.0045372,0
0.075103,0.045372,-0.0080361,0.0058984,0
0.076991,0.043557,0.004029,-0.0045372,0
0.083161,0.036298,0.0036197,0.00090744,0
0.084231,0.045372,0.002238,0.0068058,0
0.087637,0.049909,0.005089,0.00090744,0
0.094409,0.047187,0.0071495,0.00090744,0
0.10194,0.051724,-0.0035319,0.0063521,0
0.087345,0.059891,-0.0092979,0.0022686,0
0.083341,0.056261,0.0057185,-0.0068058,0
0.098782,0.046279,0.0082404,-0.0068058,0
0.099821,0.04265,-0.0076697,0.0036298,0
0.083442,0.053539,-0.015368,0.0072595,0
0.069086,0.057169,-0.0092565,0.0040835,0
0.064929,0.061706,-0.0052847,0.0045372,0
0.058517,0.066243,-0.0066273,0.003176,0
0.051675,0.068058,-0.0034291,0.0045372,0
0.051658,0.075318,0.0071938,-0.008167,0
0.066063,0.051724,0.012174,-0.021779,0
0.076006,0.03176,0.0035484,-0.0063521,0
0.073159,0.03902,-0.00039408,0.0090744,0
0.075218,0.049909,0.00060581,0.013158,0
0.074371,0.065336,-0.0028129,0.0063521,0
0.069592,0.062613,-0.00066269,-0.0058984,0
0.073046,0.053539,-0.0026947,-0.003176,0
0.064203,0.056261,-0.0096453,-0.0022686,0
0.053755,0.049002,-0.0032535,-0.0068058,0
0.057696,0.04265,0.0060791,-0.008167,0
0.065913,0.032668,0.0019746,-0.0063521,0
0.061645,0.029946,-0.0095534,0.0018149,0
0.046806,0.036298,-0.010606,0.0095281,0
0.040432,0.049002,-0.0038353,0.010436,0
0.039136,0.057169,0.0004396,0.0027223,0
