@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.018288,1,13,1
0.016064,1,13,1
0.0093955,0,0,1
0.0074645,0,0,1
0.0060627,0,0,1
0.0082463,0,0,1
0.0034302,0,0,1
0.0039637,0,0,1
0.0039361,0,0,1
0.0055327,0,0,1
0.005022,0,0,1
0.0059324,0,0,1
0.0049927,0,0,1
0.0068995,0,0,1
0.009798,0,0,1
0.0057142,0,0,0
0.0047995,0,0,0
0.0039276,0,0,0
0.003866,0,0,0
0.0047795,0,0,0
0.0044139,0,0,0
0.0045073,0,0,0
0.0038073,0,0,0
0.0045967,0,0,0
0.0058013,0,0,0
0.0038258,0,0,0
0.0038599,0,0,0
0.0068046,0,0,0
0.004134,0,0,0
0.0056043,0,0,0
0.0052737,0,0,0
0.005768,0,0,0
0.0052198,0,0,0
0.0039882,0,0,0
0.0065608,0,0,0
0.0074224,0,0,0
0.0080209,0,0,0
0.0051421,0,0,0
0.004834,0,0,0
0.0044142,0,0,0
0.0049226,0,0,0
0.0051619,0,0,0
0.0063002,0,0,0
0.0069424,0,0,0
0.0133,2,2,0
0.0065347,0,0,0
0.008847,0,0,0
0.0091019,0,0,0
0.0068863,0,0,0
0.0064127,0,0,0
0.0046573,0,0,0
0.0054296,0,0,0
0.004693,0,0,0
0.0034837,0,0,0
0.0042992,0,0,0
0.0050535,0,0,0
0.0099716,0,0,0
0.012173,1,6,0
0.0093596,0,0,0
0.0076856,0,0,0
0.014648,2,3,0
0.02297,4,2,0
0.01587,2,7,0
0.027237,3,2,0
0.015236,2,11,0
0.013333,3,2,0
0.022054,2,2,0
0.011775,1,6,0
0.018818,5,6,0
0.012102,1,7,0
0.016143,1,7,0
0.018402,1,27,0
0.016107,2,7,0
0.022509,4,6,0
0.024216,4,2,0
0.017053,3,5,0
0.02268,3,6,0
0.024311,3,2,0
0.016822,1,26,0
0.014241,2,11,0
0.013753,2,9,0
0.011561,1,28,0
0.01534,1,22,0
0.0079954,0,0,0
0.00727,0,0,0
0.0057827,0,0,0
0.0054132,0,0,0
0.0055954,0,0,0
0.0047226,0,0,0
0.0036919,0,0,0
0.0041354,0,0,0
0.0042336,0,0,0
0.0034088,0,0,0
0.0042886,0,0,0
0.0036721,0,0,0
0.003979,0,0,0
0.0042287,0,0,0
0.0069263,0,0,0
0.0056529,0,0,0
0.005092,0,0,0
0.0055681,0,0,0
0.0039872,0,0,0
0.0024122,0,0,0
0.0046512,0,0,0
0.0038314,0,0,0
0.0034618,0,0,0
0.0045589,0,0,0
0.0036033,0,0,0
0.0045366,0,0,0
0.0056237,0,0,0
0.0039169,0,0,0
0.0062159,0,0,0
0.0042115,0,0,0
0.0049542,0,0,0
0.0051562,0,0,0
0.0059882,0,0,0
0.0037942,0,0,0
0.0038469,0,0,0
0.0051008,0,0,0
0.0059718,0,0,0
0.0026998,0,0,0
0.0045205,0,0,0
0.0033171,0,0,0
0.0044103,0,0,0
0.0028543,0,0,0
0.0045978,0,0,0
0.0036913,0,0,0
0.0056381,0,0,0
0.0025695,0,0,0
0.004844,0,0,0
0.0058927,0,0,0
0.0034452,0,0,0
0.0030512,0,0,0
0.00578,0,0,0
0.0061584,0,0,0
0.004502,0,0,0
0.0049091,0,0,0
0.0041773,0,0,0
0.0037703,0,0,0
0.0081372,0,0,0
0.0053842,0,0,0
0.0042562,0,0,0
0.004966,0,0,0
0.00453,0,0,0
0.0066462,0,0,0
0.0031481,0,0,0
0.004634,0,0,0
0.0062276,0,0,0
0.0057621,0,0,0
0.0049191,0,0,0
0.0037563,0,0,0
0.0054442,0,0,0
0.0032741,0,0,0
0.0044086,0,0,0
0.0070395,0,0,0
0.010251,1,17,0
0.011642,1,15,0
0.01371,1,17,0
0.010503,1,14,0
0.0102,1,17,0
0.010713,1,13,0
0.014325,1,13,0
0.0064218,0,0,0
0.0094438,0,0,0
0.0058514,0,0,0
0.0042361,0,0,0
0.0052196,0,0,0
0.0029053,0,0,0
0.0047557,0,0,0
0.0052869,0,0,0
0.0057406,0,0,0
0.006126,0,0,0
0.0036787,0,0,0
0.020725,1,18,0
0.018222,1,13,0
0.013464,2,9,0
0.014977,2,3,0
0.03232,4,3,0
0.02692,2,3,0
0.015504,1,16,0
0.0094575,0,0,0
0.0071522,0,0,0
0.0046943,0,0,0
0.0043762,0,0,0
0.0056201,0,0,0
0.0051093,0,0,0
0.0049374,0,0,0
0.0042952,0,0,1
0.011348,1,14,1
0.014849,1,14,1
0.016552,3,9,1
0.026366,1,16,1
0.029474,1,16,1
0.026927,1,15,1
0.029323,1,15,1
0.02363,1,13,1
0.015825,1,15,1
0.012909,1,13,1
0.0089726,0,0,1
0.021744,1,13,1
0.019868,1,11,1
0.022699,1,11,1
0.016688,1,13,1
0.022417,1,13,1
0.019257,1,13,1
0.026336,1,13,1
0.018036,1,13,1
0.015088,1,13,1
0.020179,1,12,1
0.017151,3,5,1
0.012611,2,9,1
0.014527,1,15,1
0.019002,1,13,1
0.018504,1,13,1
0.013461,1,13,1
0.0097779,0,0,1
0.0076126,0,0,1
0.011488,1,13,1
0.017747,1,11,1
0.012341,1,13,1
0.016276,1,13,1
0.010598,1,11,1
0.017456,1,13,1
0.0066137,0,0,1
0.0063082,0,0,1
0.011721,1,13,1
0.014747,1,13,1
0.010043,1,13,1
0.011465,1,14,1
0.011634,1,13,1
0.0082879,0,0,1
0.0072926,0,0,1
0.02456,1,17,1
0.016756,1,18,1
0.032237,1,17,1
0.02424,1,15,1
0.053786,1,17,1
0.065382,4,5,1
0.070452,5,5,1
0.082253,4,3,1
0.063858,4,5,1
0.056248,2,13,1
0.06914,2,13,1
0.057047,1,20,1
0.06603,2,13,1
0.039639,1,17,1
0.033818,5,5,1
0.046775,5,5,1
0.060059,5,5,1
0.048765,5,5,1
0.051233,5,5,1
0.047656,6,5,1
0.031407,2,13,1
0.036761,1,13,1
0.047753,1,13,1
0.030977,1,13,1
0.029917,2,13,1
0.02673,1,13,1
0.033285,1,13,1
0.031288,1,13,1
0.035389,1,13,1
0.034543,1,13,1
0.03123,1,13,1
0.036019,1,13,1
0.027624,1,13,1
0.030048,1,14,1
0.032396,1,13,1
0.039605,1,14,1
0.041932,1,14,1
0.03829,2,14,1
0.029689,1,14,1
0.030751,1,14,1
0.030949,1,14,1
0.037842,2,14,1
0.032365,2,14,1
0.037361,2,14,1
0.029822,2,14,1
0.035307,2,14,1
0.045007,2,14,1
0.046895,2,14,1
0.048725,2,14,1
0.039012,3,9,1
0.045211,2,14,1
0.035445,2,14,1
0.038308,2,14,1
0.029541,2,14,1
0.028171,3,9,1
0.035118,3,9,1
0.031702,1,14,1
0.028234,1,14,1
0.026679,2,9,1
0.019448,1,14,1
0.017511,2,14,1
0.019354,1,14,1
0.025392,1,14,1
0.021695,1,14,1
0.017884,1,13,1
0.010542,1,13,1
0.0051156,0,0,1
