@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
-136.68,-6.0847,839.79,0.3892,63,0
-151.19,-6.1091,2454.8,0.34711,42,0
-154.27,-6.0874,1916.5,0.33447,47,0
-159.76,-6.1441,2325.6,0.35085,50,0
-172.76,-6.2194,1938,0.34629,53,0
-168.25,-6.1771,2347.1,0.45147,54,0
-164.64,-6.1354,2454.8,0.34687,55,0
-160.83,-6.1557,2196.4,0.31495,56,0
-149.77,-6.0914,495.26,0.27514,62,0
-136.65,-6.0446,2067.2,0.32711,49,0
-124.47,-6.0023,301.46,0.41028,44,0
-111.18,-6.0331,323,0.29704,43,0
-98.386,-6.1398,516.8,0.37322,58,0
-93.425,-6.0472,193.8,0.35479,69,0
-88.625,-6.1191,473.73,0.35174,52,0
-84.907,-6.0526,21.533,0.51391,42,0
-84.682,-6.0509,430.66,0.50081,31,0
-112.02,-6.1401,409.13,0.40822,51,0
-118.22,-5.9701,1916.5,0.3085,40,0
-137.67,-5.9257,2067.2,0.34334,49,0
-163.57,-6.0991,301.46,0.27518,88,0
-162,-6.0877,301.46,0.32603,119,0
-162.36,-6.093,236.87,0.331,139,0
-172.12,-6.1632,8075,0.32009,140,0
-130.49,-5.9697,366.06,0.33814,135,0
-128.7,-5.8578,150.73,0.38788,73,0
-115.09,-5.7758,2067.2,0.31904,44,0
-100.12,-5.6891,172.27,0.47572,38,0
-75.03,-5.4302,172.27,0.81206,40,0
-55.425,-5.028,64.6,0.04562,14,0
-60.175,-5.1556,64.6,0.00026753,4,0
-79.228,-5.8696,64.6,0.0087333,29,0
-84.195,-5.9279,21.533,0.30157,69,0
101.97,-4.7678,667.53,0.74664,19,1
794.07,-4.79,710.6,0.64186,12,1
611.46,-4.7636,775.2,1.1881,13,1
598.25,-5.1386,559.86,0.62862,19,1
1151,-4.7136,646,1.0919,16,1
1484.1,-4.5228,710.6,1.1308,20,1
1005.1,-4.7176,409.13,1.0108,11,1
1072.5,-4.6119,430.66,1.2291,11,1
1069.7,-4.4974,452.2,1.3046,15,1
1273.4,-4.2443,452.2,1.47,40,1
1247.1,-4.2116,452.2,1.4594,38,1
1251.7,-4.0922,452.2,1.4591,40,1
1123.6,-4.304,452.2,1.3522,25,1
966.74,-4.3199,452.2,1.3209,23,1
868.25,-4.4645,430.66,1.2609,10,1
739.48,-4.5474,430.66,1.2399,19,1
710.99,-4.5625,409.13,1.2232,17,1
718.36,-4.577,409.13,1.2358,17,1
674.52,-4.6541,753.66,1.3396,13,1
614.93,-4.5834,732.13,1.3643,13,1
759.96,-4.5529,689.06,1.3906,12,1
761.55,-4.4494,667.53,1.4523,11,1
925.08,-4.2663,646,1.5774,11,1
848.54,-4.5298,624.46,1.3654,11,1
693.54,-4.7744,581.4,1.179,10,1
498.85,-4.9352,538.33,1.1143,10,1
415.93,-4.9382,495.26,1.2528,13,1
320.11,-4.9747,473.73,1.177,14,1
307.24,-4.8606,473.73,1.3135,13,1
312.52,-4.7752,473.73,1.3051,19,1
299.57,-4.8885,473.73,1.1337,18,1
636.28,-5.1587,473.73,0.88848,18,1
558.43,-5.0918,452.2,1.035,19,1
381.84,-4.9933,473.73,1.1502,22,1
425.22,-4.9452,473.73,1.1842,15,1
367.3,-4.9616,495.26,1.2094,18,1
358.7,-4.8222,495.26,1.2786,23,1
340.35,-4.8338,495.26,1.2603,18,1
368.78,-4.8725,495.26,1.2523,18,1
382.55,-4.8566,495.26,1.2283,17,1
356.6,-4.7966,516.8,1.3082,23,1
364.62,-4.7376,516.8,1.3299,23,1
404.61,-4.7492,516.8,1.352,21,1
453.27,-4.6238,516.8,1.3872,15,1
401.81,-4.7163,538.33,1.3874,10,1
394,-4.843,538.33,1.3575,11,1
356.69,-4.8224,538.33,1.2732,15,1
526.74,-5.0681,559.86,0.73749,26,1
929.67,-4.9832,646,0.38975,29,1
2088.3,-5.0051,495.26,0.85986,18,1
3790.7,-4.7398,538.33,1.5179,10,1
3776.8,-4.536,538.33,1.6574,10,1
3092.2,-4.7801,516.8,1.5241,10,1
4002,-4.7425,538.33,1.2982,10,1
5004.3,-4.8404,581.4,1.5692,11,1
7434.6,-4.7685,581.4,1.5861,11,1
7189,-4.4392,581.4,1.631,11,1
6482.8,-4.4703,581.4,1.5807,11,1
5636.9,-4.0748,559.86,1.6149,10,1
4825.9,-4.1702,559.86,1.6032,10,1
4381.3,-4.2982,538.33,1.5803,10,1
3524.6,-4.421,538.33,1.5357,10,1
2860.6,-4.3847,516.8,1.4965,9,1
2565.6,-4.2581,516.8,1.563,9,1
2037.6,-4.3256,495.26,1.5743,9,1
1610.6,-4.3232,495.26,1.4564,9,1
1825,-4.3545,473.73,1.4504,9,1
1664.8,-4.364,473.73,1.3834,8,1
1522.1,-4.3414,473.73,1.4194,15,1
1704.7,-4.1638,473.73,1.4893,18,1
1862.6,-4.0788,473.73,1.5146,8,1
1892.1,-4.081,473.73,1.4998,8,1
1864.5,-4.0724,473.73,1.5052,8,1
1772.3,-4.1408,473.73,1.4984,21,1
1654.4,-4.1658,452.2,1.4857,40,1
1492.5,-4.2211,452.2,1.4749,40,1
1377.4,-4.2672,452.2,1.4462,40,1
1318.5,-4.3111,452.2,1.4272,40,1
1406.9,-4.208,452.2,1.4811,40,1
1359.1,-4.2509,452.2,1.4887,40,1
1803.1,-4.6976,452.2,1.366,40,1
1754.9,-4.4828,473.73,1.2128,31,1
1895.5,-4.2689,473.73,1.3923,42,1
2005,-4.2456,473.73,1.426,42,1
2021.3,-4.2972,473.73,1.4065,42,1
1980.4,-4.3623,473.73,1.3827,42,1
1897.9,-4.5337,473.73,1.4046,43,1
1906.2,-4.42,495.26,1.4265,30,1
2020.9,-4.3756,495.26,1.469,13,1
2252.8,-4.285,495.26,1.5098,9,1
2321.2,-4.3042,495.26,1.4961,9,1
2280.3,-4.426,495.26,1.4659,9,1
2369.7,-4.3911,495.26,1.4224,9,1
2451.8,-4.4538,516.8,1.383,9,1
2714,-4.2489,516.8,1.4269,15,1
3032.3,-4.1952,516.8,1.4802,9,1
