@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0044767,0.0038138,52,-101,0
0.010494,0.0098314,18,-135,0
0.013976,0.013313,72,-81,0
0.012426,0.011763,19,-134,0
0.012081,0.011418,120,-33,0
0.015167,0.014504,121,-32,0
0.018132,0.017469,6,-147,0
0.017599,0.016936,95,-58,0
0.011569,0.010906,20,-133,0
0.0081801,0.0075171,60,-93,0
0.0052701,0.0046072,40,-113,0
0.0043115,0.0036486,43,-110,0
0.0020949,0.001432,160,0,0
0.0023001,0.0016372,43,-117,0
0.0033779,0.002715,79,-81,0
0.0025551,0.0018922,127,-33,0
0.017645,0.016982,82,-78,1
0.032325,0.031662,111,-49,1
0.060562,0.0599,123,-37,1
0.04315,0.042487,108,-52,1
0.046361,0.045698,88,-72,1
0.047623,0.04696,65,-95,1
0.075471,0.074808,59,-101,1
0.10072,0.10006,53,-107,1
0.10214,0.10148,50,-110,1
0.095733,0.09507,49,-111,1
0.098613,0.09795,49,-111,1
0.098951,0.098288,49,-111,1
0.10526,0.1046,50,-110,1
0.10059,0.099923,52,-108,1
0.10098,0.10031,53,-107,1
0.088955,0.088292,57,-103,1
0.092101,0.091438,60,-100,1
0.087283,0.08662,64,-96,1
0.085024,0.084362,69,-91,1
0.077359,0.076696,72,-88,1
0.076585,0.075922,78,-82,1
0.076085,0.075422,85,-75,1
0.078603,0.07794,88,-72,1
0.052956,0.052294,98,-62,1
0.054415,0.053752,109,-51,1
0.044448,0.043786,122,-38,1
0.056596,0.055933,130,-30,1
0.055392,0.054729,141,-19,1
0.062906,0.062243,142,-18,1
0.056453,0.05579,144,-16,1
0.048973,0.04831,140,-20,1
0.020853,0.02019,52,-108,1
0.026944,0.026281,145,-15,1
0.047087,0.046424,145,-15,1
0.047673,0.04701,141,-19,1
0.058909,0.058246,136,-24,1
0.063903,0.06324,135,-25,1
0.069316,0.068653,134,-26,1
0.064541,0.063878,134,-26,1
0.066307,0.065644,130,-30,1
0.079049,0.078386,127,-33,1
0.072415,0.071752,125,-35,1
0.068207,0.067544,124,-36,1
0.078116,0.077453,121,-39,1
0.074289,0.073626,120,-40,1
0.06648,0.065817,116,-44,1
0.075581,0.074919,119,-41,1
0.031954,0.031291,111,-49,1
0.030536,0.029873,74,-86,1
0.048143,0.047481,43,-117,1
0.063786,0.063123,34,-126,1
0.090003,0.08934,34,-126,1
0.064187,0.063524,34,-126,1
0.075114,0.074451,28,-132,1
0.083355,0.082692,25,-135,1
0.081932,0.081269,103,-57,1
0.096418,0.095755,24,-136,1
0.097769,0.097106,26,-134,1
0.1401,0.13944,28,-132,1
0.14708,0.14642,29,-131,1
0.15262,0.15196,31,-129,1
0.12152,0.12086,34,-126,1
0.12366,0.12299,36,-124,1
0.12672,0.12606,38,-122,1
0.11302,0.11236,39,-121,1
0.1114,0.11073,41,-119,1
0.11408,0.11341,44,-116,1
0.1223,0.12163,46,-114,1
0.11603,0.11537,46,-114,1
0.11569,0.11503,46,-114,1
0.11817,0.11751,46,-114,1
0.11852,0.11785,46,-114,1
0.12309,0.12242,46,-114,1
0.12264,0.12198,47,-113,1
0.11788,0.11721,48,-112,1
0.11416,0.11349,48,-112,1
0.11477,0.11411,49,-111,1
0.11174,0.11108,49,-111,1
0.11521,0.11455,48,-112,1
0.10694,0.10628,48,-112,1
0.090169,0.089506,48,-112,1
0.12148,0.12082,46,-114,1
0.12014,0.11948,45,-115,1
0.11981,0.11915,44,-116,1
0.12307,0.12241,45,-115,1
0.12244,0.12178,44,-116,1
0.11546,0.1148,43,-117,1
0.12119,0.12053,41,-119,1
0.11622,0.11556,40,-120,1
0.12915,0.12849,40,-120,1
0.13255,0.13189,40,-120,1
0.13265,0.13199,39,-121,1
0.13875,0.13809,38,-122,1
0.13959,0.13892,37,-123,1
0.13082,0.13016,36,-124,1
0.1302,0.12954,35,-125,1
0.13219,0.13153,35,-125,1
0.1218,0.12114,35,-125,1
0.12281,0.12215,35,-125,1
0.13321,0.13255,35,-125,1
0.13186,0.13119,35,-125,1
0.12656,0.1259,36,-124,1
0.1225,0.12184,36,-124,1
0.11781,0.11715,36,-124,1
0.11576,0.1151,37,-123,1
0.11438,0.11372,37,-123,1
0.1227,0.12204,38,-122,1
0.1282,0.12754,39,-121,1
0.11831,0.11765,40,-120,1
0.10709,0.10642,41,-119,1
0.098702,0.098039,41,-119,1
0.10012,0.099459,40,-120,1
0.094929,0.094266,40,-120,1
0.088817,0.088154,41,-119,1
0.10369,0.10303,43,-117,1
0.085311,0.084648,45,-115,1
0.060695,0.060032,48,-112,1
0.045291,0.044628,52,-108,1
0.030322,0.029659,52,-108,1
0.016236,0.015573,52,-108,1
0.016478,0.015815,44,-116,1
0.013512,0.012849,48,-112,0
0.0054913,0.0048284,51,-109,0
0.0072721,0.0066092,36,-124,0
0.0034273,0.0027644,44,-116,0
0.0050008,0.0043379,37,-123,0
0.003984,0.0033211,76,-84,0
0.0027295,0.0020666,12,-148,0
0.004642,0.0039791,35,-125,0
0.0036397,0.0029768,52,-108,0
0.0030736,0.0024107,31,-129,0
0.0033375,0.0026746,94,-66,0
0.0033692,0.0027063,71,-89,0
0.0031213,0.0024583,12,-148,0
0.0050169,0.004354,64,-96,0
0.0026576,0.0019947,91,-69,0
0.002598,0.0019351,139,-21,0
0.0024516,0.0017887,70,-90,0
0.0023404,0.0016775,94,-66,0
0.002617,0.0019541,86,-74,0
0.0032576,0.0025947,26,-134,0
0.0028162,0.0021533,61,-99,0
0.0025278,0.0018649,27,-133,0
0.0035672,0.0029043,20,-140,0
0.0041785,0.0035156,51,-109,0
0.0035128,0.0028499,73,-87,0
0.0031195,0.0024566,78,-82,0
0.0096915,0.0090286,14,-146,0
0.0074828,0.0068199,14,-146,0
0.0053364,0.0046735,124,-36,0
0.00643,0.0057671,55,-105,0
0.0088803,0.0082174,54,-106,0
0.0048664,0.0042035,124,-36,0
0.0062543,0.0055914,55,-105,0
0.0054749,0.004812,55,-105,0
0.0087933,0.0081304,60,-100,0
0.0084921,0.0078292,62,-98,0
0.0076029,0.00694,60,-100,0
0.0082554,0.0075924,60,-100,0
0.0094256,0.0087627,14,-146,0
0.0095683,0.0089054,12,-148,0
0.010192,0.0095294,56,-104,0
0.011502,0.010839,140,-20,0
0.0093098,0.0086469,14,-146,0
0.0091786,0.0085157,14,-146,0
0.011536,0.010873,56,-104,0
0.010998,0.010335,15,-145,0
0.015999,0.015336,54,-106,0
0.008955,0.0082921,54,-106,0
0.0087706,0.0081077,57,-103,0
0.0087981,0.0081352,56,-104,0
0.0075275,0.0068646,54,-106,0
0.013529,0.012595,12,-148,1
0.027956,0.02691,125,-35,1
0.060208,0.058946,41,-119,1
0.077998,0.076735,38,-122,1
0.046671,0.045408,36,-124,1
0.044712,0.04345,129,-31,1
0.029566,0.028303,26,-134,1
0.039907,0.03864,112,-48,1
0.10997,0.10868,33,-127,1
0.16807,0.16678,33,-127,1
0.11808,0.11679,37,-123,1
0.066725,0.065435,48,-112,1
0.052503,0.051213,62,-98,1
0.030336,0.029031,86,-74,1
0.027258,0.025542,153,-7,1
0.011208,0.0094919,25,-135,1
0.01041,0.0086933,120,-40,1
0.0086476,0.0069313,44,-116,0
0.0053548,0.0036384,45,-115,0
0.003819,0.0021026,67,-93,0
0.0032151,0.0014987,65,-95,0
0.002751,0.00065615,129,-31,0
0.0026707,0.00057577,129,-31,0
0.0018618,0,34,-126,0
0.0019456,8.3761e-05,57,-103,0
0.0032369,0.0013751,7,-153,0
0.0056896,0.0038278,65,-95,0
0.0061001,0.0042383,62,-98,0
0.0070186,0.0051568,7,-153,0
0.0069026,0.0050408,7,-153,0
0.0065533,0.0046915,7,-153,0
0.0061461,0.0042843,7,-153,0
0.0068012,0.0049394,66,-94,0
0.0076831,0.0058213,67,-93,0
0.0074878,0.005626,67,-93,0
0.0085994,0.0067376,7,-153,0
0.008313,0.0064512,8,-152,0
0.011019,0.0091567,8,-152,0
0.010309,0.0084475,7,-153,0
0.010369,0.0085069,9,-151,0
0.011386,0.0095246,7,-153,0
0.012178,0.010316,7,-153,0
0.011984,0.010122,9,-151,0
0.011795,0.0099329,9,-151,0
0.010195,0.0083328,7,-153,0
0.010949,0.0090877,8,-152,0
0.0061583,0.0042965,65,-95,0
0.01273,0.010868,11,-149,0
0.0042451,0.0023833,128,-32,0
0.0087528,0.006891,9,-151,0
0.0068611,0.0049993,49,-111,0
0.0043676,0.0025058,53,-107,0
0.0029751,0.0011133,52,-108,0
0.0026303,0.00076851,61,-99,0
0.0022039,0.00034211,69,-91,0
0.001956,9.4164e-05,6,-154,0
0.0085649,0.0067031,11,-149,0
0.0064043,0.0045425,11,-149,0
0.0030908,0.001229,48,-112,0
0.0016285,0,52,-108,0
0.0014871,0,120,-40,0
0.0015128,2.5697e-05,124,-36,0
0.0014966,9.5592e-06,95,-65,0
0.0015486,6.1558e-05,127,-33,0
0.0017897,0.00030268,135,-18,0
0.0016049,0.00011782,44,-109,0
0.0019657,0.00047867,54,-99,0
0.0084716,0.0069845,9,-144,0
0.0036842,0.0021972,81,-72,0
0.010998,0.0095112,67,-86,0
0.0041103,0.0026233,82,-71,0
0.009675,0.0081879,68,-85,0
0.0057432,0.0042561,72,-81,0
0.0050898,0.0036027,68,-85,0
0.005501,0.0040139,77,-76,0
0.0064562,0.0049691,67,-86,0
0.0031456,0.0016585,26,-127,0
0.0035613,0.0020742,40,-113,0
0.0050632,0.0035761,90,-63,0
0.003979,0.0024919,52,-101,0
0.0042174,0.0027303,87,-66,0
0.005628,0.0041409,33,-120,0
0.0066606,0.0051736,14,-139,0
0.0049279,0.0034408,29,-124,0
0.003903,0.0024159,67,-86,0
0.0030707,0.0015837,55,-98,0
0.0033554,0.0018684,99,-54,0
0.0023776,0.00089057,20,-133,0
0.0038612,0.0023741,130,-23,0
0.0027881,0.001301,148,-5,0
0.0028299,0.0013429,84,-69,0
0.0029536,0.0014665,125,-28,0
0.0026321,0.0011451,33,-120,0
0.0032015,0.0017144,109,-44,0
0.003113,0.001626,91,-62,0
0.0030935,0.0016064,136,-17,0
0.0030439,0.0015569,134,-19,0
0.0032654,0.0017784,35,-118,0
0.0033221,0.001835,117,-36,0
0.0027431,0.0012561,46,-107,0
0.0035133,0.0020263,17,-136,0
0.0025316,0.0010445,41,-112,0
0.0037645,0.0022774,28,-125,0
0.0047907,0.0033036,31,-122,0
0.0050768,0.0035898,111,-42,0
0.0050721,0.003585,29,-124,0
0.0034015,0.0019145,81,-72,0
0.0029083,0.0014213,33,-120,0
0.0029792,0.0014921,45,-108,0
0.013564,0.012077,71,-82,0
0.0038715,0.0023844,82,-71,0
0.0042092,0.0027221,83,-70,0
0.0046915,0.0032045,49,-104,0
0.0056103,0.0041233,10,-143,0
0.0047463,0.0032593,25,-128,0
0.003532,0.0020449,72,-81,0
0.0053417,0.0038546,151,-2,0
0.0071849,0.0056978,88,-65,0
0.005637,0.0041499,27,-126,0
0.0052565,0.0037695,39,-114,0
0.0059013,0.0044143,39,-114,0
0.0054448,0.0039577,48,-105,0
0.0034205,0.0019334,52,-101,0
0.0044898,0.0030028,51,-102,0
0.0027614,0.0012743,48,-105,0
0.0097806,0.0082935,45,-108,0
0.0027035,0.0012164,23,-130,0
0.0052506,0.0037636,49,-104,0
0.0031271,0.0016401,116,-37,0
0.002614,0.0011269,109,-44,0
0.0028808,0.0013938,64,-89,0
0.0028401,0.001353,113,-40,0
0.0023804,0.00089333,37,-116,0
0.0027256,0.0012386,52,-101,0
0.0019999,0.00051288,33,-120,0
0.0016147,0.00012764,7,-146,0
0.0020927,0.00060567,109,-44,0
0.001839,0.00035192,87,-66,0
0.0066037,0.0051167,26,-127,1
0.0077305,0.0062435,27,-126,1
0.013925,0.012438,10,-143,1
0.010048,0.0085613,97,-56,1
0.023732,0.022245,140,-13,1
0.027445,0.025958,89,-64,1
0.017883,0.016396,69,-84,1
0.032064,0.030577,52,-101,1
0.052884,0.051397,50,-103,1
0.055141,0.053654,47,-106,1
0.052595,0.051108,41,-112,1
0.052358,0.050871,35,-118,1
0.041941,0.040454,31,-122,1
0.032255,0.030768,35,-118,1
0.018413,0.016926,41,-112,1
0.017822,0.016335,25,-128,1
0.014765,0.013278,114,-39,1
0.015168,0.013681,24,-129,1
0.010176,0.0086889,126,-27,1
0.019688,0.018201,118,-35,1
0.011538,0.010051,93,-60,1
0.010772,0.0092845,123,-30,1
0.0085738,0.0070867,54,-99,1
0.0063059,0.0048189,149,-4,0
0.0029745,0.0014874,76,-77,0
0.0014519,0,128,-25,0
0.0013159,0,11,-142,0
0.0048137,0.0034977,19,-134,0
0.0021843,0.00086833,58,-95,0
0.0024934,0.0011774,110,-43,0
0.0021304,0.00081446,143,-10,0
0.0016798,0.00036384,119,-34,0
0.0015277,0.00021182,71,-82,0
0.0030366,0.0017207,60,-93,0
0.0026076,0.0012916,128,-25,0
0.0026364,0.0013205,56,-97,0
0.0019487,0.00063273,77,-76,0
0.0021316,0.00081568,105,-48,0
0.00179,0.00047409,70,-83,0
0.0026839,0.001368,92,-61,0
0.0014242,0.00010832,71,-82,0
0.0079197,0,139,0,0
0.0098454,0.0019257,145,0,0
0.007827,0,154,0,0
0.014138,0.006311,44,-110,0
0.012492,0.0046653,52,-102,1
0.018021,0.010194,21,-133,1
0.028192,0.020365,126,-28,1
0.045276,0.037449,55,-99,1
0.10471,0.096879,54,-100,1
0.11546,0.10763,53,-101,1
0.11348,0.10565,51,-103,1
0.13828,0.13046,48,-106,1
0.18518,0.17735,47,-107,1
0.16821,0.16038,47,-107,1
0.17291,0.16508,49,-105,1
0.16111,0.15328,47,-107,1
0.16077,0.15295,45,-109,1
0.195,0.18717,47,-107,1
0.1662,0.15837,46,-108,1
0.20118,0.19336,43,-111,1
