@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.40477,0.39726,0.043557,-0.1216,3988.4,3925.4,4.1979,-1.3137,516.8,86.133,0.18081,0.17295,36,-118,1.5299,1.0773,2,-18,1
0.41041,0.4029,0.045372,-0.11978,4015.4,3952.4,4.1153,-1.3963,516.8,86.133,0.1539,0.14604,36,-118,1.5449,1.0923,2,-18,1
0.4215,0.41399,0.039927,-0.12523,3871,3808,3.9727,-1.5389,516.8,86.133,0.16107,0.1532,37,-117,1.5816,1.129,2,-18,1
0.42175,0.41424,0.029946,-0.13521,3593.5,3530.5,3.8876,-1.6241,516.8,86.133,0.13408,0.12622,36,-118,1.6088,1.1562,2,-18,1
0.42117,0.41366,0.024501,-0.14065,3416.9,3353.9,3.8163,-1.6954,516.8,86.133,0.11631,0.10845,37,-117,1.6315,1.1788,2,-18,1
0.43568,0.42817,0.029038,-0.13612,3419.7,3356.7,3.8153,-1.6964,516.8,86.133,0.093891,0.086025,37,-117,1.6392,1.1866,2,-18,1
0.46602,0.45851,0.029946,-0.13521,3604.6,3541.6,3.707,-1.8046,516.8,86.133,0.099165,0.091299,34,-120,1.5807,1.1281,2,-18,1
0.48327,0.47576,0.025408,-0.13975,3918.6,3855.5,3.5803,-1.9313,538.33,107.67,0.10263,0.094761,32,-122,1.6322,1.1796,2,-18,1
0.44598,0.43847,0.023593,-0.14156,3322.6,3259.6,3.6082,-1.9034,538.33,107.67,0.084584,0.076718,31,-123,1.6307,1.1781,2,-18,1
0.36665,0.35914,0.022686,-0.14247,2773.1,2710.1,3.8238,-1.6879,538.33,107.67,0.075704,0.067838,31,-123,1.6443,1.1917,2,-18,1
0.2962,0.28869,0.022686,-0.14247,1871.1,1808.1,3.9439,-1.5678,538.33,107.67,0.065545,0.057679,34,-120,1.4975,1.0449,2,-18,1
0.22715,0.21964,0.021779,-0.14338,1630,1567,4.0169,-1.4948,516.8,86.133,0.056928,0.049062,39,-115,1.671,1.2184,2,-18,1
