@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.29973,80,0
0.25788,76,0
0.24524,91,0
0.26313,93,0
0.28138,87,0
0.25813,66,0
0.31601,45,0
0.2318,42,0
0.35802,53,0
0.27255,85,0
0.26234,92,0
0.3402,84,0
0.30215,101,0
0.24838,106,0
0.24207,106,0
0.21349,104,0
0.25033,121,0
0.22598,117,0
0.24067,116,0
0.23936,98,0
0.34615,109,0
0.24763,107,0
0.20904,94,0
0.20723,114,0
0.23891,108,0
0.19471,128,0
0.25544,99,0
0.23034,103,0
0.30588,105,0
0.21078,102,0
0.20367,108,0
0.22163,138,0
0.1626,148,0
0.52189,86,0
0.54103,56,0
0.36018,58,0
0.34446,58,0
0.30295,49,0
0.32637,52,0
0.52852,45,0
0.41812,46,0
0.34007,52,0
0.35677,57,0
0.30017,57,0
0.38911,48,0
0.4466,43,0
0.26536,70,0
0.42206,45,0
0.46812,40,0
0.74827,38,0
0.4287,35,0
0.63773,37,0
0.38868,97,0
0.24764,121,0
0.39292,66,0
0.50096,73,0
0.34404,82,0
0.60014,42,0
0.37007,82,0
0.56489,83,0
0.38888,140,0
0.16529,68,0
0.90379,44,1
0.96953,30,1
0.76884,20,1
0.41026,18,1
0.48124,18,1
0.74145,12,1
1.1527,12,1
0.85516,16,1
1.27,20,1
1.1281,9,1
1.3106,9,1
1.6079,9,1
1.5946,10,1
1.1967,10,1
0.52619,50,1
0.37548,56,1
0.48062,44,1
0.50296,55,1
0.29757,45,1
0.53147,55,1
0.36017,49,1
0.37064,53,1
0.39213,47,1
0.30135,48,0
0.26824,44,0
0.33615,62,0
0.28922,116,0
0.38945,71,0
0.3432,64,0
0.22665,161,0
0.23199,163,0
0.27673,125,0
0.29612,118,0
0.24543,110,0
0.24542,89,0
0.27191,86,0
0.32094,88,0
0.23208,82,0
0.28536,94,0
0.39633,85,0
0.39163,70,0
0.44146,36,0
0.5895,26,0
0.54845,36,0
0.47692,59,0
0.53213,97,1
0.30869,35,1
0.76054,15,1
0.88264,22,1
1.1521,29,1
1.149,30,1
0.94682,24,1
1.1707,32,1
1.2678,33,1
1.194,33,1
1.1164,32,1
1.0231,33,1
1.2228,33,1
1.1334,33,1
1.0216,34,1
1.1668,33,1
1.2557,34,1
1.2632,34,1
1.2535,33,1
1.2805,34,1
1.3004,34,1
1.2602,34,1
1.3005,34,1
1.3572,10,1
1.4394,9,1
1.5202,9,1
1.5706,9,1
1.5466,9,1
1.5026,9,1
1.5104,9,1
1.5027,9,1
1.5166,9,1
1.5742,9,1
1.5898,9,1
1.5723,9,1
1.5782,9,1
1.5747,10,1
1.5861,10,1
1.5847,9,1
1.576,9,1
1.5712,9,1
1.5838,9,1
1.6019,9,1
1.6024,9,1
1.5966,9,1
1.6032,9,1
1.5646,10,1
1.6322,10,1
1.6308,10,1
1.6444,10,1
1.4388,10,1
1.4892,9,1
1.0751,8,1
0.81953,18,1
0.37468,50,1
0.59375,54,1
0.87907,17,1
1.3307,10,0
0.96262,14,0
0.51951,29,0
0.36378,36,0
0.44159,41,0
0.31216,37,0
0.47835,49,0
0.47176,37,0
0.65143,39,0
0.54348,34,0
0.37119,43,0
0.38538,58,0
0.32973,89,0
0.2429,79,0
0.44977,65,0
0.3738,71,0
0.24358,74,0
0.39414,88,0
0.34631,61,0
0.35626,54,0
0.39032,73,0
0.23771,121,0
0.21672,87,0
0.27667,79,0
0.27906,73,0
0.24386,26,1
0.94192,14,1
1.3483,9,1
1.4293,9,1
1.421,9,1
1.4025,9,1
1.4329,27,1
1.4414,23,1
1.4377,9,1
1.4564,9,1
1.4708,9,1
1.4476,9,1
1.4685,9,1
1.4806,9,1
1.4851,10,1
1.4596,9,1
1.4448,9,1
1.4595,9,1
1.4596,9,1
1.4291,9,1
1.4334,10,1
1.4066,9,1
1.3353,8,1
1.339,8,1
1.3583,9,1
1.3226,28,1
1.2465,27,1
1.248,55,1
1.2511,61,1
1.2556,58,1
1.2761,41,1
1.2544,12,1
1.3011,11,1
1.3076,20,1
1.2702,14,1
1.2474,14,1
1.2795,14,1
1.3651,9,1
1.4101,8,1
1.3979,8,1
1.3835,12,1
1.3794,21,1
1.3722,40,1
1.2601,32,1
1.1271,27,1
1.1288,23,1
1.1739,23,1
1.2056,23,1
1.1933,23,1
1.199,23,1
1.2225,22,1
1.2185,23,1
1.2204,23,1
1.2247,25,1
1.2318,24,1
1.2424,40,1
1.3346,40,1
1.3738,40,1
1.3643,40,1
1.3821,40,1
1.4004,40,1
1.3281,26,1
1.4729,13,1
1.4883,9,1
1.5199,37,1
1.4994,13,1
1.505,9,1
1.5239,9,1
1.5053,9,1
1.4802,9,1
1.4817,9,1
1.4772,9,1
1.4555,9,1
1.4401,9,1
1.4441,9,1
1.4313,9,1
1.3825,9,1
1.3652,9,1
1.3693,9,1
1.3574,9,1
1.3025,9,1
1.2252,14,1
1.1745,18,1
1.1615,24,1
1.1882,24,1
1.2297,20,1
1.2492,23,1
1.2821,15,1
1.2364,15,1
1.3363,14,1
1.4537,13,1
1.5515,13,1
1.4871,12,1
1.483,12,1
1.4241,12,1
1.3896,13,1
1.0127,14,1
0.59816,20,1
0.59233,15,1
0.59878,11,1
0.61431,10,1
0.81831,13,1
1.0008,12,1
0.35712,13,1
0.95351,9,1
1.2202,9,1
1.4942,9,1
1.3898,9,1
0.57935,8,1
1.059,8,1
1.1467,8,1
1.0767,9,1
0.9838,9,1
1.3065,8,1
1.4813,8,0
1.4147,9,0
1.3483,9,0
0.88709,26,0
0.3109,52,0
0.33276,54,0
0.38811,45,0
0.32039,48,0
0.3758,56,0
0.37364,52,0
0.27022,54,0
0.35126,50,0
0.32033,97,0
0.23456,80,0
0.32453,90,0
0.29718,115,0
0.36313,111,0
0.33872,100,0
0.21177,109,0
0.20206,99,0
0.29393,111,0
0.35453,123,0
0.19575,139,0
0.27318,147,0
0.25389,137,0
0.11089,154,0
0.21181,150,0
0.1168,151,0
0.23366,170,0
0.35506,149,0
0.26117,161,0
0.23781,158,0
0.11339,183,0
0.17159,154,0
0.13191,194,0
0.24739,201,0
0.263,169,0
0.17565,133,0
0.093666,153,0
0.19147,139,0
0.18005,115,0
0.24232,109,0
0.21211,108,0
0.2021,99,0
0.22628,120,0
0.22825,132,0
0.26126,120,0
0.24101,108,0
0.28625,87,0
0.24462,91,0
0.25555,86,0
0.3381,57,0
0.27829,55,0
0.3907,46,0
0.5146,29,0
0.48685,78,0
0.70043,46,0
0.2554,156,0
0.26525,210,0
0.17675,209,0
0.43519,171,0
0.57383,128,0
0.51846,186,0
0.28497,234,0
0.35477,232,0
0.35767,223,0
0.5494,202,0
0.35932,144,0
0.55444,145,0
0.44945,176,0
0.61049,134,0
0.39706,188,0
0.13318,193,0
0.60216,74,0
0.7536,60,0
0.61326,152,0
0.48435,224,0
0.44661,216,0
0.53758,178,0
0.34347,221,0
0.46111,158,0
0.69715,132,0
0.54139,130,0
0.66266,87,0
1.0686,56,0
0.45672,125,0
0.50659,141,0
0.39594,205,0
0.40412,205,0
0.32759,192,0
0.45335,191,0
0.43961,204,0
0.27193,97,0
0.33414,71,0
0.26191,69,0
0.33623,72,0
0.19849,95,0
0.17546,88,0
0.25291,90,0
0.39974,95,0
0.34863,126,0
0.12434,129,0
0.11839,193,0
0.2032,233,0
0.13294,272,0
0.11287,238,0
0.098907,220,0
0.31057,207,0
0.378,187,0
0.39451,60,0
0.30753,49,0
0.45784,103,0
0.20218,165,0
0.38006,115,0
0.39529,137,0
0.33411,139,0
0.40164,177,0
0.27927,164,0
0.23706,73,0
0.2822,56,0
0.23482,70,0
0.24532,55,0
0.17277,57,0
0.29326,56,0
0.29012,73,0
0.1538,95,0
0.21788,105,0
0.22486,94,0
0.21634,89,0
0.24792,58,0
0.35326,48,0
0.43118,29,0
0.30837,62,0
0.25706,75,0
0.20295,81,0
0.20441,90,0
0.35573,79,0
0.34382,55,0
0.34738,46,0
0.37576,64,0
0.34779,42,0
0.33085,47,0
0.34632,50,0
0.35741,54,0
0.44651,54,0
0.34267,53,0
0.31403,56,0
0.28051,62,0
0.3288,49,0
0.4122,44,0
0.30302,42,0
0.365,59,0
0.3934,65,0
0.35872,42,0
0.52373,39,0
0.41269,39,0
0.3771,51,0
0.30833,40,0
0.35335,48,0
0.2798,89,0
0.34248,118,0
0.33874,139,0
0.32386,140,0
0.3418,135,0
0.38814,75,0
0.32735,44,0
0.48372,38,0
0.84424,41,0
0.04804,15,0
0.00010159,3,0
0.0089777,35,0
0.32237,76,0
0.74615,17,1
0.64054,12,1
1.1869,13,1
0.62845,19,1
1.0914,16,1
1.1312,20,1
1.0108,11,1
1.2295,11,1
1.3048,15,1
1.47,40,1
1.46,38,1
1.4591,40,1
1.3521,25,1
1.3212,23,1
1.2614,10,1
1.2396,19,1
1.2235,17,1
1.2351,17,1
1.3391,13,1
1.3642,13,1
1.3897,12,1
