@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
-95.883,-6.6027,2368.7,0.0029922,0,0,0
-78.187,-6.5508,2368.7,0.0026124,0,0,0
-78.107,-6.5277,775.2,0.0030405,0,0,0
-101.39,-6.6886,430.66,0.0017214,0,0,0
-88.389,-6.5029,1485.8,0.0016343,0,0,0
-86.395,-6.5092,1485.8,0.0021784,0,0,0
-89.638,-6.425,2411.7,0.0024071,0,0,0
-108.56,-6.537,1507.3,0.0039653,0,0,0
-98.366,-6.3885,2304.1,0.0039674,0,0,0
-81.524,-6.3383,2045.7,0.0027767,0,0,0
-73.988,-6.0799,258.4,0.0036653,0,0,0
-70.77,-5.6809,150.73,0.00025408,0,0,0
-59.594,-5.8228,452.2,0.00035038,0,0,0
-73.048,-6.1473,215.33,0.00078027,0,0,0
-53.156,-5.8921,236.87,0.00044993,0,0,0
-50.618,-6.2318,193.8,0.00046607,0,0,0
-62.722,-6.4369,150.73,0.00070367,0,0,0
-61.062,-6.6096,236.87,0.00078292,0,0,0
-50.967,-6.192,258.4,0.00057843,0,0,0
-48.825,-6.252,215.33,0.00036643,0,0,0
-48.909,-6.255,409.13,0.00058961,0,0,0
-50.792,-6.0564,516.8,0.00027927,0,0,0
-47.516,-6.0376,516.8,0.00020123,0,0,0
-52.596,-6.1797,516.8,0.00047631,0,0,0
-54.019,-6.111,236.87,0.0007519,0,0,0
-58.251,-6.3251,279.93,0.00064183,0,0,0
-50.563,-6.2123,279.93,0.00031985,0,0,0
-49.226,-6.3545,279.93,0.00033764,0,0,0
-50.836,-6.2908,279.93,0.00061974,0,0,0
-60.67,-6.4311,236.87,0.0011061,0,0,0
-56.971,-6.3181,279.93,0.0010019,0,0,0
-51.21,-6.1419,301.46,0.0003454,0,0,0
-51.136,-6.1051,258.4,0.00045163,0,0,0
-50.63,-6.1488,258.4,0.00083219,0,0,0
-49.977,-6.2096,236.87,0.00060369,0,0,0
-47.715,-6.3759,193.8,0.00037179,0,0,0
-48.665,-6.3506,172.27,0.0005708,0,0,0
-53.04,-6.1242,193.8,0.00052345,0,0,0
-48.328,-6.3139,279.93,0.00034853,0,0,0
-46.502,-6.1192,258.4,0.00039467,0,0,0
-47.095,-6.2686,258.4,0.00028055,0,0,0
-46.456,-6.0928,258.4,0.00022891,0,0,0
-44.606,-5.9877,258.4,0.00075209,0,0,0
-44.219,-6.2172,279.93,0.00027943,0,0,0
-45.031,-6.2524,258.4,0.00035423,0,0,0
-58.889,-6.5127,430.66,0.00053202,0,0,0
-51.24,-6.3855,215.33,0.00060433,0,0,0
-47.421,-6.3438,215.33,0.00032742,0,0,0
-45.064,-6.3409,258.4,0.00043378,0,0,0
-44.122,-6.4535,258.4,0.00093619,0,0,0
-66.954,-6.3881,236.87,0.0027341,0,0,0
-68.053,-6.2664,172.27,0.0014687,0,0,0
-66.432,-6.2347,215.33,0.00083555,0,0,0
-60.961,-6.3269,279.93,0.0017898,0,0,0
-58.365,-6.256,409.13,0.0011193,0,0,0
-54.221,-6.2116,366.06,0.0013144,0,0,0
-52.287,-6.2716,215.33,0.00064079,0,0,0
-66.222,-6.2644,279.93,0.0018612,0,0,0
-75.165,-6.5161,107.67,0.0025289,0,0,0
-57.541,-6.4631,344.53,0.00074187,0,0,0
-49.787,-6.4287,86.133,0.00058798,0,0,0
-44.531,-6.3783,64.6,0.00052497,0,0,0
-42.539,-6.3515,193.8,0.00033504,0,0,0
-44.794,-6.2907,215.33,0.0012026,0,0,0
-44.423,-6.2758,21.533,0.0003894,0,0,0
-54.661,-6.4488,366.06,0.00081382,0,0,0
-45.135,-6.3104,344.53,0.00042395,0,0,0
-48.263,-6.1143,495.26,0.00053105,0,0,0
-49.669,-5.8318,172.27,0.00064025,0,0,0
-48.22,-6.121,215.33,0.00030745,0,0,0
-50.061,-6.1994,301.46,0.00044084,0,0,0
-48.605,-6.2455,301.46,0.00038495,0,0,0
-53.488,-6.1933,301.46,0.00029746,0,0,0
-53.385,-6.1728,193.8,0.00057183,0,0,0
-50.351,-6.0595,150.73,0.00026757,0,0,0
-50.687,-6.2871,150.73,0.00029079,0,0,0
-75.64,-6.1712,193.8,0.0055282,0,0,0
-113.75,-6.3046,1464.3,0.0038513,0,0,0
-108.56,-6.2302,2885.4,0.0033221,0,0,0
-91.492,-6.1823,236.87,0.0029882,0,0,0
-82.123,-6.1227,236.87,0.0020945,0,0,0
-67.716,-6.2139,172.27,0.0023859,0,0,0
-60.471,-6.2079,236.87,0.0013598,0,0,0
-72.394,-6.4569,258.4,0.0011385,0,0,0
-130.82,-6.5247,3940.6,0.0059664,0,0,0
-118.63,-6.4945,2907,0.0047819,0,0,0
-96.804,-6.3857,150.73,0.0033622,0,0,0
-92.492,-6.2328,172.27,0.0045068,0,0,0
-91.269,-5.9021,172.27,0.00052712,0,0,0
-85.978,-5.9702,1141.3,0.00020216,0,0,0
-107.37,-6.2587,193.8,0.0032053,0,0,0
-101.6,-6.2467,107.67,0.002768,0,0,0
-114.41,-6.4888,150.73,0.0046443,0,0,0
-89.833,-6.5155,193.8,0.0022985,0,0,0
-87.958,-6.4166,193.8,0.0017584,0,0,0
-95,-6.183,21.533,0.0036472,0,0,0
-116.65,-6.1028,925.93,0.0044162,0,0,0
-136.68,-6.0847,839.79,0.011126,1,15,0
-151.19,-6.1091,2454.8,0.017807,1,17,0
-154.27,-6.0874,1916.5,0.018799,1,15,0
-159.76,-6.1441,2325.6,0.024276,1,17,0
-172.76,-6.2194,1938,0.017086,1,17,0
-168.25,-6.1771,2347.1,0.016145,1,17,0
-164.64,-6.1354,2454.8,0.015945,1,17,0
-160.83,-6.1557,2196.4,0.016917,1,13,0
-149.77,-6.0914,495.26,0.011318,1,13,0
-136.65,-6.0446,2067.2,0.012021,1,17,0
-124.47,-6.0023,301.46,0.0086147,0,0,0
-111.18,-6.0331,323,0.0026676,0,0,0
-98.386,-6.1398,516.8,0.0023437,0,0,0
-93.425,-6.0472,193.8,0.0009874,0,0,0
-88.625,-6.1191,473.73,0.00099828,0,0,0
-84.907,-6.0526,21.533,0.00038211,0,0,0
-84.682,-6.0509,430.66,0.00049549,0,0,0
-112.02,-6.1401,409.13,0.0089762,0,0,0
-118.22,-5.9701,1916.5,0.013521,1,19,0
-137.67,-5.9257,2067.2,0.029974,1,17,0
-163.57,-6.0991,301.46,0.028229,2,9,0
-162,-6.0877,301.46,0.025345,3,9,0
-162.36,-6.093,236.87,0.027141,4,2,0
-172.12,-6.1632,8075,0.04248,4,3,0
-130.49,-5.9697,366.06,0.043308,2,4,0
-128.7,-5.8578,150.73,0.031702,1,17,0
-115.09,-5.7758,2067.2,0.024552,1,17,0
-100.12,-5.6891,172.27,0.021861,1,17,0
-75.03,-5.4302,172.27,0.0087213,0,0,0
-55.425,-5.028,64.6,0.0010033,0,0,0
-60.175,-5.1556,64.6,0.00057772,0,0,0
-79.228,-5.8696,64.6,0.00095862,0,0,0
-84.195,-5.9279,21.533,0.0019012,0,0,0
101.97,-4.7678,667.53,0.0027989,0,0,1
794.07,-4.79,710.6,0.021485,1,14,1
611.46,-4.7636,775.2,0.023016,1,14,1
598.25,-5.1386,559.86,0.023987,3,9,1
1151,-4.7136,646,0.037054,1,16,1
1484.1,-4.5228,710.6,0.040327,1,16,1
1005.1,-4.7176,409.13,0.047605,1,15,1
1072.5,-4.6119,430.66,0.044407,2,10,1
1069.7,-4.4974,452.2,0.036005,1,14,1
1273.4,-4.2443,452.2,0.025941,1,14,1
1247.1,-4.2116,452.2,0.027709,1,14,1
1251.7,-4.0922,452.2,0.024688,1,14,1
1123.6,-4.304,452.2,0.034429,1,14,1
966.74,-4.3199,452.2,0.029812,1,14,1
868.25,-4.4645,430.66,0.032308,1,14,1
