@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00038191,0.16969,0.11444,20,0
0.00051866,0.18784,0.13525,19,0
0.0008113,0.20871,0.15137,20,0
0.0007997,0.21234,0.13626,23,0
0.00061142,0.21688,0.15145,28,0
0.00083367,0.20871,0.086467,35,0
0.0010392,0.18784,0.17826,24,0
0.0010359,0.19782,0.17271,23,0
0.0012234,0.19056,0.20144,14,0
0.0014884,0.19056,0.19476,18,0
0.0015258,0.16969,0.23245,17,0
0.0012594,0.14338,0.21395,11,0
0.0023775,0.11162,0.0037857,13,0
0.0028125,0.056261,0.01375,6,0
0.0019744,0.057169,0.40855,8,0
0.0019713,0.058076,0,9,0
0.0015957,0.062613,0,2,0
0.00065501,0.10436,0.035307,21,0
0.0003864,0.18149,0.069728,44,0
0.00041048,0.17514,0.045397,42,0
0.00035077,0.12613,0.081697,29,0
0.00032659,0.11978,0.059161,25,0
0.00056504,0.11434,0.05178,31,0
0.00059519,0.13612,0.48389,13,0
0.00071476,0.11525,0.77998,6,0
0.00086906,0.087114,0.50999,9,0
0.00083652,0.10254,0.095763,20,0
0.00071063,0.10799,0.18294,30,0
0.00050476,0.13067,0.71145,18,0
0.00031368,0.17423,0.5724,25,0
0.0003907,0.13158,0.22139,21,0
0.00041637,0.13249,0.10886,28,0
0.00035628,0.17423,0.22989,36,0
0.00084759,0.11797,0.18531,11,0
0.0010697,0.077132,0.3048,10,0
0.00063524,0.11252,0.2093,17,0
0.00030294,0.13521,0.098336,33,0
0.00028847,0.11525,0.043907,32,0
0.00035413,0.14247,0.019445,37,0
0.00051737,0.14882,0.083941,25,0
0.0005182,0.12341,0.31851,22,0
0.00044245,0.11797,0.3395,17,0
0.00041346,0.098911,0.094906,31,0
0.00066756,0.065336,0.28475,13,0
0.00064446,0.088022,0.44561,14,0
0.00037197,0.10889,0.33226,19,0
0.00036535,0.11525,0.050638,30,0
0.00020303,0.19147,0.11598,29,0
0.00016987,0.20599,0.065171,52,0
0.00027651,0.16425,0.020469,50,0
9.7487e-05,0.17604,0.082679,34,0
0.00014248,0.1833,0.095791,31,0
0.00050887,0.16425,0.20173,14,0
0.00083794,0.12886,0.24165,10,0
0.00081255,0.10799,0.24643,11,0
0.00064619,0.12432,0.16651,11,0
0.0005172,0.13702,0.29495,16,0
0.00040285,0.13339,0.2395,17,0
0.00054472,0.13612,0.094735,23,0
0.0005546,0.13702,0.28101,16,0
0.00052764,0.16334,0.16083,25,0
0.00035793,0.17151,0.24301,27,0
9.81e-05,0.14882,0.23326,41,0
3.3739e-05,0.15789,0.075702,54,0
8.421e-05,0.17604,0.097349,54,0
8.6258e-05,0.18784,0.12659,46,0
7.8802e-05,0.18603,0.11168,50,0
0.00015504,0.15426,0.22955,40,0
0.00019073,0.14065,0.39377,29,0
