@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.12215,35,1
0.13255,35,1
0.13119,35,1
0.1259,36,1
0.12184,36,1
0.11715,36,1
0.1151,37,1
0.11372,37,1
0.12204,38,1
0.12754,39,1
0.11765,40,1
0.10642,41,1
0.098039,41,1
0.099459,40,1
0.094266,40,1
0.088154,41,1
0.10303,43,1
0.084648,45,1
0.060032,48,1
0.044628,52,1
0.029659,52,1
0.015573,52,1
0.015815,44,1
0.012849,48,0
0.0048284,51,0
0.0066092,36,0
0.0027644,44,0
0.0043379,37,0
0.0033211,76,0
0.0020666,12,0
0.0039791,35,0
0.0029768,52,0
0.0024107,31,0
0.0026746,94,0
0.0027063,71,0
0.0024583,12,0
0.004354,64,0
0.0019947,91,0
0.0019351,139,0
0.0017887,70,0
0.0016775,94,0
0.0019541,86,0
0.0025947,26,0
0.0021533,61,0
0.0018649,27,0
0.0029043,20,0
0.0035156,51,0
0.0028499,73,0
0.0024566,78,0
0.0090286,14,0
0.0068199,14,0
0.0046735,124,0
0.0057671,55,0
0.0082174,54,0
0.0042035,124,0
0.0055914,55,0
0.004812,55,0
0.0081304,60,0
0.0078292,62,0
0.00694,60,0
0.0075924,60,0
0.0087627,14,0
0.0089054,12,0
0.0095294,56,0
0.010839,140,0
0.0086469,14,0
0.0085157,14,0
0.010873,56,0
0.010335,15,0
0.015336,54,0
0.0082921,54,0
0.0081077,57,0
0.0081352,56,0
0.0068646,54,0
0.012595,12,1
0.02691,125,1
0.058946,41,1
0.076735,38,1
0.045408,36,1
0.04345,129,1
0.028303,26,1
0.03864,112,1
0.10868,33,1
0.16678,33,1
0.11679,37,1
0.065435,48,1
0.051213,62,1
0.029031,86,1
0.025542,153,1
0.0094919,25,1
0.0086933,120,1
0.0069313,44,0
0.0036384,45,0
0.0021026,67,0
0.0014987,65,0
0.00065615,129,0
0.00057577,129,0
0,34,0
8.3761e-05,57,0
0.0013751,7,0
0.0038278,65,0
0.0042383,62,0
0.0051568,7,0
0.0050408,7,0
0.0046915,7,0
0.0042843,7,0
0.0049394,66,0
0.0058213,67,0
0.005626,67,0
0.0067376,7,0
0.0064512,8,0
0.0091567,8,0
0.0084475,7,0
0.0085069,9,0
0.0095246,7,0
0.010316,7,0
0.010122,9,0
0.0099329,9,0
0.0083328,7,0
0.0090877,8,0
0.0042965,65,0
0.010868,11,0
0.0023833,128,0
0.006891,9,0
0.0049993,49,0
0.0025058,53,0
0.0011133,52,0
0.00076851,61,0
0.00034211,69,0
9.4164e-05,6,0
0.0067031,11,0
0.0045425,11,0
0.001229,48,0
0,52,0
0,120,0
2.5697e-05,124,0
9.5592e-06,95,0
6.1558e-05,127,0
0.00030268,135,0
0.00011782,44,0
0.00047867,54,0
0.0069845,9,0
0.0021972,81,0
0.0095112,67,0
0.0026233,82,0
0.0081879,68,0
0.0042561,72,0
0.0036027,68,0
0.0040139,77,0
0.0049691,67,0
0.0016585,26,0
0.0020742,40,0
0.0035761,90,0
0.0024919,52,0
0.0027303,87,0
0.0041409,33,0
0.0051736,14,0
0.0034408,29,0
0.0024159,67,0
0.0015837,55,0
0.0018684,99,0
0.00089057,20,0
0.0023741,130,0
0.001301,148,0
0.0013429,84,0
0.0014665,125,0
0.0011451,33,0
0.0017144,109,0
0.001626,91,0
0.0016064,136,0
0.0015569,134,0
0.0017784,35,0
0.001835,117,0
0.0012561,46,0
0.0020263,17,0
0.0010445,41,0
0.0022774,28,0
0.0033036,31,0
0.0035898,111,0
0.003585,29,0
0.0019145,81,0
0.0014213,33,0
0.0014921,45,0
0.012077,71,0
0.0023844,82,0
0.0027221,83,0
0.0032045,49,0
0.0041233,10,0
0.0032593,25,0
0.0020449,72,0
0.0038546,151,0
0.0056978,88,0
0.0041499,27,0
0.0037695,39,0
0.0044143,39,0
0.0039577,48,0
0.0019334,52,0
0.0030028,51,0
0.0012743,48,0
0.0082935,45,0
0.0012164,23,0
0.0037636,49,0
0.0016401,116,0
0.0011269,109,0
0.0013938,64,0
0.001353,113,0
0.00089333,37,0
0.0012386,52,0
0.00051288,33,0
0.00012764,7,0
0.00060567,109,0
0.00035192,87,0
0.0051167,26,1
0.0062435,27,1
0.012438,10,1
0.0085613,97,1
0.022245,140,1
0.025958,89,1
0.016396,69,1
0.030577,52,1
0.051397,50,1
0.053654,47,1
0.051108,41,1
0.050871,35,1
0.040454,31,1
0.030768,35,1
0.016926,41,1
0.016335,25,1
0.013278,114,1
0.013681,24,1
0.0086889,126,1
0.018201,118,1
0.010051,93,1
0.0092845,123,1
0.0070867,54,1
0.0048189,149,0
0.0014874,76,0
0,128,0
0,11,0
0.0034977,19,0
0.00086833,58,0
0.0011774,110,0
0.00081446,143,0
0.00036384,119,0
0.00021182,71,0
0.0017207,60,0
0.0012916,128,0
0.0013205,56,0
0.00063273,77,0
0.00081568,105,0
0.00047409,70,0
0.001368,92,0
0.00010832,71,0
0,139,0
0.0019257,145,0
0,154,0
0.006311,44,0
0.0046653,52,1
0.010194,21,1
0.020365,126,1
0.037449,55,1
0.096879,54,1
0.10763,53,1
0.10565,51,1
0.13046,48,1
0.17735,47,1
0.16038,47,1
0.16508,49,1
0.15328,47,1
0.15295,45,1
0.18717,47,1
0.15837,46,1
0.19336,43,1
0.16773,42,1
0.18082,42,1
0.17373,43,1
0.15173,44,1
0.13834,44,1
0.14357,45,1
0.15762,44,1
0.13543,43,1
0.16358,41,1
0.1604,40,1
0.13351,39,1
0.13171,39,1
0.15094,130,1
0.14435,38,1
0.12803,38,1
0.13694,37,1
0.13409,37,1
0.1347,36,1
0.14643,36,1
0.14143,124,1
0.14289,35,1
0.14198,35,1
0.14209,35,1
0.15079,36,1
0.17299,36,1
0.14622,36,1
0.15327,37,1
0.12635,36,1
0.10837,37,1
0.086031,37,1
0.09145,34,1
0.094705,32,1
0.076562,31,1
0.067908,31,1
0.057663,34,1
0.048937,39,1
0.036601,43,1
0.020975,42,1
0.01386,54,1
0.0084195,38,1
0.0042394,115,1
0.0059565,29,0
0.0056659,31,0
0.0010517,41,0
0,71,0
0.003427,117,0
0.0036073,38,0
0.003973,132,0
0.0065341,21,0
0.010603,15,0
0.010585,16,0
0.0083892,15,0
0.0063823,86,0
0.0065358,41,0
0.0063319,33,0
0.011243,58,0
0.012082,34,0
0.0075856,20,0
0.004739,31,0
0.002989,60,0
0,137,0
0,134,0
0,85,0
0,84,0
0.0012259,141,0
0.0031486,34,0
0.00562,30,1
0.028585,42,1
0.088124,42,1
0.085427,43,1
0.098587,44,1
0.12787,44,1
0.12972,42,1
0.12142,41,1
0.12681,41,1
0.13633,41,1
0.11133,41,1
0.12776,42,1
0.12193,42,1
0.13073,42,1
0.13225,42,1
0.12023,137,1
0.13746,138,1
0.12724,137,1
0.12911,136,1
0.13333,42,1
0.14363,43,1
0.13155,44,1
0.11315,46,1
0.12473,147,1
0.12864,48,1
0.12351,48,1
0.12431,49,1
0.11576,49,1
0.11054,50,1
0.121,50,1
0.13099,49,1
0.13092,49,1
0.14435,48,1
0.12495,47,1
0.13154,48,1
0.1359,48,1
0.13081,47,1
0.12642,46,1
0.12269,45,1
0.11554,46,1
0.12099,46,1
0.1434,146,1
0.12605,146,1
0.13369,48,1
0.1293,49,1
0.13842,50,1
0.13463,51,1
0.12026,51,1
0.12786,52,1
0.12162,51,1
0.13251,52,1
0.14359,51,1
0.13931,51,1
0.14889,51,1
0.14708,50,1
0.13474,49,1
0.14439,49,1
0.14491,48,1
0.1449,48,1
0.15116,48,1
0.15841,47,1
0.15502,45,1
0.13672,43,1
0.099629,44,1
0.1528,44,1
0.15492,43,1
0.14186,43,1
0.13976,42,1
0.12099,41,1
0.11517,41,1
0.10551,133,1
0.12502,40,1
0.10639,41,1
0.10962,41,1
0.11716,136,1
0.12058,42,1
0.11906,43,1
0.1215,43,1
0.12003,43,1
0.12662,43,1
0.12121,44,1
0.12098,45,1
0.11096,46,1
0.13633,47,1
0.12018,48,1
0.11914,49,1
0.11371,50,1
0.109,53,1
0.10048,55,1
0.10002,60,1
0.087196,67,1
0.098,71,1
0.085013,78,1
0.069138,78,1
0.058791,77,1
0.033599,79,1
0.030784,72,1
0.011078,71,1
0.016882,69,1
0.015736,76,1
0.020458,66,1
0.012145,10,1
0.015773,28,1
0.012441,32,1
0.021677,24,1
0.016334,131,1
0.025516,125,1
0.028735,39,1
0.011278,41,1
0.012445,39,1
0.0098789,57,1
0.0082244,41,1
0.0093551,54,1
0.013244,57,1
0.014797,48,0
0.010474,42,0
0.0082449,42,0
0.004753,53,0
0.0020007,130,0
0.0014465,46,0
0.0029698,41,0
0.00064179,102,0
0.00041279,63,0
0.0011757,58,0
0.0010678,61,0
0.00053348,139,0
0.00019091,136,0
0.00050271,59,0
0.00046881,102,0
0,53,0
0.00043251,33,0
0.00084887,114,0
0.00017703,35,0
0.0007722,39,0
2.1899e-05,120,0
0.00030787,90,0
0.00029806,7,0
2.7251e-05,28,0
0,106,0
0.00012638,35,0
0,127,0
0,102,0
0.00039161,26,0
0.0004835,96,0
0,131,0
9.9663e-05,111,0
0.00010291,127,0
0.00031832,60,0
0.00046546,83,0
0.00024414,34,0
0.00042391,89,0
0.00027071,59,0
0.00013551,35,0
0.00082169,106,0
0.00047111,42,0
0.0015165,62,0
0.0017248,119,0
0.001281,153,0
0.00059374,117,0
0.0016309,21,0
0.0016558,73,0
0.0016658,104,0
0.0022726,88,0
0.0035059,36,0
0.0030144,43,0
0.0017386,101,0
0.0012035,53,0
0.0013302,94,0
0.0019402,56,0
0.0005239,50,0
0.00029204,130,0
7.1262e-05,13,0
0.00039232,44,0
0.00047292,57,0
0.00011277,100,0
0,148,0
9.5653e-05,33,0
0.0003439,121,0
0.0002392,120,0
0.00025322,37,0
0.00048401,107,0
0.0004235,81,0
0.001142,117,0
0.00069366,105,0
0.00033981,135,0
0.00057723,125,0
0.00094575,89,0
0.00052303,117,0
0.00045128,139,0
0,46,0
0.00016142,107,0
0.00010335,127,0
0.00032362,110,0
0.00017871,142,0
0.00018752,120,0
0.00034863,139,0
9.2031e-05,54,0
0.00025505,129,0
0.00061491,126,0
0.0005552,115,0
0,54,0
0.0006739,28,0
0.00027748,80,0
0.00027443,111,0
0.00018315,127,0
2.9867e-05,50,0
0.0015569,123,0
0.0018978,57,0
0.0019464,56,0
0.0013096,105,0
0.0011179,55,0
0.0018576,57,0
0.00032579,56,0
0.00099311,117,0
