@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.1169,0.030853,1116.1,4.3201,624.46,1
0.11644,0.03176,944.98,4.293,624.46,1
0.11379,0.029946,680.03,4.3291,366.06,1
0.11397,0.028131,899.25,4.1903,452.2,1
0.11152,0.024501,712.49,3.9878,409.13,1
0.10975,0.021779,602.45,3.8042,409.13,1
0.076888,0.028131,261.37,3.604,409.13,1
0.029784,0.043557,0,4.6371,387.6,1
0.018392,0.036298,0,4.4872,323,1
0.017244,0.018149,11.775,4.5071,344.53,1
0.0092862,0.044465,37.024,4.8589,344.53,1
0.0081317,0.053539,55.854,5.2049,366.06,1
0.010933,0.03176,40.459,4.9431,366.06,1
0.011548,0.025408,24.833,4.6361,387.6,0
0.010044,0.023593,21.947,4.4768,387.6,0
0.005248,0.038113,32.332,4.8134,387.6,0
0.0020845,0.088929,42.127,5.2624,387.6,0
0.00075788,0.11887,45.873,5.4435,2153.3,0
0.00016916,0.11434,39.456,5.476,387.6,0
0.00027855,0.11434,37.816,5.3485,387.6,0
1.0106e-06,0.12704,35.565,5.462,1916.5,0
0,0.14882,30.738,5.5172,2217.9,0
0,0.15064,32.843,5.4499,2217.9,0
0,0.14701,29.594,5.4607,2239.5,0
0,0.13975,29.015,5.5109,129.2,0
0,0.13884,31.006,5.5835,2088.7,0
2.7633e-05,0.14701,33.428,5.5383,1894.9,0
5.6604e-05,0.15245,29.986,5.5134,473.73,0
5.1336e-05,0.12976,26.987,5.4623,64.6,0
7.4598e-05,0.12341,29.427,5.4663,107.67,0
0,0.15336,30.429,5.5813,473.73,0
0,0.15971,26.829,5.6439,452.2,0
5.9596e-05,0.16515,28.45,5.6086,387.6,0
8.7509e-05,0.17695,27.744,5.5888,215.33,0
0,0.18603,24.707,5.6354,193.8,0
0,0.18421,21.17,5.6076,64.6,0
7.1899e-05,0.17604,19.643,5.5367,279.93,0
0.00024339,0.15426,23.08,5.5329,236.87,0
0.00015508,0.16969,25.659,5.612,409.13,0
0,0.20871,21.382,5.5983,344.53,0
0,0.22232,16.346,5.5745,323,0
0.00014745,0.20236,18.96,5.4579,215.33,0
0.00025095,0.16606,19.308,5.4393,215.33,0
0.00011661,0.18421,18.37,5.479,215.33,0
0,0.22323,14.414,5.4603,0,0
0,0.20599,17.025,5.4828,366.06,0
0.00021293,0.15154,17.689,5.4346,193.8,0
0.00034809,0.14247,19.751,5.4653,129.2,0
0.00020177,0.16697,17.72,5.5718,0,0
0.00017586,0.16243,18.507,5.4901,0,0
0.00019072,0.1588,19.328,5.5073,215.33,0
0.00010736,0.16788,21.667,5.5451,193.8,0
0.00021436,0.16515,21.006,5.551,236.87,0
0.00038191,0.16969,22.692,5.5113,193.8,0
0.00051866,0.18784,29.311,5.5868,0,0
0.0008113,0.20871,40.282,5.6946,2347.1,0
0.0007997,0.21234,32.772,5.6581,2347.1,0
0.00061142,0.21688,33.072,5.6332,753.66,0
0.00083367,0.20871,36.574,5.6879,409.13,0
0.0010392,0.18784,41.301,5.687,1464.3,0
0.0010359,0.19782,39.165,5.6596,1464.3,0
0.0012234,0.19056,43.188,5.6241,2390.2,0
0.0014884,0.19056,50.521,5.7018,1485.8,0
0.0015258,0.16969,48.524,5.5993,2282.5,0
0.0012594,0.14338,39.071,5.5316,2024.1,0
0.0023775,0.11162,36.824,5.3725,236.87,0
0.0028125,0.056261,36.272,5.1589,129.2,0
0.0019744,0.057169,25.511,5.0582,430.66,0
0.0019713,0.058076,29.854,5.2878,193.8,0
0.0015957,0.062613,18.62,4.9608,215.33,0
0.00065501,0.10436,16.951,5.2824,172.27,0
0.0003864,0.18149,19.405,5.3975,129.2,0
0.00041048,0.17514,19.598,5.6018,215.33,0
0.00035077,0.12613,15.495,5.1735,236.87,0
0.00032659,0.11978,14.887,5.2668,193.8,0
0.00056504,0.11434,14.431,5.2573,387.6,0
0.00059519,0.13612,17.248,5.0953,495.26,0
0.00071476,0.11525,14.802,4.9816,495.26,0
0.00086906,0.087114,18.551,5.2488,495.26,0
0.00083652,0.10254,18.465,5.0912,215.33,0
0.00071063,0.10799,21.714,5.409,258.4,0
0.00050476,0.13067,17.282,5.2352,258.4,0
0.00031368,0.17423,16.48,5.4072,258.4,0
0.0003907,0.13158,17.655,5.3768,258.4,0
0.00041637,0.13249,21.082,5.4953,215.33,0
0.00035628,0.17423,18.333,5.3938,258.4,0
0.00084759,0.11797,17.21,5.1854,279.93,0
0.0010697,0.077132,17.221,5.0995,236.87,0
0.00063524,0.11252,16.238,5.2741,236.87,0
0.00030294,0.13521,15.52,5.2329,215.33,0
0.00028847,0.11525,14.263,5.4014,172.27,0
0.00035413,0.14247,15.374,5.4244,150.73,0
0.00051737,0.14882,17.322,5.1381,172.27,0
0.0005182,0.12341,14.787,5.2867,258.4,0
0.00044245,0.11797,14.009,5.0739,236.87,0
0.00041346,0.098911,14.272,5.3307,236.87,0
0.00066756,0.065336,14.562,5.1141,236.87,0
0.00064446,0.088022,12.62,4.9006,236.87,0
0.00037197,0.10889,11.806,5.2641,258.4,0
0.00036535,0.11525,12.799,5.2535,236.87,0
0.00020303,0.19147,22.269,5.6371,409.13,0
0.00016987,0.20599,16.159,5.4313,193.8,0
0.00027651,0.16425,14.042,5.3278,193.8,0
9.7487e-05,0.17604,11.736,5.335,236.87,0
0.00014248,0.1833,12.125,5.4903,236.87,0
0.00050887,0.16425,30.476,5.5848,215.33,0
0.00083794,0.12886,32.088,5.5267,150.73,0
0.00081255,0.10799,30.341,5.4482,193.8,0
0.00064619,0.12432,26.639,5.5018,258.4,0
0.0005172,0.13702,23.986,5.412,387.6,0
0.00040285,0.13339,21.37,5.3726,344.53,0
0.00054472,0.13612,20.183,5.4251,193.8,0
0.0005546,0.13702,28.583,5.3947,258.4,0
0.00052764,0.16334,31.483,5.6461,86.133,0
0.00035793,0.17151,20.832,5.5366,323,0
9.81e-05,0.14882,14.559,5.4797,64.6,0
3.3739e-05,0.15789,11.391,5.4215,43.066,0
8.421e-05,0.17604,10.116,5.2761,172.27,0
8.6258e-05,0.18784,11.761,5.2367,193.8,0
7.8802e-05,0.18603,11.428,5.2756,0,0
0.00015504,0.15426,19.941,5.5021,344.53,0
0.00019073,0.14065,11.97,5.2887,323,0
0.00079638,0.11525,15.454,5.1069,473.73,0
0.0010223,0.07441,16.867,4.9473,150.73,0
0.00056282,0.097096,15.511,5.1318,193.8,0
0.00054813,0.11343,15.342,5.2593,279.93,0
0.00061732,0.11071,14.222,5.2539,279.93,0
0.00054418,0.13702,18.431,5.2004,279.93,0
0.00064215,0.11706,18.902,5.2442,172.27,0
0.00060827,0.096189,15.937,5.2361,129.2,0
0.0005313,0.12341,16.153,5.3168,129.2,0
0.0015169,0.13067,40.643,5.5249,172.27,0
0.0026282,0.13612,63.9,5.6513,1442.7,0
0.002709,0.13249,63.245,5.6323,2863.9,0
0.0022102,0.11797,52.784,5.59,215.33,0
0.0015136,0.12432,45.324,5.5188,215.33,0
0.00091696,0.12341,32.104,5.4844,150.73,0
0.00075627,0.12795,26.081,5.3796,215.33,0
0.0013286,0.15426,31.809,5.6496,236.87,0
0.0019268,0.18421,64.454,5.7457,3919,0
0.0018797,0.20508,57.788,5.6987,2885.4,0
0.0015453,0.17786,48.472,5.6569,129.2,0
0.0022416,0.1225,50.296,5.5856,150.73,0
0.0032147,0.080762,52.214,5.368,150.73,0
0.0031256,0.07804,45.485,5.3267,1119.7,0
0.0025835,0.11797,58.163,5.5954,172.27,0
0.0023188,0.13702,54.9,5.6213,86.133,0
0.0018882,0.15971,53.74,5.6607,129.2,0
0.0013109,0.1824,39.085,5.6457,172.27,0
0.0012967,0.16606,38.665,5.5691,172.27,0
0.0025173,0.12613,48.535,5.4859,0,0
0.0043235,0.10254,62.367,5.4481,904.39,0
0.0064093,0.11162,72.271,5.4513,818.26,0
0.0083151,0.11797,73.742,5.434,2433.3,0
0.009307,0.13975,73.851,5.4326,1894.9,0
0.0095802,0.14247,75.433,5.4505,2304.1,0
0.0093254,0.13339,83.882,5.5452,1916.5,0
0.0095473,0.13249,80.607,5.5087,2325.6,0
0.0098761,0.12613,85.652,5.5655,2433.3,0
0.0091874,0.11343,83.92,5.5468,2174.9,0
0.0079536,0.11162,78.944,5.4948,473.73,0
0.0069238,0.11615,73.833,5.4542,2045.7,0
0.0063841,0.10345,68.124,5.4121,279.93,0
0.0049129,0.079855,60.467,5.4001,301.46,0
0.0031839,0.075318,50.844,5.4686,495.26,0
0.0028384,0.085299,46.467,5.3707,172.27,0
0.0025896,0.08167,42.357,5.3677,452.2,0
0.002669,0.073503,41.351,5.3517,0,0
0.0032164,0.075318,40.966,5.2755,409.13,0
0.0035845,0.096189,60.309,5.4736,387.6,0
0.0071573,0.11434,67.58,5.4284,1894.9,0
0.010819,0.13521,64.494,5.361,2045.7,0
0.013148,0.15336,73.444,5.461,279.93,0
0.01539,0.14519,72.729,5.4599,279.93,0
0.014984,0.20054,67.737,5.4285,215.33,0
0.016342,0.24319,90.667,5.6345,8053.4,0
0.017215,0.17786,52.01,5.472,344.53,0
0.0132,0.1216,76.397,5.4679,129.2,0
0.0097308,0.098004,67.414,5.3528,2045.7,0
0.0080118,0.065336,56.944,5.2355,150.73,0
0.0071162,0.056261,40.418,5.0688,150.73,0
0.0092681,0.040835,36.988,5.3423,43.066,0
0.0096285,0.024501,37.333,5.4344,43.066,0
0.0064565,0.034483,39.643,5.4158,43.066,0
0.0039111,0.041742,42.625,5.5327,0,0
