@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.21726,0.062613,0.058757,3,4,0.21503,0.040835,0.057946,3,4,1
0.2115,0.065336,0.061837,3,4,0.20927,0.043557,0.061026,3,4,1
0.20068,0.073503,0.051233,3,4,0.19845,0.051724,0.050423,3,4,1
0.18541,0.071688,0.060822,4,4,0.18318,0.049909,0.060011,4,4,1
0.18279,0.07078,0.064755,4,4,0.18056,0.049002,0.063944,4,4,1
0.18015,0.07441,0.060411,4,4,0.17793,0.052632,0.059601,4,4,1
0.18306,0.07441,0.057878,4,4,0.18083,0.052632,0.057068,4,4,1
0.18726,0.072595,0.061025,4,4,0.18503,0.050817,0.060214,4,4,1
0.19059,0.075318,0.061064,4,4,0.18837,0.053539,0.060254,4,4,1
0.19811,0.068058,0.060989,3,4,0.19588,0.046279,0.060179,3,4,1
0.20414,0.059891,0.058925,4,4,0.20191,0.038113,0.058115,4,4,1
0.20354,0.059891,0.061403,4,4,0.20131,0.038113,0.060593,4,4,1
0.2016,0.058984,0.056773,3,4,0.19937,0.037205,0.055963,3,4,1
0.20293,0.063521,0.054869,3,4,0.20071,0.041742,0.054059,3,4,1
0.20913,0.061706,0.052834,3,4,0.2069,0.039927,0.052023,3,4,1
0.21498,0.054446,0.053268,3,4,0.21275,0.032668,0.052457,3,4,1
0.21867,0.053539,0.053071,3,4,0.21645,0.03176,0.05226,3,4,1
0.22058,0.058984,0.054887,3,4,0.21835,0.037205,0.054077,3,4,1
0.22253,0.068966,0.046698,3,4,0.22031,0.047187,0.045887,3,4,1
0.21953,0.072595,0.052593,3,4,0.2173,0.050817,0.051782,3,4,1
0.20568,0.07441,0.056149,3,4,0.20345,0.052632,0.055338,3,4,1
0.18649,0.078947,0.063611,3,4,0.18426,0.057169,0.0628,3,4,1
0.17452,0.077132,0.057173,3,4,0.17229,0.055354,0.056362,3,4,1
0.17778,0.083485,0.044388,4,4,0.17555,0.061706,0.043577,4,4,1
0.17969,0.086207,0.051174,3,4,0.17746,0.064428,0.050363,3,4,1
0.17559,0.076225,0.049968,3,4,0.17336,0.054446,0.049158,3,4,1
0.17528,0.073503,0.062787,4,4,0.17306,0.051724,0.061977,4,4,1
0.1767,0.064428,0.054515,3,4,0.17447,0.04265,0.053705,3,4,1
0.1736,0.057169,0.045489,3,4,0.17137,0.03539,0.044678,3,4,1
0.17565,0.057169,0.042064,4,4,0.17342,0.03539,0.041254,4,4,1
0.18215,0.052632,0.035876,3,4,0.17992,0.030853,0.035065,3,4,1
0.18521,0.046279,0.036256,4,4,0.18298,0.024501,0.035446,4,4,1
0.18929,0.052632,0.040238,4,4,0.18706,0.030853,0.039428,4,4,1
0.19494,0.061706,0.034356,1,12,0.19271,0.039927,0.033545,1,12,1
0.19677,0.064428,0.035893,1,12,0.19454,0.04265,0.035083,1,12,1
0.20469,0.056261,0.03578,3,4,0.20246,0.034483,0.03497,3,4,1
0.21633,0.052632,0.042396,3,13,0.2141,0.030853,0.041586,3,13,1
0.23246,0.059891,0.045374,2,13,0.23024,0.038113,0.044564,2,13,1
0.25156,0.061706,0.05759,3,4,0.24933,0.039927,0.056779,3,4,1
0.2638,0.057169,0.061284,3,4,0.26158,0.03539,0.060474,3,4,1
0.27256,0.055354,0.065037,4,4,0.27033,0.033575,0.064226,4,4,1
0.27303,0.062613,0.05337,3,4,0.2708,0.040835,0.05256,3,4,1
