@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0020446,0.14247,0.0010955,0.12341,0
0.0018195,0.14428,0.00087042,0.12523,0
0.0024318,0.1216,0.0014827,0.10254,0
0.0026383,0.14247,0.0016891,0.12341,0
0.0023087,0.18149,0.0013596,0.16243,0
0.0022808,0.17332,0.0013317,0.15426,0
0.0024646,0.16969,0.0015155,0.15064,0
0.0025887,0.17786,0.0016395,0.1588,0
0.0028751,0.17151,0.001926,0.15245,0
0.0028173,0.16788,0.0018682,0.14882,0
0.0079938,0.14791,0.0070447,0.12886,0
0.0090228,0.11071,0.0080737,0.091652,0
0.010502,0.084392,0.0095531,0.065336,0
0.01249,0.10617,0.011541,0.087114,0
0.010648,0.11252,0.0096991,0.093466,0
0.010559,0.089837,0.0096104,0.07078,0
0.0083667,0.14065,0.0074176,0.1216,0
0.012685,0.14428,0.011736,0.12523,0
0.018356,0.084392,0.017406,0.065336,0
0.019005,0.087114,0.018056,0.068058,0
0.01921,0.086207,0.018261,0.067151,0
0.020968,0.066243,0.020019,0.047187,0
0.026805,0.049002,0.025856,0.029946,0
0.033153,0.03902,0.032203,0.019964,0
0.035603,0.039927,0.034654,0.020871,0
0.037353,0.03902,0.036404,0.019964,0
0.037061,0.03539,0.036111,0.016334,0
0.034971,0.036298,0.034022,0.017241,0
0.033733,0.040835,0.032783,0.021779,0
0.032293,0.045372,0.031344,0.026316,0
0.029502,0.063521,0.028553,0.044465,0
0.024522,0.075318,0.023573,0.056261,0
0.020778,0.090744,0.019829,0.071688,0
0.022254,0.089837,0.021305,0.07078,0
0.02304,0.073503,0.022091,0.054446,0
0.024273,0.073503,0.023278,0.054446,0
0.035781,0.075318,0.034787,0.056261,1
0.092993,0.07078,0.091999,0.051724,1
0.20859,0.058076,0.20752,0.03902,1
0.3311,0.03902,0.32999,0.019964,1
0.32596,0.029038,0.32451,0.0099819,1
0.29456,0.028131,0.29312,0.0090744,1
0.38731,0.026316,0.38586,0.0072595,1
0.41005,0.032668,0.40861,0.013612,1
0.34953,0.04265,0.34808,0.023593,1
0.3078,0.053539,0.30635,0.034483,1
0.24992,0.07441,0.24847,0.055354,1
0.171,0.078947,0.16955,0.059891,1
0.14378,0.057169,0.14234,0.038113,1
0.10219,0.062613,0.10052,0.043557,1
0.044478,0.072595,0.042806,0.053539,1
0.022505,0.059891,0.020833,0.040835,1
0.013009,0.060799,0.011338,0.041742,1
0.0058822,0.077132,0.0042105,0.058076,0
0.0049467,0.078947,0.003275,0.059891,0
0.0033209,0.07804,0.0016493,0.058984,0
0.0024029,0.084392,0.00058334,0.065336,0
0.002284,0.091652,0.0004645,0.072595,0
0.002208,0.10799,0.00038844,0.088929,0
0.0018019,0.11343,0,0.094374,0
0.0017909,0.11706,0,0.098004,0
0.0086739,0.10254,0.006883,0.083485,0
0.014094,0.10345,0.012304,0.084392,0
0.017117,0.092559,0.015326,0.073503,0
0.019657,0.053539,0.017866,0.034483,0
0.021267,0.044465,0.019476,0.025408,0
0.021309,0.043557,0.019518,0.024501,0
0.020886,0.044465,0.019095,0.025408,0
0.020465,0.051724,0.018675,0.032668,0
0.019476,0.060799,0.017685,0.041742,0
0.018299,0.051724,0.016508,0.032668,0
0.017784,0.049909,0.015993,0.030853,0
0.01823,0.049909,0.016439,0.030853,0
0.019652,0.049909,0.017861,0.030853,0
0.020561,0.046279,0.018771,0.027223,0
0.021222,0.037205,0.019431,0.018149,0
0.023616,0.045372,0.021825,0.026316,0
0.022415,0.050817,0.020624,0.03176,0
0.018331,0.049909,0.01654,0.030853,0
0.016286,0.056261,0.014495,0.037205,0
0.013143,0.066243,0.011352,0.047187,0
0.01436,0.07078,0.012569,0.051724,0
0.016462,0.096189,0.014672,0.077132,0
0.012267,0.099819,0.010476,0.080762,0
0.0057125,0.085299,0.0039217,0.066243,0
0.011208,0.088929,0.009417,0.069873,0
0.011083,0.1225,0.0092919,0.10345,0
0.0027354,0.14338,0.00094459,0.12432,0
0.0025878,0.14701,0.00079689,0.12795,0
0.0025369,0.14065,0.00074603,0.1216,0
0.0028625,0.1098,0.0010716,0.090744,0
0.0073439,0.098911,0.0055531,0.079855,0
0.0074033,0.08167,0.0056125,0.062613,0
0.0067828,0.080762,0.004992,0.061706,0
0.0064593,0.10889,0.0046685,0.089837,0
