@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.17969,0.086207,1783.1,4.8473,452.2,0.17746,0.064428,1722.1,0.81481,366.06,1
0.17559,0.076225,1719.3,4.7878,452.2,0.17336,0.054446,1658.3,0.75533,366.06,1
0.17528,0.073503,1673.5,4.8955,452.2,0.17306,0.051724,1612.5,0.863,366.06,1
0.1767,0.064428,1645.3,4.8012,452.2,0.17447,0.04265,1584.3,0.76876,366.06,1
0.1736,0.057169,1626.9,4.6562,452.2,0.17137,0.03539,1565.9,0.62376,366.06,1
0.17565,0.057169,1619.8,4.6164,452.2,0.17342,0.03539,1558.8,0.5839,366.06,1
0.18215,0.052632,1680.6,4.4394,452.2,0.17992,0.030853,1619.6,0.40695,366.06,1
0.18521,0.046279,1727.9,4.5717,452.2,0.18298,0.024501,1666.9,0.53926,366.06,1
0.18929,0.052632,1752.2,4.5351,452.2,0.18706,0.030853,1691.2,0.50266,366.06,1
0.19494,0.061706,1730.1,4.4214,452.2,0.19271,0.039927,1669.1,0.3889,366.06,1
0.19677,0.064428,1816.8,4.4611,452.2,0.19454,0.04265,1755.8,0.42861,366.06,1
0.20469,0.056261,1816.9,4.356,452.2,0.20246,0.034483,1755.9,0.32348,366.06,1
0.21633,0.052632,1938.2,4.4909,452.2,0.2141,0.030853,1877.2,0.45837,366.06,1
0.23246,0.059891,2142.6,4.4426,473.73,0.23024,0.038113,2081.7,0.41007,387.6,1
0.25156,0.061706,2286.1,4.604,473.73,0.24933,0.039927,2225.1,0.57148,387.6,1
0.2638,0.057169,2478.1,4.6434,473.73,0.26158,0.03539,2417.1,0.6109,387.6,1
0.27256,0.055354,2487.1,4.8158,473.73,0.27033,0.033575,2426.2,0.7833,387.6,1
0.27303,0.062613,2441.3,4.3709,473.73,0.2708,0.040835,2380.3,0.33838,387.6,1
0.27065,0.064428,2402.4,4.3996,473.73,0.26842,0.04265,2341.4,0.36709,387.6,1
0.27041,0.064428,2367.9,4.4776,473.73,0.26818,0.04265,2306.9,0.44514,387.6,1
0.28026,0.055354,2477.3,4.4808,495.26,0.27803,0.033575,2416.3,0.44835,409.13,1
0.2976,0.04265,2588.8,4.5194,495.26,0.29537,0.020871,2527.9,0.48697,409.13,1
0.30672,0.032668,2722.9,4.4765,495.26,0.30449,0.010889,2661.9,0.44404,409.13,1
0.31004,0.023593,2771.9,4.5728,495.26,0.30781,0.0018149,2710.9,0.54029,409.13,1
0.30616,0.021779,2707,4.5364,495.26,0.30393,0,2646.1,0.50389,409.13,1
0.29965,0.020871,2696.9,4.6476,495.26,0.29742,0,2636,0.61517,409.13,1
0.29442,0.022686,2701.5,4.6062,495.26,0.29219,0.0018149,2640.6,0.57368,409.13,1
0.29787,0.028131,2814.4,4.6031,495.26,0.29564,0.0072595,2753.4,0.57066,409.13,1
0.30256,0.028131,2756.3,4.6161,495.26,0.30033,0.0072595,2695.3,0.58359,409.13,1
0.29563,0.027223,2718.1,4.6596,495.26,0.2934,0.0063521,2657.2,0.62715,409.13,1
0.28677,0.033575,2643,4.6792,473.73,0.28454,0.012704,2582,0.64673,387.6,1
0.27378,0.04265,2474.4,4.5218,473.73,0.27155,0.021779,2413.4,0.4893,387.6,1
0.2671,0.046279,2419.8,4.4929,473.73,0.26487,0.025408,2358.9,0.46038,387.6,1
0.26601,0.043557,2411.9,4.6505,473.73,0.26378,0.022686,2350.9,0.61799,387.6,1
0.2554,0.041742,2471,4.7288,473.73,0.25317,0.020871,2410.1,0.69632,387.6,1
0.24925,0.04265,2496.7,4.724,473.73,0.24702,0.021779,2435.7,0.69152,387.6,1
0.24025,0.034483,2250.7,4.4028,473.73,0.23802,0.013612,2189.7,0.37035,387.6,1
0.23536,0.033575,2248.8,4.5456,452.2,0.23313,0.012704,2187.8,0.51315,366.06,1
