@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2232.4,4.8234,495.26,1.4565,9,2171.4,0.79088,409.13,1.2455,1,1
2219.8,4.7288,495.26,1.4704,9,2158.9,0.69633,409.13,1.2595,1,1
2220,4.823,495.26,1.4472,9,2159,0.79049,409.13,1.2362,1,1
2225.3,4.8175,495.26,1.4695,9,2164.4,0.78506,409.13,1.2586,1,1
2254.4,4.7508,495.26,1.4799,9,2193.4,0.71837,409.13,1.269,1,1
2325.1,4.8884,495.26,1.485,10,2264.1,0.85596,409.13,1.2741,2,1
2288.1,4.7729,495.26,1.4597,9,2227.2,0.74043,409.13,1.2487,1,1
2216,4.7608,473.73,1.445,9,2155,0.72829,387.6,1.234,1,1
2218.1,4.8445,495.26,1.459,9,2157.1,0.81202,409.13,1.2481,1,1
2191.7,4.7383,495.26,1.46,9,2130.7,0.70582,409.13,1.2491,1,1
2187.2,4.9205,473.73,1.4294,9,2126.3,0.88799,387.6,1.2185,1,1
2145,4.7735,473.73,1.4332,10,2084,0.74099,387.6,1.2223,2,1
2181.8,4.9372,473.73,1.4068,9,2120.8,0.90471,387.6,1.1958,1,1
2170.4,5.0256,473.73,1.3352,8,2109.5,0.9931,387.6,1.1243,0,1
2048,4.7596,452.2,1.3396,8,1987,0.7271,366.06,1.1286,0,1
1983.2,4.8607,452.2,1.3584,9,1922.2,0.82819,366.06,1.1475,1,1
1894.4,4.8788,452.2,1.3221,28,1833.4,0.84636,366.06,1.1112,20,1
1715.5,5.0053,452.2,1.2465,27,1654.5,0.97285,366.06,1.0356,19,1
1690.2,4.9395,452.2,1.2474,55,1629.2,0.90699,366.06,1.0365,47,1
1726.8,4.9403,452.2,1.251,61,1665.8,0.90786,366.06,1.0401,53,1
1716.9,4.9395,452.2,1.2556,58,1655.9,0.90698,366.06,1.0446,50,1
1737.2,4.934,452.2,1.2764,40,1676.2,0.90147,366.06,1.0655,32,1
1783.1,4.9357,452.2,1.2541,12,1722.1,0.90319,366.06,1.0432,4,1
1850.8,4.8897,452.2,1.3014,11,1789.8,0.85717,366.06,1.0904,3,1
1932.4,4.8398,452.2,1.3078,20,1871.4,0.80729,366.06,1.0969,12,1
1919.1,4.8897,452.2,1.2704,14,1858.2,0.85724,366.06,1.0595,6,1
1920.6,4.8701,452.2,1.2474,14,1859.6,0.83766,366.06,1.0365,6,1
1941.8,4.9068,473.73,1.2791,14,1880.8,0.87429,387.6,1.0682,6,1
1957.1,4.8105,473.73,1.3653,9,1896.1,0.77802,387.6,1.1544,1,1
1988,4.8613,473.73,1.4099,8,1927,0.82879,387.6,1.199,0,1
2061.3,4.8469,473.73,1.398,8,2000.3,0.81442,387.6,1.1871,0,1
2067.1,4.8676,473.73,1.3841,12,2006.1,0.83508,387.6,1.1731,4,1
2110.9,4.7848,473.73,1.3795,21,2049.9,0.75236,387.6,1.1685,13,1
2082.8,4.8124,473.73,1.3723,40,2021.8,0.77995,387.6,1.1614,32,1
2046.4,4.9187,452.2,1.2597,32,1985.4,0.88621,366.06,1.0488,24,1
1811,4.9707,452.2,1.1274,27,1750,0.93819,366.06,0.91652,19,1
1632.9,4.9707,452.2,1.1288,23,1571.9,0.93823,366.06,0.91783,15,1
1669.9,4.879,452.2,1.174,23,1608.9,0.84648,366.06,0.96308,15,1
1783.1,4.8473,452.2,1.2057,23,1722.1,0.81481,366.06,0.99478,15,1
1719.3,4.7878,452.2,1.1936,23,1658.3,0.75533,366.06,0.98264,15,1
1673.5,4.8955,452.2,1.1992,23,1612.5,0.863,366.06,0.98832,15,1
1645.3,4.8012,452.2,1.2226,22,1584.3,0.76876,366.06,1.0117,14,1
1626.9,4.6562,452.2,1.2179,23,1565.9,0.62376,366.06,1.007,15,1
1619.8,4.6164,452.2,1.2204,23,1558.8,0.5839,366.06,1.0095,15,1
1680.6,4.4394,452.2,1.2249,25,1619.6,0.40695,366.06,1.014,17,1
1727.9,4.5717,452.2,1.2317,24,1666.9,0.53926,366.06,1.0208,16,1
1752.2,4.5351,452.2,1.2423,40,1691.2,0.50266,366.06,1.0314,32,1
1730.1,4.4214,452.2,1.3344,40,1669.1,0.3889,366.06,1.1235,32,1
1816.8,4.4611,452.2,1.3737,40,1755.8,0.42861,366.06,1.1628,32,1
1816.9,4.356,452.2,1.3644,40,1755.9,0.32348,366.06,1.1535,32,1
1938.2,4.4909,452.2,1.3821,40,1877.2,0.45837,366.06,1.1712,32,1
2142.6,4.4426,473.73,1.4002,40,2081.7,0.41007,387.6,1.1893,32,1
2286.1,4.604,473.73,1.3279,27,2225.1,0.57148,387.6,1.1169,19,1
2478.1,4.6434,473.73,1.4731,13,2417.1,0.6109,387.6,1.2622,5,1
2487.1,4.8158,473.73,1.4884,9,2426.2,0.7833,387.6,1.2775,1,1
2441.3,4.3709,473.73,1.52,37,2380.3,0.33838,387.6,1.3091,29,1
2402.4,4.3996,473.73,1.4995,13,2341.4,0.36709,387.6,1.2885,5,1
2367.9,4.4776,473.73,1.5053,9,2306.9,0.44514,387.6,1.2944,1,1
2477.3,4.4808,495.26,1.5242,9,2416.3,0.44835,409.13,1.3133,1,1
2588.8,4.5194,495.26,1.5052,9,2527.9,0.48697,409.13,1.2943,1,1
2722.9,4.4765,495.26,1.48,9,2661.9,0.44404,409.13,1.2691,1,1
2771.9,4.5728,495.26,1.4818,9,2710.9,0.54029,409.13,1.2709,1,1
2707,4.5364,495.26,1.4773,9,2646.1,0.50389,409.13,1.2664,1,1
2696.9,4.6476,495.26,1.4555,9,2636,0.61517,409.13,1.2446,1,1
2701.5,4.6062,495.26,1.4396,9,2640.6,0.57368,409.13,1.2287,1,1
2814.4,4.6031,495.26,1.4444,9,2753.4,0.57066,409.13,1.2335,1,1
2756.3,4.6161,495.26,1.4313,9,2695.3,0.58359,409.13,1.2203,1,1
2718.1,4.6596,495.26,1.3822,9,2657.2,0.62715,409.13,1.1713,1,1
2643,4.6792,473.73,1.3656,9,2582,0.64673,387.6,1.1546,1,1
2474.4,4.5218,473.73,1.3701,9,2413.4,0.4893,387.6,1.1592,1,1
2419.8,4.4929,473.73,1.3583,9,2358.9,0.46038,387.6,1.1474,1,1
2411.9,4.6505,473.73,1.3036,9,2350.9,0.61799,387.6,1.0927,1,1
2471,4.7288,473.73,1.2256,14,2410.1,0.69632,387.6,1.0147,6,1
2496.7,4.724,473.73,1.1749,18,2435.7,0.69152,387.6,0.96396,10,1
2250.7,4.4028,473.73,1.1618,24,2189.7,0.37035,387.6,0.95091,16,1
2248.8,4.5456,452.2,1.189,24,2187.8,0.51315,366.06,0.97803,16,1
2103.5,4.6198,452.2,1.2304,20,2042.5,0.58729,366.06,1.0194,12,1
1944.6,4.5692,452.2,1.2461,23,1883.6,0.53672,366.06,1.0351,15,1
1972.8,4.4798,430.66,1.283,15,1911.8,0.44729,344.53,1.072,7,1
1764.4,4.7398,430.66,1.2351,15,1703.5,0.70732,344.53,1.0242,7,1
1816.1,4.5948,796.73,1.3359,14,1755.1,0.56233,710.6,1.125,6,1
1943.1,4.5786,753.66,1.4526,13,1882.1,0.54613,667.53,1.2416,5,1
2063.1,4.4476,732.13,1.5509,13,2002.1,0.41515,646,1.34,5,1
1859.2,4.505,710.6,1.4876,12,1798.2,0.47251,624.46,1.2767,4,1
1112.8,4.6473,689.06,1.4817,12,1051.8,0.61487,602.93,1.2708,4,1
975.93,4.7434,689.06,1.4242,12,914.95,0.71092,602.93,1.2133,4,1
960.81,4.7413,732.13,1.3886,13,899.83,0.70878,646,1.1776,5,1
596.76,4.8613,387.6,1.0132,14,535.78,0.82884,301.46,0.80223,6,1
780.08,4.9004,732.13,0.59559,20,719.1,0.8679,646,0.38467,12,1
984.94,4.8125,732.13,0.5921,15,923.96,0.78,646,0.38117,7,1
930.93,4.7151,689.06,0.59791,11,869.95,0.68259,602.93,0.38698,3,1
535.55,4.765,430.66,0.61449,10,474.57,0.73257,344.53,0.40356,2,1
1117.4,4.5012,710.6,0.81837,13,1056.4,0.46869,624.46,0.60745,5,1
952.87,4.4973,710.6,1.0027,12,891.89,0.4648,624.46,0.79177,4,1
690.69,4.5604,452.2,0.35712,13,629.71,0.52787,366.06,0.1462,5,1
898.71,4.3975,538.33,0.95085,9,837.73,0.36505,452.2,0.73992,1,1
704.56,4.252,495.26,1.218,9,643.58,0.21951,409.13,1.007,1,1
587.19,4.1154,495.26,1.4936,9,526.21,0.082886,409.13,1.2826,1,1
257.66,3.9825,495.26,1.3891,9,196.68,0,409.13,1.1782,1,1
62.069,5.1885,473.73,0.58633,8,1.0878,1.2061,387.6,0.37541,0,1
45.756,5.0197,409.13,1.0576,8,0,1.0372,323,0.84672,0,1
56.417,5.0667,430.66,1.1429,8,10.661,1.0843,344.53,0.93196,0,1
81.494,5.5236,430.66,1.0741,8,35.738,1.5411,344.53,0.86314,0,1
101.1,5.7299,452.2,1.0001,9,55.341,1.7474,366.06,0.78915,1,1
82.486,5.4281,452.2,1.3149,8,36.73,1.4456,366.06,1.1039,0,1
64.052,5.161,473.73,1.4792,8,18.296,1.1785,387.6,1.2683,0,0
59.678,5.1461,473.73,1.4215,9,13.922,1.1637,387.6,1.2106,1,0
67.915,5.4618,473.73,1.371,9,22.159,1.4794,387.6,1.1601,1,0
95.105,6.1596,473.73,0.87597,26,49.349,2.1771,387.6,0.66505,18,0
89.927,6.1937,2239.5,0.35071,49,44.171,2.2112,2153.3,0.13979,41,0
76.692,6.1607,473.73,0.39233,51,30.936,2.1783,387.6,0.18141,43,0
72.676,6.0324,473.73,0.39111,49,26.92,2.0499,387.6,0.18019,41,0
69.087,6.1236,2002.6,0.33186,47,23.331,2.1411,1916.5,0.12094,39,0
64.349,6.2717,2304.1,0.39248,52,18.593,2.2892,2217.9,0.18155,44,0
70.347,6.267,2304.1,0.4028,50,24.591,2.2845,2217.9,0.19188,42,0
64.989,6.2513,2325.6,0.3431,56,19.233,2.2688,2239.5,0.13218,48,0
63.447,6.3005,215.33,0.31297,52,17.691,2.318,129.2,0.10205,44,0
