@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
1719.3,4.7878,452.2,1658.3,0.75533,366.06,1
1673.5,4.8955,452.2,1612.5,0.863,366.06,1
1645.3,4.8012,452.2,1584.3,0.76876,366.06,1
1626.9,4.6562,452.2,1565.9,0.62376,366.06,1
1619.8,4.6164,452.2,1558.8,0.5839,366.06,1
1680.6,4.4394,452.2,1619.6,0.40695,366.06,1
1727.9,4.5717,452.2,1666.9,0.53926,366.06,1
1752.2,4.5351,452.2,1691.2,0.50266,366.06,1
1730.1,4.4214,452.2,1669.1,0.3889,366.06,1
1816.8,4.4611,452.2,1755.8,0.42861,366.06,1
1816.9,4.356,452.2,1755.9,0.32348,366.06,1
1938.2,4.4909,452.2,1877.2,0.45837,366.06,1
2142.6,4.4426,473.73,2081.7,0.41007,387.6,1
2286.1,4.604,473.73,2225.1,0.57148,387.6,1
2478.1,4.6434,473.73,2417.1,0.6109,387.6,1
2487.1,4.8158,473.73,2426.2,0.7833,387.6,1
2441.3,4.3709,473.73,2380.3,0.33838,387.6,1
2402.4,4.3996,473.73,2341.4,0.36709,387.6,1
2367.9,4.4776,473.73,2306.9,0.44514,387.6,1
2477.3,4.4808,495.26,2416.3,0.44835,409.13,1
2588.8,4.5194,495.26,2527.9,0.48697,409.13,1
2722.9,4.4765,495.26,2661.9,0.44404,409.13,1
2771.9,4.5728,495.26,2710.9,0.54029,409.13,1
2707,4.5364,495.26,2646.1,0.50389,409.13,1
2696.9,4.6476,495.26,2636,0.61517,409.13,1
2701.5,4.6062,495.26,2640.6,0.57368,409.13,1
2814.4,4.6031,495.26,2753.4,0.57066,409.13,1
2756.3,4.6161,495.26,2695.3,0.58359,409.13,1
2718.1,4.6596,495.26,2657.2,0.62715,409.13,1
2643,4.6792,473.73,2582,0.64673,387.6,1
2474.4,4.5218,473.73,2413.4,0.4893,387.6,1
2419.8,4.4929,473.73,2358.9,0.46038,387.6,1
2411.9,4.6505,473.73,2350.9,0.61799,387.6,1
2471,4.7288,473.73,2410.1,0.69632,387.6,1
2496.7,4.724,473.73,2435.7,0.69152,387.6,1
2250.7,4.4028,473.73,2189.7,0.37035,387.6,1
2248.8,4.5456,452.2,2187.8,0.51315,366.06,1
2103.5,4.6198,452.2,2042.5,0.58729,366.06,1
1944.6,4.5692,452.2,1883.6,0.53672,366.06,1
1972.8,4.4798,430.66,1911.8,0.44729,344.53,1
1764.4,4.7398,430.66,1703.5,0.70732,344.53,1
1816.1,4.5948,796.73,1755.1,0.56233,710.6,1
1943.1,4.5786,753.66,1882.1,0.54613,667.53,1
2063.1,4.4476,732.13,2002.1,0.41515,646,1
1859.2,4.505,710.6,1798.2,0.47251,624.46,1
1112.8,4.6473,689.06,1051.8,0.61487,602.93,1
975.93,4.7434,689.06,914.95,0.71092,602.93,1
960.81,4.7413,732.13,899.83,0.70878,646,1
596.76,4.8613,387.6,535.78,0.82884,301.46,1
780.08,4.9004,732.13,719.1,0.8679,646,1
984.94,4.8125,732.13,923.96,0.78,646,1
930.93,4.7151,689.06,869.95,0.68259,602.93,1
535.55,4.765,430.66,474.57,0.73257,344.53,1
1117.4,4.5012,710.6,1056.4,0.46869,624.46,1
952.87,4.4973,710.6,891.89,0.4648,624.46,1
690.69,4.5604,452.2,629.71,0.52787,366.06,1
898.71,4.3975,538.33,837.73,0.36505,452.2,1
704.56,4.252,495.26,643.58,0.21951,409.13,1
587.19,4.1154,495.26,526.21,0.082886,409.13,1
257.66,3.9825,495.26,196.68,0,409.13,1
62.069,5.1885,473.73,1.0878,1.2061,387.6,1
45.756,5.0197,409.13,0,1.0372,323,1
56.417,5.0667,430.66,10.661,1.0843,344.53,1
81.494,5.5236,430.66,35.738,1.5411,344.53,1
101.1,5.7299,452.2,55.341,1.7474,366.06,1
82.486,5.4281,452.2,36.73,1.4456,366.06,1
64.052,5.161,473.73,18.296,1.1785,387.6,0
59.678,5.1461,473.73,13.922,1.1637,387.6,0
67.915,5.4618,473.73,22.159,1.4794,387.6,0
95.105,6.1596,473.73,49.349,2.1771,387.6,0
89.927,6.1937,2239.5,44.171,2.2112,2153.3,0
76.692,6.1607,473.73,30.936,2.1783,387.6,0
72.676,6.0324,473.73,26.92,2.0499,387.6,0
69.087,6.1236,2002.6,23.331,2.1411,1916.5,0
64.349,6.2717,2304.1,18.593,2.2892,2217.9,0
70.347,6.267,2304.1,24.591,2.2845,2217.9,0
64.989,6.2513,2325.6,19.233,2.2688,2239.5,0
63.447,6.3005,215.33,17.691,2.318,129.2,0
64.883,6.3054,2174.9,19.127,2.3229,2088.7,0
66.078,6.2506,1981.1,20.322,2.2682,1894.9,0
63.832,6.2242,559.86,18.076,2.2417,473.73,0
59.853,6.215,150.73,14.097,2.2325,64.6,0
62.535,6.2013,193.8,16.779,2.2188,107.67,0
65.693,6.359,559.86,19.937,2.3765,473.73,0
59.427,6.4181,538.33,13.671,2.4357,452.2,0
67.484,6.4611,473.73,21.728,2.4786,387.6,0
66.847,6.4797,301.46,21.091,2.4972,215.33,0
60.578,6.4905,279.93,14.822,2.508,193.8,0
56.061,6.4429,150.73,10.305,2.4605,64.6,0
51.951,6.4003,366.06,6.1951,2.4178,279.93,0
58.073,6.3627,323,12.317,2.3802,236.87,0
61.164,6.4602,495.26,15.408,2.4777,409.13,0
59.998,6.536,430.66,14.242,2.5535,344.53,0
48.939,6.4799,409.13,3.1828,2.4974,323,0
50.599,6.3203,301.46,4.8425,2.3378,215.33,0
52.077,6.324,301.46,6.3213,2.3415,215.33,0
50.05,6.3726,301.46,4.2944,2.3902,215.33,0
46.23,6.3911,21.533,0.47417,2.4086,0,0
48.415,6.3833,387.6,2.6585,2.4008,366.06,0
52.826,6.4087,215.33,7.0695,2.4263,193.8,0
57.945,6.4079,150.73,12.189,2.4254,129.2,0
52.721,6.4585,21.533,6.9651,2.476,0,0
52.686,6.3598,21.533,6.93,2.3774,0,0
50.732,6.387,236.87,4.9761,2.4046,215.33,0
53.659,6.3899,215.33,7.903,2.4074,193.8,0
54.795,6.4275,258.4,9.0388,2.445,236.87,0
58.065,6.3835,215.33,12.309,2.4011,193.8,0
67.6,6.4192,21.533,21.844,2.4367,0,0
95.883,6.6027,2368.7,50.127,2.6202,2347.1,0
78.187,6.5508,2368.7,32.431,2.5683,2347.1,0
78.107,6.5277,775.2,32.351,2.5452,753.66,0
101.39,6.6886,430.66,55.638,2.7061,409.13,0
88.389,6.5029,1485.8,42.633,2.5204,1464.3,0
86.395,6.5092,1485.8,40.639,2.5268,1464.3,0
89.638,6.425,2411.7,43.882,2.4425,2390.2,0
108.56,6.537,1507.3,62.802,2.5545,1485.8,0
98.366,6.3885,2304.1,52.61,2.406,2282.5,0
81.524,6.3383,2045.7,35.768,2.3558,2024.1,0
73.988,6.0799,258.4,28.232,2.0975,236.87,0
70.77,5.6809,150.73,25.014,1.6984,129.2,0
59.594,5.8228,452.2,13.838,1.8403,430.66,0
73.048,6.1473,215.33,27.292,2.1649,193.8,0
53.156,5.8921,236.87,7.4002,1.9097,215.33,0
50.618,6.2318,193.8,4.8618,2.2494,172.27,0
62.722,6.4369,150.73,16.966,2.4544,129.2,0
61.062,6.6096,236.87,15.306,2.6271,215.33,0
50.967,6.192,258.4,5.2107,2.2096,236.87,0
48.825,6.252,215.33,3.0685,2.2696,193.8,0
48.909,6.255,409.13,3.1528,2.2726,387.6,0
50.792,6.0564,516.8,5.0363,2.0739,495.26,0
47.516,6.0376,516.8,1.7596,2.0552,495.26,0
52.596,6.1797,516.8,6.8396,2.1973,495.26,0
54.019,6.111,236.87,8.2634,2.1285,215.33,0
58.251,6.3251,279.93,12.495,2.3426,258.4,0
50.563,6.2123,279.93,4.8073,2.2298,258.4,0
49.226,6.3545,279.93,3.4697,2.3721,258.4,0
50.836,6.2908,279.93,5.0803,2.3084,258.4,0
60.67,6.4311,236.87,14.914,2.4486,215.33,0
56.971,6.3181,279.93,11.215,2.3357,258.4,0
51.21,6.1419,301.46,5.4535,2.1595,279.93,0
51.136,6.1051,258.4,5.3803,2.1226,236.87,0
50.63,6.1488,258.4,4.8742,2.1663,236.87,0
49.977,6.2096,236.87,4.2215,2.2271,215.33,0
47.715,6.3759,193.8,1.9594,2.3935,172.27,0
48.665,6.3506,172.27,2.9092,2.3681,150.73,0
53.04,6.1242,193.8,7.2835,2.1417,172.27,0
48.328,6.3139,279.93,2.5721,2.3314,258.4,0
46.502,6.1192,258.4,0.74571,2.1367,236.87,0
47.095,6.2686,258.4,1.3392,2.2862,236.87,0
46.456,6.0928,258.4,0.70039,2.1104,236.87,0
44.606,5.9877,258.4,0,2.0052,236.87,0
44.219,6.2172,279.93,0,2.2347,258.4,0
45.031,6.2524,258.4,0.81234,2.27,236.87,0
58.889,6.5127,430.66,14.67,2.5302,409.13,0
51.24,6.3855,215.33,7.0217,2.403,193.8,0
47.421,6.3438,215.33,3.2019,2.3614,193.8,0
45.064,6.3409,258.4,0.8458,2.3584,236.87,0
44.122,6.4535,258.4,0,2.471,236.87,0
66.954,6.3881,236.87,22.832,2.4057,215.33,0
68.053,6.2664,172.27,23.931,2.284,150.73,0
66.432,6.2347,215.33,22.31,2.2522,193.8,0
60.961,6.3269,279.93,16.839,2.3445,258.4,0
58.365,6.256,409.13,14.243,2.2735,387.6,0
54.221,6.2116,366.06,10.098,2.2291,344.53,0
52.287,6.2716,215.33,8.1649,2.2892,193.8,0
66.222,6.2644,279.93,22.1,2.2819,258.4,0
75.165,6.5161,107.67,31.043,2.5337,86.133,0
57.541,6.4631,344.53,13.419,2.4806,323,0
49.787,6.4287,86.133,5.6651,2.4462,64.6,0
44.531,6.3783,64.6,0.4092,2.3958,43.066,0
42.539,6.3515,193.8,0,2.369,172.27,0
44.794,6.2907,215.33,2.2556,2.3082,193.8,0
44.423,6.2758,21.533,1.8845,2.2933,0,0
54.661,6.4488,366.06,12.122,2.4663,344.53,0
45.135,6.3104,344.53,2.5965,2.3279,323,0
48.263,6.1143,495.26,5.7244,2.1318,473.73,0
49.669,5.8318,172.27,7.1303,1.8493,150.73,0
48.22,6.121,215.33,5.681,2.1385,193.8,0
50.061,6.1994,301.46,7.522,2.2169,279.93,0
48.605,6.2455,301.46,6.0657,2.263,279.93,0
53.488,6.1933,301.46,10.949,2.2108,279.93,0
53.385,6.1728,193.8,10.846,2.1903,172.27,0
50.351,6.0595,150.73,7.8123,2.077,129.2,0
50.687,6.2871,150.73,8.1482,2.3046,129.2,0
75.64,6.1712,193.8,33.101,2.1887,172.27,0
113.75,6.3046,1464.3,71.208,2.3221,1442.7,0
108.56,6.2302,2885.4,66.022,2.2478,2863.9,0
91.492,6.1823,236.87,48.953,2.1998,215.33,0
82.123,6.1227,236.87,39.585,2.1402,215.33,0
67.716,6.2139,172.27,25.177,2.2314,150.73,0
60.471,6.2079,236.87,17.932,2.2254,215.33,0
72.394,6.4569,258.4,29.855,2.4744,236.87,0
130.82,6.5247,3940.6,88.277,2.5422,3919,0
118.63,6.4945,2907,76.091,2.512,2885.4,0
96.804,6.3857,150.73,54.265,2.4032,129.2,0
92.492,6.2328,172.27,49.953,2.2503,150.73,0
91.269,5.9021,172.27,48.73,1.9197,150.73,0
85.978,5.9702,1141.3,43.439,1.9878,1119.7,0
107.37,6.2587,193.8,64.833,2.2763,172.27,0
101.6,6.2467,107.67,59.056,2.2642,86.133,0
114.41,6.4888,150.73,71.871,2.5063,129.2,0
89.833,6.5155,193.8,47.294,2.5331,172.27,0
87.958,6.4166,193.8,45.42,2.4342,172.27,0
95,6.183,21.533,52.461,2.2005,0,0
116.65,6.1028,925.93,74.106,2.1204,904.39,0
136.68,6.0847,839.79,94.141,2.1022,818.26,0
151.19,6.1091,2454.8,108.65,2.1267,2433.3,0
154.27,6.0874,1916.5,111.73,2.1049,1894.9,0
159.76,6.1441,2325.6,117.22,2.1617,2304.1,0
172.76,6.2194,1938,130.22,2.237,1916.5,0
168.25,6.1771,2347.1,125.72,2.1946,2325.6,0
164.64,6.1354,2454.8,122.1,2.1529,2433.3,0
160.83,6.1557,2196.4,118.29,2.1733,2174.9,0
149.77,6.0914,495.26,107.23,2.1089,473.73,0
136.65,6.0446,2067.2,94.113,2.0621,2045.7,0
124.47,6.0023,301.46,81.936,2.0198,279.93,0
111.18,6.0331,323,68.641,2.0506,301.46,0
98.386,6.1398,516.8,55.847,2.1573,495.26,0
93.425,6.0472,193.8,50.886,2.0647,172.27,0
88.625,6.1191,473.73,46.086,2.1366,452.2,0
84.907,6.0526,21.533,42.368,2.0701,0,0
84.682,6.0509,430.66,42.143,2.0684,409.13,0
112.02,6.1401,409.13,69.485,2.1576,387.6,0
118.22,5.9701,1916.5,75.677,1.9876,1894.9,0
137.67,5.9257,2067.2,95.132,1.9432,2045.7,0
163.57,6.0991,301.46,121.03,2.1166,279.93,0
162,6.0877,301.46,119.46,2.1052,279.93,0
162.36,6.093,236.87,119.82,2.1105,215.33,0
172.12,6.1632,8075,129.58,2.1807,8053.4,0
130.49,5.9697,366.06,87.953,1.9872,344.53,0
128.7,5.8578,150.73,86.166,1.8754,129.2,0
115.09,5.7758,2067.2,72.549,1.7933,2045.7,0
100.12,5.6891,172.27,57.583,1.7066,150.73,0
75.03,5.4302,172.27,32.491,1.4477,150.73,0
55.425,5.028,64.6,12.886,1.0455,43.066,0
60.175,5.1556,64.6,17.637,1.1732,43.066,0
79.228,5.8696,64.6,36.689,1.8871,43.066,0
84.195,5.9279,21.533,41.656,1.9454,0,0
101.97,4.7678,667.53,59.428,0.78537,646,1
794.07,4.79,710.6,751.53,0.80748,689.06,1
611.46,4.7636,775.2,568.92,0.7811,753.66,1
598.25,5.1386,559.86,555.71,1.1562,538.33,1
1151,4.7136,646,1108.5,0.73108,624.46,1
1484.1,4.5228,710.6,1441.6,0.54033,689.06,1
1005.1,4.7176,409.13,962.53,0.7351,387.6,1
1072.5,4.6119,430.66,1030,0.62938,409.13,1
1069.7,4.4974,452.2,1027.2,0.51493,430.66,1
1273.4,4.2443,452.2,1230.9,0.26185,430.66,1
1247.1,4.2116,452.2,1204.6,0.22912,430.66,1
1251.7,4.0922,452.2,1209.2,0.10976,430.66,1
1123.6,4.304,452.2,1081.1,0.32155,430.66,1
966.74,4.3199,452.2,924.21,0.33741,430.66,1
868.25,4.4645,430.66,825.71,0.48208,409.13,1
739.48,4.5474,430.66,696.95,0.56498,409.13,1
710.99,4.5625,409.13,668.45,0.58007,387.6,1
718.36,4.577,409.13,675.82,0.59454,387.6,1
674.52,4.6541,753.66,631.98,0.67159,732.13,1
614.93,4.5834,732.13,572.39,0.60092,710.6,1
759.96,4.5529,689.06,717.42,0.57046,667.53,1
761.55,4.4494,667.53,719.01,0.46694,646,1
925.08,4.2663,646,882.54,0.28381,624.46,1
848.54,4.5298,624.46,806,0.54734,602.93,1
693.54,4.7744,581.4,651,0.79196,559.86,1
498.85,4.9352,538.33,456.31,0.95273,516.8,1
415.93,4.9382,495.26,373.39,0.95571,473.73,1
320.11,4.9747,473.73,277.57,0.99222,452.2,1
307.24,4.8606,473.73,264.7,0.87813,452.2,1
312.52,4.7752,473.73,269.98,0.79269,452.2,1
299.57,4.8885,473.73,257.03,0.90605,452.2,1
636.28,5.1587,473.73,593.74,1.1762,452.2,1
