@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.025947,0.046279,-20.129,-5.4133,301.46,0.0045892,0,0,0.29416,19,0
0.026624,0.049909,-51.918,-5.5397,258.4,0.0018211,0,0,0.31692,25,0
0.0275,0.045372,-40.5,-5.4734,387.6,0.0048789,0,0,0.31743,29,0
0.028416,0.047187,-1.6389,-5.3789,150.73,0.006002,0,0,0.52536,22,0
0.025329,0.057169,-46.959,-5.5092,279.93,0.0047016,0,0,0.38283,29,0
0.024801,0.061706,-75.383,-5.6071,495.26,0.0042172,0,0,0.2943,37,0
0.032326,0.050817,18.768,-5.4726,150.73,0.015203,1,12,0.47495,25,0
0.033961,0.043557,11.081,-5.4097,150.73,0.0055432,0,0,0.46263,22,0
0.033056,0.04265,32.667,-5.3872,172.27,0.0074417,0,0,0.51553,22,0
0.031049,0.055354,6.4531,-5.4119,409.13,0.0048458,0,0,0.54855,17,0
0.032435,0.054446,8.9179,-5.4334,387.6,0.0050197,0,0,0.52892,17,0
0.034098,0.043557,-6.3679,-5.3849,409.13,0.0034342,0,0,0.40987,13,0
0.029225,0.054446,-28.502,-5.4539,581.4,0.0026225,0,0,0.41745,18,0
0.027638,0.057169,-40.129,-5.6118,387.6,0.01195,2,12,0.32427,26,0
0.030465,0.050817,-39.679,-5.6444,236.87,0.002826,0,0,0.26365,32,0
0.037486,0.045372,8.098,-5.5721,387.6,0.0092,0,0,0.53228,22,0
0.041381,0.04265,27.341,-5.4843,409.13,0.0068255,0,0,0.71496,12,0
0.040967,0.041742,39.619,-5.5428,215.33,0.0093862,0,0,0.46802,19,0
0.044618,0.056261,30.208,-5.6895,236.87,0.012458,1,9,0.46332,19,0
0.051104,0.059891,172.62,-5.6098,409.13,0.011677,1,7,0.67788,22,0
0.056406,0.058076,106.26,-5.6494,236.87,0.011249,1,9,0.78319,22,0
0.060722,0.059891,269.33,-5.4397,775.2,0.0147,2,10,0.97971,14,0
0.061491,0.054446,214.08,-5.5293,796.73,0.0064735,0,0,0.84779,15,0
0.053188,0.060799,163.77,-5.577,430.66,0.0079749,0,0,0.66521,18,0
0.042736,0.067151,21.28,-5.7495,775.2,0.0084302,0,0,0.48502,20,0
0.040581,0.058076,76.066,-5.622,775.2,0.0077837,0,0,0.53159,25,0
0.041157,0.069873,7.7272,-5.7604,409.13,0.016736,1,13,0.33194,41,0
0.049187,0.071688,137.67,-5.5591,775.2,0.011249,1,9,0.7018,20,0
0.057431,0.054446,270.92,-5.5271,430.66,0.0094006,0,0,0.54463,18,0
0.061382,0.050817,312.7,-5.4532,409.13,0.004712,0,0,0.8169,15,0
0.063413,0.049002,207.34,-5.4632,775.2,0.0050084,0,0,0.70963,14,0
0.065029,0.049002,366.14,-5.3868,775.2,0.015817,1,10,0.62027,13,0
0.065332,0.047187,283.32,-5.4537,538.33,0.0041298,0,0,0.49556,14,0
0.07134,0.053539,340.27,-5.4154,215.33,0.0028436,0,0,0.49277,18,0
0.078244,0.054446,606.81,-5.3208,409.13,0.0054191,0,0,0.82178,13,0
0.076636,0.046279,458.98,-5.4036,215.33,0.015194,1,26,0.71922,16,0
0.076082,0.044465,372.71,-5.3195,796.73,0.014863,1,26,0.77073,14,0
0.076612,0.040835,391.61,-5.2425,796.73,0.0036392,0,0,0.8395,14,0
