@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
784.5,-5.3008,430.66,0.010763,1,9,0
407.85,-5.4709,409.13,0.016846,1,10,0
405.57,-5.4724,710.6,0.026315,1,9,0
320.74,-5.4982,215.33,0.02352,1,9,0
213.02,-5.5552,387.6,0.0059491,0,0,0
114.85,-5.7006,538.33,0.013749,1,12,0
195.72,-5.5739,387.6,0.019064,1,11,0
295.54,-5.55,753.66,0.019929,2,10,0
426.1,-5.4369,710.6,0.0238,2,11,0
477.16,-5.3296,409.13,0.008882,0,0,0
318.81,-5.4919,279.93,0.016693,1,10,0
666.86,-5.6224,215.33,0.046034,2,11,0
395.52,-5.4569,236.87,0.011997,1,9,0
415.08,-5.3913,409.13,0.020226,1,11,0
321.23,-5.3925,129.2,0.014302,2,11,0
176.06,-5.4643,107.67,0.008916,0,0,0
215.69,-5.3163,107.67,0.008874,0,0,0
303.21,-5.0474,387.6,0.0077394,0,0,0
240.3,-5.1648,409.13,0.0056316,0,0,0
111.46,-5.3063,129.2,0.0016201,0,0,0
52.876,-5.5374,366.06,0.0088871,0,0,0
93.563,-5.518,129.2,0.01563,1,13,0
49.798,-5.506,129.2,0.020766,1,12,0
-19.504,-5.6393,818.26,0.018944,1,13,0
-5.3586,-5.6529,215.33,0.011972,1,15,0
-35.915,-5.6805,129.2,0.0036552,0,0,0
-9.2414,-5.5808,409.13,0.004201,0,0,0
63.205,-5.5613,150.73,0.0088047,0,0,0
31.892,-5.5482,107.67,0.0075252,0,0,0
166.02,-5.2644,107.67,0.0084373,0,0,0
262.96,-5.2579,925.93,0.0075565,0,0,0
291.73,-5.2256,925.93,0.0011942,0,0,0
201.78,-5.3791,150.73,0.010084,1,28,0
243.2,-5.2815,452.2,0.0046924,0,0,0
227.14,-5.3741,452.2,0.0091783,0,0,0
102.95,-5.4908,430.66,0.0062723,0,0,0
283.72,-5.3709,107.67,0.0080572,0,0,0
82.061,-5.541,107.67,0.0056568,0,0,0
72.068,-5.6496,452.2,0.017395,1,13,0
-9.3524,-5.7208,689.06,0.013407,1,12,0
26.326,-5.5286,710.6,0.0031719,0,0,0
-11.694,-5.602,430.66,0.010126,1,12,0
-43.045,-5.6249,452.2,0.0056959,0,0,0
44.133,-5.4149,323,0.0073948,0,0,0
211.04,-5.398,344.53,0.0050302,0,0,0
282.33,-5.3025,129.2,0.0056045,0,0,0
260.58,-5.3078,279.93,0.0061902,0,0,0
131.31,-5.4504,409.13,0.0039897,0,0,0
154.09,-5.3717,129.2,0.0027297,0,0,0
64.489,-5.5047,473.73,0.0024602,0,0,0
102.21,-5.4741,667.53,0.0023007,0,0,0
211.66,-5.393,624.46,0.0048048,0,0,0
162.35,-5.4229,107.67,0.0054708,0,0,0
89.786,-5.5615,258.4,0.015747,1,21,0
40.401,-5.631,689.06,0.011497,1,13,0
82.233,-5.5786,495.26,0.0094273,0,0,0
98.513,-5.5833,387.6,0.011584,1,13,0
167.55,-5.5662,452.2,0.0098676,0,0,0
78.019,-5.6305,473.73,0.0094569,0,0,0
67.971,-5.6621,387.6,0.012047,1,13,0
17.651,-5.6912,430.66,0.0099132,0,0,0
54.333,-5.5845,710.6,0.0078877,0,0,0
-3.0602,-5.6052,452.2,0.0087219,0,0,0
124.41,-5.6731,150.73,0.021693,1,28,0
138.5,-5.7083,1744.2,0.022148,1,20,0
173.18,-5.5169,452.2,0.0062489,0,0,0
140.29,-5.5614,452.2,0.0088745,0,0,0
372.37,-5.3787,452.2,0.0068766,0,0,0
353.37,-5.3366,430.66,0.0032736,0,0,0
448.71,-5.1433,430.66,0.0073605,0,0,0
374.7,-5.3311,430.66,0.0079466,0,0,0
454.65,-5.471,430.66,0.023631,2,13,0
596.04,-5.4592,430.66,0.016811,2,9,0
298.1,-5.5271,430.66,0.016741,2,9,0
446.73,-5.6041,430.66,0.024389,3,9,0
162.32,-5.805,452.2,0.028761,4,2,0
145.81,-5.7136,430.66,0.016801,4,9,0
30.213,-5.7118,710.6,0.0098465,0,0,0
36.839,-5.6197,732.13,0.0068527,0,0,0
113.82,-5.4253,732.13,0.00072453,0,0,0
200.87,-5.2669,473.73,0.0010561,0,0,0
889.7,-5.7369,323,0.028907,2,11,0
1282.9,-5.6605,279.93,0.054281,3,11,0
994.57,-5.5386,473.73,0.03949,2,12,0
887.19,-5.3494,473.73,0.018953,1,12,0
748.8,-5.3895,753.66,0.027406,1,12,1
1109,-5.2395,710.6,0.013663,1,13,1
831.64,-5.2256,775.2,0.010491,1,9,1
566.59,-5.4139,818.26,0.029613,2,9,1
1366.6,-5.0357,646,0.027284,1,14,1
1351.9,-4.8924,710.6,0.020515,1,15,1
852.69,-5.1628,430.66,0.024729,1,15,1
969.95,-5.0521,430.66,0.033711,1,14,1
824.57,-4.9933,452.2,0.023531,1,14,1
1130.4,-4.7443,452.2,0.020126,1,13,1
995.38,-4.8291,452.2,0.018622,1,14,1
1073.6,-4.847,452.2,0.023265,2,12,1
906.23,-5.0297,452.2,0.01807,1,19,1
699.92,-5.1023,452.2,0.0054618,0,0,1
635.49,-5.1759,430.66,0.0097836,0,0,1
978.5,-5.2719,430.66,0.010762,1,12,1
940.24,-5.3235,409.13,0.034008,1,13,1
713.82,-5.2725,409.13,0.019669,1,12,1
795.36,-5.2328,753.66,0.02884,1,13,1
806.56,-5.2367,732.13,0.011637,1,10,1
877.52,-5.0793,689.06,0.017894,1,11,1
919.62,-5.0718,667.53,0.015996,2,13,1
817.1,-5.1003,646,0.018312,1,13,1
778.93,-5.1525,624.46,0.015339,1,11,1
826.63,-5.2397,559.86,0.023771,2,11,1
638.66,-5.3115,538.33,0.019795,1,12,1
725.91,-5.3107,516.8,0.011693,1,21,1
524.47,-5.3667,473.73,0.012835,1,10,1
508.5,-5.3847,473.73,0.010011,1,12,1
697.75,-5.3405,473.73,0.021996,1,11,1
668.67,-5.279,473.73,0.0068792,0,0,1
782.59,-5.2778,473.73,0.020502,1,12,1
580.91,-5.3258,689.06,0.0066205,0,0,1
528.14,-5.4076,452.2,0.013355,1,26,1
449.27,-5.3371,689.06,0.027419,1,13,1
401.8,-5.3485,710.6,0.01534,1,13,1
507.72,-5.321,473.73,0.0071419,0,0,1
714.09,-5.1763,495.26,0.004909,0,0,1
690.77,-5.2743,495.26,0.003591,0,0,1
605.67,-5.2447,624.46,0.0095795,0,0,1
592.87,-5.2309,495.26,0.0060372,0,0,1
511.73,-5.439,516.8,0.011483,1,21,1
671.62,-5.2949,516.8,0.013962,1,12,1
504.03,-5.3431,516.8,0.019027,1,17,1
